verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
127468,<LH[,MT,Judges,1,1,J<LH,W JHJ >XRJ MWT JHWC< W JC>LW BNJ JFR>L B JHWH L >MR MJ J<LH LNW >L H KN<NJ B TXLH L HLXM BW,MJ J<LH LNW >L H KN<NJ B TXLH,MJ,>L H KN<NJ,0,,,,,,,,qal,impf,>L,,,,,,,,
127483,<LH[,MT,Judges,1,2,J<LH,W J>MR JHWH JHWDH J<LH HNH NTTJ >T H >RY B JDW,JHWDH J<LH,JHWDH,no complement,,,,,,,,,qal,impf,,,,,,,,,
127497,<LH[,MT,Judges,1,3,<LH,W J>MR JHWDH L CM<WN >XJW <LH >TJ B GWRLJ W NLXMH B KN<NJ W HLKTJ GM >NJ >TK B GWRLK W JLK >TW CM<WN,<LH >TJ B GWRLJ,,B GWRLJ,0,,,,,,,,qal,impv,B,,,,,,,,
127507,HLK[,MT,Judges,1,3,HLKTJ,W J>MR JHWDH L CM<WN >XJW <LH >TJ B GWRLJ W NLXMH B KN<NJ W HLKTJ GM >NJ >TK B GWRLK W JLK >TW CM<WN,W HLKTJ GM >NJ >TK B GWRLK,GM >NJ,B GWRLK,0,,,,,,,,qal,perf,B,,,,,,,,
127514,HLK[,MT,Judges,1,3,JLK,W J>MR JHWDH L CM<WN >XJW <LH >TJ B GWRLJ W NLXMH B KN<NJ W HLKTJ GM >NJ >TK B GWRLK W JLK >TW CM<WN,W JLK >TW CM<WN,CM<WN,no complement,,,,,,,,,qal,wayq,,,,,,,,,
127518,<LH[,MT,Judges,1,4,J<L,W J<L JHWDH W JTN JHWH >T H KN<NJ W H PRZJ B JDM W JKWM B BZQ <FRT >LPJM >JC,W J<L JHWDH,JHWDH,no complement,,,,,,,,,qal,wayq,,,,,,,,,
127557,NWS[,MT,Judges,1,6,JNS,W JNS >DNJ_BZQ W JRDPW >XRJW W J>XZW >TW W JQYYW >T BHNWT JDJW W RGLJW,W JNS >DNJ_BZQ,>DNJ_BZQ,no complement,,,,,,,,,qal,wayq,,,,,,,,,
127594,BW>[,MT,Judges,1,7,JBJ>HW,W J>MR >DNJ_BZQ CB<JM MLKJM BHNWT JDJHM W RGLJHM MQYYJM HJW MLQVJM TXT CLXNJ K >CR <FJTJ KN CLM LJ >LHJM W JBJ>HW JRWCLM W JMT CM,W JBJ>HW JRWCLM,,JRWCLM,0,,,,,,,,hif,wayq,,,,,,,,,
127623,JRD[,MT,Judges,1,9,JRDW,W >XR JRDW BNJ JHWDH L HLXM B KN<NJ JWCB H HR W H NGB W H CPLH,W >XR JRDW BNJ JHWDH,BNJ JHWDH,no complement,,,,,,,,,qal,perf,,,,,,,,,
2107629,HLK[,Xjudges,Judges,1,10,JLK,W JLK JHWDH >L H KN<NJ H JCB B XBRWN W CM XBRWN L PNJM QRJT >RB< W JKW >T CCJ W >T >XJMN W >T TLMJ,None,None,,,,,,,,0,0 000 00000 00 0 00000 0 000 0 00000 0 00 00000 0 0000 0000 0000 0 000 00 000 0 00 00000 0 00 0000 00,qal,wayy,,,,,,,,,
127641,HLK[,MT,Judges,1,10,JLK,W JLK JHWDH >L H KN<NJ H JWCB B XBRWN W CM XBRWN L PNJM QRJT_>RB< W JKW >T CCJ W >T >XJMN W >T TLMJ,W JLK JHWDH >L H KN<NJ,JHWDH,>L H KN<NJ,0,,,,,,,,qal,wayq,>L,,,,,,,,
2107657,HLK[,Xjudges,Judges,1,11,JLK,W JLK M CM >L JCBJ DBJR W CM DBJR L PNJM QRJT SPR,None,None,,,,,,,,0,0 000 0 00 00 0000 0000 0 00 0000 0 0000 00000 000 00,qal,wayy,,,,,,,,,
127667,HLK[,MT,Judges,1,11,JLK,W JLK M CM >L JWCBJ DBJR W CM DBJR L PNJM QRJT_SPR,W JLK M CM >L JWCBJ DBJR,,M CM,0,,,,,,,,qal,wayq,M,,,,,,,,
127667,HLK[,MT,Judges,1,11,JLK,W JLK M CM >L JWCBJ DBJR W CM DBJR L PNJM QRJT_SPR,W JLK M CM >L JWCBJ DBJR,,>L JWCBJ DBJR,0,,,,,,,,qal,wayq,>L,,,,,,,,
127717,BW>[,MT,Judges,1,14,BW>H,W JHJ B BW>H W TSJTHW L C>WL M >T >BJH H FDH W TYNX M <L H XMWR W J>MR LH KLB MH LK,B BW>H,,no complement,,,,,,,,,qal,infc,,,,,,,,,
127771,<LH[,MT,Judges,1,16,<LW,W BNJ QJNJ XTN MCH <LW M <JR H TMRJM >T BNJ JHWDH MDBR JHWDH >CR B NGB <RD W JLK W JCB >T H <M,W BNJ QJNJ XTN MCH <LW M <JR H TMRJM >T BNJ JHWDH MDBR JHWDH,BNJ QJNJ XTN MCH,M <JR H TMRJM,0,,,,,,,,qal,perf,M,,,,,,,,
127771,<LH[,MT,Judges,1,16,<LW,W BNJ QJNJ XTN MCH <LW M <JR H TMRJM >T BNJ JHWDH MDBR JHWDH >CR B NGB <RD W JLK W JCB >T H <M,W BNJ QJNJ XTN MCH <LW M <JR H TMRJM >T BNJ JHWDH MDBR JHWDH,BNJ QJNJ XTN MCH,MDBR JHWDH,0,,,,,,,,qal,perf,,,,,,,,,
127786,HLK[,MT,Judges,1,16,JLK,W BNJ QJNJ XTN MCH <LW M <JR H TMRJM >T BNJ JHWDH MDBR JHWDH >CR B NGB <RD W JLK W JCB >T H <M,W JLK,,no complement,,,,,,,,,qal,wayq,,,,,,,,,
127793,HLK[,MT,Judges,1,17,JLK,W JLK JHWDH >T CM<WN >XJW W JKW >T H KN<NJ JWCB YPT W JXRJMW >WTH W JQR> >T CM H <JR XRMH,W JLK JHWDH >T CM<WN >XJW,JHWDH,no complement,,,,,,,,,qal,wayq,,,,,,,,,
