verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
309515,CWB[,MT,Malachi,1,4,NCWB,KJ T>MR >DWM RCCNW W NCWB W NBNH XRBWT KH >MR JHWH YB>WT HMH JBNW W >NJ >HRWS W QR>W LHM GBWL RC<H W H <M >CR Z<M JHWH <D <WLM,W NCWB,,no complement,,,,,,,,,qal,impf,,,,,,,,,
309587,NGC[,MT,Malachi,1,7,MGJCJM,MGJCJM <L MZBXJ LXM MG>L W >MRTM B MH G>LNWK B >MRKM CLXN JHWH NBZH HW>,MGJCJM <L MZBXJ LXM MG>L,,<L MZBXJ,0,,,,,,,,hif,ptca,<L,,,,,,,,
309605,NGC[,MT,Malachi,1,8,TGCWN,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,KJ TGCWN <WR,,no complement,,,,,,,,,hif,impf,,,,,,,,,
309613,NGC[,MT,Malachi,1,8,TGJCW,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,KJ TGJCW PSX W XLH,,no complement,,,,,,,,,hif,impf,,,,,,,,,
309619,QRB[,MT,Malachi,1,8,HQRJBHW,W KJ TGCWN <WR L ZBX >JN R< W KJ TGJCW PSX W XLH >JN R< HQRJBHW N> L PXTK H JRYK >W H JF> PNJK >MR JHWH YB>WT,HQRJBHW N> L PXTK,,L PXTK,0,,,,,,,,hif,impv,L,,,,,,,,
309692,NGC[,MT,Malachi,1,11,MGC,KJ M MZRX CMC W <D MBW>W GDWL CMJ B GWJM W B KL MQWM MQVR MGC L CMJ W MNXH VHWRH KJ GDWL CMJ B GWJM >MR JHWH YB>WT,W B KL MQWM MQVR MGC L CMJ W MNXH VHWRH,MQVR W MNXH VHWRH,no complement,,,,,,,,,hof,ptcp,,,,,,,,,
309733,BW>[,MT,Malachi,1,13,HB>TM,W >MRTM HNH M TL>H W HPXTM >WTW >MR JHWH YB>WT W HB>TM GZWL W >T H PSX W >T H XWLH W HB>TM >T H MNXH H >RYH >WTH M JDKM >MR JHWH,W HB>TM GZWL W >T H PSX W >T H XWLH,,no complement,,,,,,,,,hif,perf,,,,,,,,,
309744,BW>[,MT,Malachi,1,13,HB>TM,W >MRTM HNH M TL>H W HPXTM >WTW >MR JHWH YB>WT W HB>TM GZWL W >T H PSX W >T H XWLH W HB>TM >T H MNXH H >RYH >WTH M JDKM >MR JHWH,W HB>TM >T H MNXH,,no complement,,,,,,,,,hif,perf,,,,,,,,,
309898,HLK[,MT,Malachi,2,6,HLK,TWRT >MT HJTH B PJHW W <WLH L> NMY> B FPTJW B CLWM W B MJCWR HLK >TJ W RBJM HCJB M <WN,B CLWM W B MJCWR HLK >TJ,,no complement,,,,,,,,,qal,perf,,,,,,,,,
309902,CWB[,MT,Malachi,2,6,HCJB,TWRT >MT HJTH B PJHW W <WLH L> NMY> B FPTJW B CLWM W B MJCWR HLK >TJ W RBJM HCJB M <WN,W RBJM HCJB M <WN,,M <WN,0,,,,,,,,hif,perf,M,,,,,,,,
309922,SWR[,MT,Malachi,2,8,SRTM,W >TM SRTM MN H DRK HKCLTM RBJM B TWRH CXTM BRJT H LWJ >MR JHWH YB>WT,W >TM SRTM MN H DRK,>TM,MN H DRK,0,,,,,,,,qal,perf,MN,,,,,,,,
310019,NGC[,MT,Malachi,2,12,MGJC,JKRT JHWH L >JC >CR J<FNH <R W <NH M >HLJ J<QB W MGJC MNXH L JHWH YB>WT,W MGJC MNXH L JHWH YB>WT,,L JHWH YB>WT,0,,,,,,,,hif,ptca,L,,,,,,,,
2036607,NGC[,4Q76,Malachi,2,12,MGJC,JKRT JHWH L >JC >CR J<FNH <D W <NH M >HLJ J<QWB W MGJC MNXH L JHWH YB>WT,None,None,,,,,,,,0,0000 0000 0 000 000 000000 00 0 000 0 0000 00000 0 0000 0000 0 0000 00000 00,hifil,ptca,,,,,,,,,
310039,PNH[,MT,Malachi,2,13,PNWT,W Z>T CNJT T<FW KSWT DM<H >T MZBX JHWH BKJ W >NQH M >JN <WD PNWT >L H MNXH W L QXT RYWN M JDKM,M >JN <WD PNWT >L H MNXH,,>L H MNXH,0,,,,,,,,qal,infc,>L,,,,,,,,
2036629,PNH[,4Q76,Malachi,2,13,PNWT,W Z>T CNJT T<FW KSWT DM<H >T MZBX JHWH W BKJ W >NQH M >WN <WD PNWT >L H MNXH W L QXT RYWN M JDKM,None,None,,,,,,,,0,0 000 0000 0000 0000 0000 00 0000 0000 0 000 0 0000 0 000 000 0000 00 0 0000 0 0 000 0000 0 00000 00,qal,infc,,,,,,,,,
310150,PNH[,MT,Malachi,3,1,PNH,HNNJ CLX ML>KJ W PNH DRK L PNJ W PT>M JBW> >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNH B> >MR JHWH YB>WT,W PNH DRK L PNJ,,no complement,,,,,,,,,piel,perf,,,,,,,,,
310156,BW>[,MT,Malachi,3,1,JBW>,HNNJ CLX ML>KJ W PNH DRK L PNJ W PT>M JBW> >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNH B> >MR JHWH YB>WT,W PT>M JBW> >L HJKLW H >DWN,H >DWN,>L HJKLW,0,,,,,,,,qal,impf,>L,,,,,,,,
310172,BW>[,MT,Malachi,3,1,B>,HNNJ CLX ML>KJ W PNH DRK L PNJ W PT>M JBW> >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNH B> >MR JHWH YB>WT,HNH B>,,no complement,,,,,,,,,qal,ptca,,,,,,,,,
2036745,PNH[,4Q76,Malachi,3,1,PNH,L KN HNNJ CWLX ML>KJ W PNH DRK L PNJ W PT>M JB>W >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNW B> >MR JHWH YB>WT,None,None,,,,,,,,0,0 00 00000 0000 000000 0 000 000 0 0000 0 0000 0000 00 000000 0 0000 000 000 000000 0 0000 0 0000 000 000 00000 0000 00 000 0000 00000 00,piel,perf,,,,,,,,,
2036751,BW>[,4Q76,Malachi,3,1,JB>W,L KN HNNJ CWLX ML>KJ W PNH DRK L PNJ W PT>M JB>W >L HJKLW H >DWN >CR >TM MBQCJM W ML>K H BRJT >CR >TM XPYJM HNW B> >MR JHWH YB>WT,None,None,,,,,,,,0,0 00 00000 0000 000000 0 000 000 0 0000 0 0000 0000 00 000000 0 0000 000 000 000000 0 0000 0 0000 000 000 00000 0000 00 000 0000 00000 00,qal,impf,,,,,,,,,
