verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
2094630,JY>[,Mur88,Micah,1,3,JY>,KJ HNH JHWH JY> M MQWMW W JRD W DRK <L BMWTJ >RY,KJ HNH JHWH JY> M MQWMW,JHWH,M MQWMW,,0,,,,,,,0,00 000 0000 000 0 00000 0 000 0 000 00 00000 000,qal,ptca,M,,,,,,,,,
299585,JY>[,MT,Micah,1,3,JY>,KJ HNH JHWH JY> M MQWMW W JRD W DRK <L BMWTJ >RY,KJ HNH JHWH JY> M MQWMW,JHWH,M MQWMW,MN MQWM/,0,prep,,,det,subs,,,,qal,ptca,MN,,,,,,,,,
299589,JRD[,MT,Micah,1,3,JRD,KJ HNH JHWH JY> M MQWMW W JRD W DRK <L BMWTJ >RY,W JRD,,no complement,no complement,,,,,,,,,,qal,perf,,,,,,,,,,
2094703,GLH[,Mur88,Micah,1,6,>GLH,W FMTJ CMRWN L <J H FDH L MV<J KRM W HGRTJ L GJ >BNJH W JSDJH >GLH,None,None,,,,,,,,,,0,0 0000 00000 0 00 0 000 0 0000 000 0 00000 0 00 00000 0 00000 0000,piel,impf,,,,,,,,,,
299657,GLH[,MT,Micah,1,6,>GLH,W FMTJ CMRWN L <J H FDH L MV<J KRM W HGRTJ L GJ >BNJH W JSDJH >GLH,W JSDJH >GLH,,no complement,no complement,,,,,,,,,,piel,impf,,,,,,,,,,
2094729,CWB[,Mur88,Micah,1,7,JCWBW,W KL PSJLJH JKTW W KL >TNNJH JFRPW B >C W KL <YBJH >FJM CMMH KJ M >TNN ZWNH QBYH W <D >TNN ZWNH JCWBW,None,None,,,,,,,,,,0,0 00 000000 0000 0 00 000000 00000 0 00 0 00 00000 0000 0000 00 0 0000 0000 0000 0 00 0000 0000 00000,qal,impf,,,,,,,,,,
299683,CWB[,MT,Micah,1,7,JCWBW,W KL PSJLJH JKTW W KL >TNNJH JFRPW B >C W KL <YBJH >FJM CMMH KJ M >TNN ZWNH QBYH W <D >TNN ZWNH JCWBW,W <D >TNN ZWNH JCWBW,,<D >TNN ZWNH,<D >TNN/ ZNH[,0,prep,,,det,subs,,,,qal,impf,<D,,,,,,,,,
2046309,CWB[,4Q82,Micah,1,7,JCWBW,W KL PSJLJH JKTW W KL >TNNJH JFRPW B >C W KL <YBJH >FJM CMMH KJ M >TNN ZWNH QBYH W <D >TNN ZWNH JCWBW,None,None,,,,,,,,,,0,1 0 00 000000 0000 0 00 000000 00000 0 00 0 00 00000 0000 0000 00 0 0000 0000 0000 0 00 0000 0000 00000,qal,impf,,,,,,,,,,
2094736,HLK[,Mur88,Micah,1,8,>JLKH,<L Z>T >SPDH W >JLJLH >JLKH CJLL W <RWM ><FH MSPD K TNJM W >BL K BNWT J<NH,None,None,,,,,,,,,,0,00 000 00000 0 000000 00000 0000 0 0000 0000 0000 0 0000 0 000 0 0000 0000,qal,impf,,,,,,,,,,
299689,HLK[,MT,Micah,1,8,>JLKH,<L Z>T >SPDH W >JLJLH >JLKH CJLL W <RWM ><FH MSPD K TNJM W >BL K BNWT J<NH,>JLKH CJLL W <RWM,,no complement,no complement,,,,,,,,,,qal,impf,,,,,,,,,,
