verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
2096561,NTK[,Mur88,Nahum,1,6,NTKH,L PNJ Z<MW MJ J<MD W MJ JQWM B XRWN >PW XMTW NTKH K >C W H YRJM NTYW MMNW,None,None,,,,,,,,,0,0 000 0000 00 0000 0 00 0000 0 0000 000 0000 0000 0 00 0 0 0000 0000 0000,nif,perf,,,,,,,,,,,
301535,NTK[,MT,Nahum,1,6,NTKH,L PNJ Z<MW MJ J<MWD W MJ JQWM B XRWN >PW XMTW NTKH K >C W H YRJM NTYW MMNW,XMTW NTKH K >C,XMTW,no complement,no complement,,,,,,,,,nif,perf,,,,,,,,,,,
2096579,XSH[,Mur88,Nahum,1,7,XSJ,VWB JHWH L M<WZ B JWM YRH W JD< XSJ BW,XSJ BW,,BW,,0,,,,,,0,000 0000 0 0000 0 000 000 0 000 000 00,qal,ptca,BW,,,,,,,,,,
301553,XSH[,MT,Nahum,1,7,XSJ,VWB JHWH L M<WZ B JWM YRH W JD< XSJ BW,XSJ BW,,BW,B,0,prep,,,det,,,,qal,ptca,BW,,,,,,,,,,
2046607,XSH[,4Q82,Nahum,1,7,XWSJ,L M<WZ B JWM YRH W JWD< XWSJ BW,None,None,,,,,,,,,0,0 0000 0 000 000 0 0000 0000 00,qal,ptca,,,,,,,,,,,
301558,<BR[,MT,Nahum,1,8,<BR,W B CVP <BR KLH J<FH MQWMH W >JBJW JRDP XCK,W B CVP <BR KLH J<FH MQWMH,,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
2096621,JY>[,Mur88,Nahum,1,11,JY>,MMK JY> XCB <L JHWH R<H J<Y BLJ<L,MMK JY>,,MMK,,0,,,,,,0,000 000 000 00 0000 000 000 00000,qal,perf,MMK,,,,,,,,,,
301591,JY>[,MT,Nahum,1,11,JY>,MMK JY> XCB <L JHWH R<H J<Y BLJ<L,MMK JY>,,MMK,MN,0,prep,,,det,,,,qal,perf,MMK,,,,,,,,,,
301610,<BR[,MT,Nahum,1,12,<BR,KH >MR JHWH >M CLMJM W KN RBJM W KN NGZW W <BR W <NTK L> ><NK <WD,W <BR,,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
2096697,<BR[,Mur88,Nahum,2,1,<BWR,HNH <L H HRJM RGLJ MBFR MCMJ< CLWM XGJ JHWDH XGJK CLMJ NDRJK KJ L> JWSJP <WD L <BWR BK BLJ<L KLH NKRT,L <BWR BK,,BK,,0,,,,,,0,000 00 0 0000 0000 0000 00000 0000 000 00000 0000 0000 00000 00 00 00000 000 0 0000 00 00000 000 0000,qal,infc,BK,,,,,,,,,,
301663,<BR[,MT,Nahum,2,1,<BWR,HNH <L H HRJM RGLJ MBFR MCMJ< CLWM XGJ JHWDH XGJK CLMJ NDRJK KJ L> JWSJP <WD L <BWR BK BLJ<L KLH NKRT,L <BWR BK,,BK,B,0,prep,,,det,,,,qal,infc,BK,,,,,,,,,,
2096703,<LH[,Mur88,Nahum,2,2,<LH,<LH MPJY <L PNJK NYWR MYRH YPH DRK XZQ MTNJM >MY KX M>D,<LH MPJY <L PNJK,MPJY,<L PNJK,,0,,,,,,0,000 0000 00 0000 0000 0000 000 000 000 00000 000 00 000,qal,perf,<L,,,,,,,,,,
301668,<LH[,MT,Nahum,2,2,<LH,<LH MPJY <L PNJK NYWR MYRH YPH DRK XZQ MTNJM >MY KX M>D,<LH MPJY <L PNJK,MPJY,<L PNJK,<L PNH/,0,prep,,,det,subs,,,qal,perf,<L,,,,,,,,,,
301682,CWB[,MT,Nahum,2,3,CB,KJ CB JHWH >T G>WN J<QB K G>WN JFR>L KJ BQQWM BQQJM W ZMRJHM CXTW,KJ CB JHWH >T G>WN J<QB K G>WN JFR>L,JHWH,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
2096757,CQQ[,Mur88,Nahum,2,5,JCTQCQWN,B XWYWT JTHWLLW H RKB JCTQCQWN B RXBWT MR>JHN K LPJDM K BRQJM JRWYYW,None,None,,,,,,,,,0,0 00000 0000000 0 000 00000000 0 00000 000000 0 00000 0 00000 000000,hitpalpel,impf,,,,,,,,,,,
2096765,RWY[,Mur88,Nahum,2,5,JRWYYW,B XWYWT JTHWLLW H RKB JCTQCQWN B RXBWT MR>JHN K LPJDM K BRQJM JRWYYW,None,None,,,,,,,,,0,0 00000 0000000 0 000 00000000 0 00000 000000 0 00000 0 00000 000000,polel,impf,,,,,,,,,,,
301720,CQQ[,MT,Nahum,2,5,JCTQCQWN,B XWYWT JTHWLLW H RKB JCTQCQWN B RXBWT MR>JHN K LPJDM K BRQJM JRWYYW,JCTQCQWN B RXBWT,,B RXBWT,B H RXB==/,0,prep,,,det,subs,,,hit,impf,B,,,,,,,,,,
301731,RWY[,MT,Nahum,2,5,JRWYYW,B XWYWT JTHWLLW H RKB JCTQCQWN B RXBWT MR>JHN K LPJDM K BRQJM JRWYYW,K BRQJM JRWYYW,,no complement,no complement,,,,,,,,,piel,impf,,,,,,,,,,,
2096772,MHR[,Mur88,Nahum,2,6,JMHRW,JZKR >DJRJW JKCLW B HLKWTM JMHRW XWMTH W HKN H SKK,JMHRW XWMTH,,XWMTH,,0,,,,,,0,0000 000000 00000 0 000000 00000 00000 0 000 0 000,piel,impf,,,,,,,,,,,
301737,MHR[,MT,Nahum,2,6,JMHRW,JZKR >DJRJW JKCLW B HLKWTM JMHRW XWMTH W HKN H SKK,JMHRW XWMTH,,XWMTH,XWMH/,0,vc,,,det,subs,,,piel,impf,,,,,,,,,,,
301753,GLH[,MT,Nahum,2,8,GLTH,W HYB GLTH H<LTH W >MHTJH MNHGWT K QWL JWNJM MTPPT <L LBBHN,GLTH,,no complement,no complement,,,,,,,,,pual,perf,,,,,,,,,,,
301754,<LH[,MT,Nahum,2,8,H<LTH,W HYB GLTH H<LTH W >MHTJH MNHGWT K QWL JWNJM MTPPT <L LBBHN,H<LTH,,no complement,no complement,,,,,,,,,hof,perf,,,,,,,,,,,
301774,NWS[,MT,Nahum,2,9,NSJM,W NJNWH K BRKT MJM M JMJ HJ> W HMH NSJM <MDW <MDW W >JN MPNH,W HMH NSJM,HMH,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
301779,PNH[,MT,Nahum,2,9,MPNH,W NJNWH K BRKT MJM M JMJ HJ> W HMH NSJM <MDW <MDW W >JN MPNH,W >JN MPNH,,no complement,no complement,,,,,,,,,hif,ptca,,,,,,,,,,,
2046640,NWS[,4Q82,Nahum,2,9,NSJM,M JMJH HJ> W HMH NSJM <MDW <MDW W >JN MPNH,None,None,,,,,,,,,0,0 0000 000 0 000 0000 0000 0000 0 000 0000,qal,ptca,,,,,,,,,,,
2046645,PNH[,4Q82,Nahum,2,9,MPNH,M JMJH HJ> W HMH NSJM <MDW <MDW W >JN MPNH,None,None,,,,,,,,,0,0 0000 000 0 000 0000 0000 0000 0 000 0000,hif,ptca,,,,,,,,,,,
2096865,HLK[,Mur88,Nahum,2,12,HLK,>JH M<WN >RJWT W MR<H HW> L KPRJM >CR HLK >RJH LBJ> CM GWR >RJH W >JN MXRJD,None,None,,,,,,,,,0,000 0000 00000 0 0000 000 0 00000 000 000 0000 0000 00 000 0000 0 000 00000,qal,perf,,,,,,,,,,,
301826,HLK[,MT,Nahum,2,12,HLK,>JH M<WN >RJWT W MR<H HW> L KPRJM >CR HLK >RJH LBJ> CM GWR >RJH W >JN MXRJD,>CR HLK >RJH LBJ> CM,>RJH LBJ>,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
301885,MWC[,MT,Nahum,3,1,JMJC,HWJ <JR DMJM KLH KXC PRQ ML>H L> JMJC VRP,L> JMJC VRP,VRP,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
2096943,<LH[,Mur88,Nahum,3,3,M<LH,PRC M<LH W LHB XRB W BRQ XNJT W RB XLL W KBD PGR W >JN QYH L GWJH JKCLW B GWJTM,None,None,,,,,,,,,0,000 0000 0 000 000 0 000 0000 0 00 000 0 000 000 0 000 000 0 0000 00000 0 00000,hif,ptca,,,,,,,,,,,
301900,<LH[,MT,Nahum,3,3,M<LH,PRC M<LH W LHB XRB W BRQ XNJT W RB XLL W KBD PGR W >JN QYH L GWJH J KCLW B GWJTM,PRC M<LH,,no complement,no complement,,,,,,,,,hif,ptca,,,,,,,,,,,
2046710,<LH[,4Q82,Nahum,3,3,M<LH,PRC M<LH W LHB XRB W BRQ XNJT W RB XLL W KBD PGR,None,None,,,,,,,,,0,000 0000 0 000 000 0 000 0000 0 00 000 0 000 000,hif,ptca,,,,,,,,,,,
2096989,GLH[,Mur88,Nahum,3,5,GLJTJ,HNNJ >LJK N>M JHWH YB>WT W GLJTJ CWLJK <L PNJK W HR>JTJ GWJM M<RK W MMLKWT QLWNK,W GLJTJ CWLJK <L PNJK,,<L PNJK,,0,,,,,,0,0000 0000 000 0000 00000 0 00000 00000 00 0000 0 000000 0000 0000 0 000000 00000,piel,perf,<L,,,,,,,,,,
301946,GLH[,MT,Nahum,3,5,GLJTJ,HNNJ >LJK N>M JHWH YB>WT W GLJTJ CWLJK <L PNJK W HR>JTJ GWJM M<RK W MMLKWT QLWNK,W GLJTJ CWLJK <L PNJK,,<L PNJK,<L PNH/,0,prep,,,det,subs,,,piel,perf,<L,,,,,,,,,,
2097067,HLK[,Mur88,Nahum,3,10,HLKH,GM HJ> L GLH HLKH B CBJ GM <LLJH JRVCW B R>C KL XWYWT W <L NKBDJH JDW GWRL W KL GDWLJH RTQW B ZQJM,None,None,,,,,,,,,0,00 000 0 000 0000 0 000 00 00000 00000 0 000 00 00000 0 00 000000 000 0000 0 00 000000 0000 0 0000,qal,perf,,,,,,,,,,,
302021,HLK[,MT,Nahum,3,10,HLKH,GM HJ> L GLH HLKH B CBJ GM <LLJH JRVCW B R>C KL XWYWT W <L NKBDJH JDW GWRL W KL GDWLJH RTQW B ZQJM,GM HJ> L GLH HLKH B CBJ,GM HJ>,L GLH,L H GWLH/,0,prep,,,det,subs,,,qal,perf,L,,,,,,,,,,
2097109,NPL[,Mur88,Nahum,3,12,NPLW,KL MBYRJK T>NJM <M BKWRJM >M JNW<W W NPLW <L PJ >WKL,W NPLW <L PJ >WKL,,<L PJ >WKL,,0,,,,,,0,00 000000 00000 00 000000 00 00000 0 0000 00 00 0000,qal,perf,<L,,,,,,,,,,
302063,NPL[,MT,Nahum,3,12,NPLW,KL MBYRJK T>NJM <M BKWRJM >M JNW<W W NPLW <L PJ >WKL,W NPLW <L PJ >WKL,,<L PJ >WKL,<L PH/ >KL[,0,prep,,,det,subs,,,qal,perf,<L,,,,,,,,,,
2097135,BW>[,Mur88,Nahum,3,14,B>J,MJ MYWR C>BJ LK XZQJ MBYRJK B>J B VJV W RMSJ B XMR HXZJQJ MLBN,None,None,,,,,,,,,0,00 0000 0000 00 0000 000000 000 0 000 0 0000 0 000 000000 0000,qal,impv,,,,,,,,,,,
302087,BW>[,MT,Nahum,3,14,B>J,MJ MYWR C>BJ LK XZQJ MBYRJK B>J B VJV W RMSJ B XMR HXZJQJ MLBN,B>J B VJV,,B VJV,B H VJV/,0,prep,,,det,subs,,,qal,impv,B,,,,,,,,,,
302124,<WP[,MT,Nahum,3,16,J<P,HRBJT RKLJK M KWKBJ H CMJM JLQ PCV W J<P,W J<P,,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
2097227,<BR[,Mur88,Nahum,3,19,<BRH,>JN KHH L CBRK NXLH MKTK KL CM<J CM<K TQ<W KP <LJK KJ <L MJ L> <BRH R<TK TMJD,None,None,,,,,,,,,0,000 000 0 0000 0000 0000 00 0000 0000 0000 00 0000 00 00 00 00 0000 0000 0000  1,qal,perf,,,,,,,,,,,
302181,<BR[,MT,Nahum,3,19,<BRH,>JN KHH L CBRK NXLH MKTK KL CM<J CM<K TQ<W KP <LJK KJ <L MJ L> <BRH R<TK TMJD,KJ <L MJ L> <BRH R<TK TMJD,R<TK,<L MJ,<L MJ,0,prep,,,det,,,,qal,perf,<L,,,,,,,,,,
