verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
383438,BW>[,MT,Nehemiah,1,2,JB>,W JB> XNNJ >XD M >XJ HW> W >NCJM M JHWDH W >C>LM <L H JHWDJM H PLJVH >CR NC>RW MN H CBJ W <L JRWCLM,W JB> XNNJ >XD M >XJ,XNNJ >XD M >XJ,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
383627,CWB[,MT,Nehemiah,1,9,CBTM,W CBTM >LJ W CMRTM MYWTJ W <FJTM >TM >M JHJH NDXKM B QYH H CMJM M CM >QBYM W HBW>TJM >L H MQWM >CR BXRTJ L CKN >T CMJ CM,W CBTM >LJ,,>LJ,>L,0,prep,,,det,,,,qal,perf,>LJ,,,,,,,,,,
383646,BW>[,MT,Nehemiah,1,9,HBW>TJM,W CBTM >LJ W CMRTM MYWTJ W <FJTM >TM >M JHJH NDXKM B QYH H CMJM M CM >QBYM W HBW>TJM >L H MQWM >CR BXRTJ L CKN >T CMJ CM,W HBW>TJM >L H MQWM,,>L H MQWM,>L H MQWM/,0,prep,,,det,subs,,,hif,perf,>L,,,,,,,,,,
388882,BW>[,MT,Nehemiah,10,30,B>JM,MXZJQJM <L >XJHM >DJRJHM W B>JM B >LH W B CBW<H L LKT B TWRT H >LHJM >CR NTNH B JD MCH <BD H >LHJM W L CMWR W L <FWT >T KL MYWT JHWH >DNJNW W MCPVJW W XQJW,W B>JM B >LH W B CBW<H,,B >LH W B CBW<H,B >LH=/ W B CBW<H/,0,prep + prep,,,det,subs subs,,,qal,ptca,B,B,,,,,,,,,
388889,HLK[,MT,Nehemiah,10,30,LKT,MXZJQJM <L >XJHM >DJRJHM W B>JM B >LH W B CBW<H L LKT B TWRT H >LHJM >CR NTNH B JD MCH <BD H >LHJM W L CMWR W L <FWT >T KL MYWT JHWH >DNJNW W MCPVJW W XQJW,L LKT B TWRT H >LHJM,,B TWRT H >LHJM,B TWRH/ H >LHJM/,0,prep,,,det,subs subs,,,qal,infc,B,,,,,,,,,,
388938,BW>[,MT,Nehemiah,10,32,MBJ>JM,W <MJ H >RY H MBJ>JM >T H MQXWT W KL CBR B JWM H CBT L MKWR L> NQX MHM B CBT W B JWM QDC W NVC >T H CNH H CBJ<JT W MC> KL JD,H MBJ>JM >T H MQXWT W KL CBR B JWM H CBT,,B JWM H CBT,B JWM/ H CBT/,0,prep,,,det,subs subs,,,hif,ptca,B,,,,,,,,,,
389029,NPL[,MT,Nehemiah,10,35,HPLNW,W H GWRLWT HPLNW <L QRBN H <YJM H KHNJM H LWJM W H <M L HBJ> L BJT >LHJNW L BJT >BTJNW L <TJM MZMNJM CNH B CNH L B<R <L MZBX JHWH >LHJNW K KTWB B TWRH,W H GWRLWT HPLNW <L QRBN H <YJM,,<L QRBN H <YJM,<L QRBN=/ H <Y/,0,prep,,,det,subs subs,,,hif,perf,<L,,,,,,,,,,
389042,BW>[,MT,Nehemiah,10,35,HBJ>,W H GWRLWT HPLNW <L QRBN H <YJM H KHNJM H LWJM W H <M L HBJ> L BJT >LHJNW L BJT >BTJNW L <TJM MZMNJM CNH B CNH L B<R <L MZBX JHWH >LHJNW K KTWB B TWRH,L HBJ> L BJT >LHJNW L BJT >BTJNW L <TJM MZMNJM CNH B CNH,,L BJT >LHJNW,L BJT/ >LHJM/,0,prep,,,det,subs subs,,,hif,infc,L,,,,,,,,,,
389069,BW>[,MT,Nehemiah,10,36,HBJ>,W L HBJ> >T BKWRJ >DMTNW W BKWRJ KL PRJ KL <Y CNH B CNH L BJT JHWH,W L HBJ> >T BKWRJ >DMTNW W BKWRJ KL PRJ KL <Y CNH B CNH L BJT JHWH,,L BJT JHWH,L BJT/ JHWH/,0,prep,pers,anim,det,subs nmpr,,,hif,infc,L,,,,,,,,,,
389104,BW>[,MT,Nehemiah,10,37,HBJ>,W >T BKRWT BNJNW W BHMTJNW K KTWB B TWRH W >T BKWRJ BQRJNW W Y>NJNW L HBJ> L BJT >LHJNW L KHNJM H MCRTJM B BJT >LHJNW,L HBJ> L BJT >LHJNW L KHNJM,,L BJT >LHJNW,L BJT/ >LHJM/,0,prep,,,det,subs subs,,,hif,infc,L,,,,,,,,,,
