verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
69636,JY>[,MT,Numbers,1,1,Y>TM,W JDBR JHWH >L MCH B MDBR SJNJ B >HL MW<D B >XD L XDC H CNJ B CNH H CNJT L Y>TM M >RY MYRJM L >MR,L Y>TM M >RY MYRJM,,M >RY MYRJM,MN >RY/ MYRJM/,0,prep,topo,inanim,det,subs,,,,qal,infc,MN,,,,,,,,,
1963460,JY>[,4Q23,Numbers,1,1,Y>TM,W JDBR JHWH >L MCH B MDBR SJNJ B >HL MW<D B >XD L XDC H CNJ B CNH H CNJT L Y>TM M >RY MYRJM L >MR,None,None,,,,,,,,,,0,0 0000 0000 00 000 0 0000 0000 0 000 0000 0 000 0 000 0 000 0 000 0 0000 0 0000 0 000 00000 0 000,qal,infc,,,,,,,,,,
69668,JY>[,MT,Numbers,1,3,JY>,M BN <FRJM CNH W M<LH KL JY> YB> B JFR>L TPQDW >TM L YB>TM >TH W >HRN,JY> YB> B JFR>L,,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
69794,QHL[,MT,Numbers,1,18,HQHJLW,W >T KL H <DH HQHJLW B >XD L XDC H CNJ W JTJLDW <L MCPXTM L BJT >BTM B MSPR CMWT M BN <FRJM CNH W M<LH L GLGLTM,W >T KL H <DH HQHJLW B >XD L XDC H CNJ,,no complement,no complement,,,,,,,,,,hif,perf,,,,,,,,,,
69857,JY>[,MT,Numbers,1,20,JY>,W JHJW BNJ R>WBN BKR JFR>L TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,W JHJW BNJ R>WBN BKR JFR>L TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,BNJ R>WBN BKR JFR>L TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
69894,JY>[,MT,Numbers,1,22,JY>,L BNJ CM<WN TWLDTM L MCPXTM L BJT >BTM PQDJW B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM PQDJW B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM PQDJW B MSPR CMWT L GLGLTM KL ZKR M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
69926,JY>[,MT,Numbers,1,24,JY>,L BNJ GD TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMWT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
69960,JY>[,MT,Numbers,1,26,JY>,L BNJ JHWDH TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
69992,JY>[,MT,Numbers,1,28,JY>,L BNJ JFFKR TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
70024,JY>[,MT,Numbers,1,30,JY>,L BNJ ZBWLN TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,TWLDTM L MCPXTM L BJT >BTM B MSPR CMT M BN <FRJM CNH W M<LH KL JY> YB>,no complement,no complement,,,,,,,,,,qal,ptca,,,,,,,,,,
