verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
310658,HLK[,MT,Psalms,1,1,HLK,>CRJ H >JC >CR L> HLK B <YT RC<JM W B DRK XV>JM L> <MD W B MWCB LYJM L> JCB,>CR L> HLK B <YT RC<JM,,B <YT RC<JM,0,,,,,,,,qal,perf,B,,,,,,,,
311882,NPL[,MT,Psalms,10,10,NPL,WDKH JCX W NPL B <YWMJW XL K>JM,W NPL B <YWMJW XL K>JM,XL K>JM,no complement,,,,,,,,,qal,perf,,,,,,,,,
2100669,NPL[,5/6hev1b,Psalms,10,10,NPL,JDKH JCX W NPL B <YWMJW XLK>JM,None,None,,,,,,,,0,0000 000 0 000 0 0000000 000000 00,qal,perf,,,,,,,,,
327582,BW>[,MT,Psalms,100,2,B>W,<BDW >T JHWH B FMXH B>W L PNJW B RNNH,B>W L PNJW B RNNH,,L PNJW,0,,,,,,,,qal,impv,L,,,,,,,,
2048842,BW>[,4Q84,Psalms,100,2,B>W,<BDW >T JHWH B FMXH B>W L PNJW B RNNH,B>W L PNJW B RNNH,,L PNJW,0,,,,,,0,0000 00 0000 0 0000 000 0 00000 0 0000 00,qal,impv,L,,,,,,,,
327601,BW>[,MT,Psalms,100,4,B>W,B>W C<RJW B TWDH XYRTJW B THLH HWDW LW BRKW CMW,B>W C<RJW B TWDH,,no complement,,,,,,,,,qal,impv,,,,,,,,,
327639,BW>[,MT,Psalms,101,2,TBW>,>FKJLH B DRK TMJM MTJ TBW> >LJ >THLK B TM LBBJ B QRB BJTJ,MTJ TBW> >LJ,,>LJ,0,,,,,,,,qal,impf,>LJ,,,,,,,,
327641,HLK[,MT,Psalms,101,2,>THLK,>FKJLH B DRK TMJM MTJ TBW> >LJ >THLK B TM LBBJ B QRB BJTJ,>THLK B TM LBBJ B QRB BJTJ,,B QRB BJTJ,0,,,,,,,,hit,impf,B,,,,,,,,
327663,SWR[,MT,Psalms,101,4,JSWR,LBB <QC JSWR MMNJ R< L> >D<,LBB <QC JSWR MMNJ,LBB <QC,MMNJ,0,,,,,,,,qal,impf,MMNJ,,,,,,,,
327690,HLK[,MT,Psalms,101,6,HLK,<JNJ B N>MNJ >RY L CBT <MDJ HLK B DRK TMJM HW> JCRTNJ,HLK B DRK TMJM,,B DRK TMJM,0,,,,,,,,qal,ptca,B,,,,,,,,
327742,BW>[,MT,Psalms,102,2,TBW>,JHWH CM<H TPLTJ W CW<TJ >LJK TBW>,W CW<TJ >LJK TBW>,CW<TJ,>LJK,0,,,,,,,,qal,impf,>LJK,,,,,,,,
