verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
2099712,CWB[,Mur88,Zechariah,1,3,CWBW,W >MRT >LHM KH >MR JHWH YB>WT CWBW >LJ N>M JHWH YB>WT W >CWB >LJKM >MR JHWH YB>WT,None,None,,,,,,,,,0,0 0000 0000 00 000 0000 00000 0000 000 000 0000 00000 0 0000 00000 000 0000 00000,qal,impv,,,,,,,,,,,
2099718,CWB[,Mur88,Zechariah,1,3,>CWB,W >MRT >LHM KH >MR JHWH YB>WT CWBW >LJ N>M JHWH YB>WT W >CWB >LJKM >MR JHWH YB>WT,None,None,,,,,,,,,0,0 0000 0000 00 000 0000 00000 0000 000 000 0000 00000 0 0000 00000 000 0000 00000,qal,impf,,,,,,,,,,,
305030,CWB[,MT,Zechariah,1,3,CWBW,W >MRT >LHM KH >MR JHWH YB>WT CWBW >LJ N>M JHWH YB>WT W >CWB >LJKM >MR JHWH YB>WT,CWBW >LJ,,>LJ,>L,0,prep,,,det,,,,qal,impv,>LJ,,,,,,,,,,
305036,CWB[,MT,Zechariah,1,3,>CWB,W >MRT >LHM KH >MR JHWH YB>WT CWBW >LJ N>M JHWH YB>WT W >CWB >LJKM >MR JHWH YB>WT,W >CWB >LJKM,,>LJKM,>L,0,prep,,,det,,,,qal,impf,>LJKM,,,,,,,,,,
305058,CWB[,MT,Zechariah,1,4,CWBW,>L THJW K >BTJKM >CR QR>W >LJHM H NBJ>JM H R>CNJM L >MR KH >MR JHWH YB>WT CWBW N> M DRKJKM H R<JM W M<LJLJKM H R<JM W L> CM<W W L> HQCJBW >LJ N>M JHWH,CWBW N> M DRKJKM H R<JM W M<LJLJKM H R<JM,,M DRKJKM H R<JM W M<LJLJKM H R<JM,MN DRK/ H R</ W M<LL/ H R</,0,prep,,,det,subs subs,,,qal,impv,M,,,,,,,,,,
2040516,CWB[,4Q80,Zechariah,1,4,CWBW,H R>CNJM L >MR KH >MR JHWH YB>WT CWBW N> M DRKJKM H R<JM W M<LJLJKM H R<JM W LW> CM<W W LW> HQCJBW >LJ N>M JHWH,None,None,,,,,,,,,0,0 000000 0 000 00 000 0000 00000 0000 00 0 000000 0 0000 0 00000000 0 0000 0 000 0000 0 000 000000 000 000 0000,qal,impv,,,,,,,,,,,
305102,CWB[,MT,Zechariah,1,6,JCWBW,>K DBRJ W XQJ >CR YWJTJ >T <BDJ H NBJ>JM H LW> HFJGW >BTJKM W JCWBW W J>MRW K >CR ZMM JHWH YB>WT L <FWT LNW K DRKJNW W K M<LLJNW KN <FH >TNW,W JCWBW,,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
2040564,CWB[,4Q80,Zechariah,1,6,JCWBW,W XQJ >CR YWJTJ >T <BDJ H NBJ>JM H LW> HFJGW W JCWBW W J>MRW K >CR ZMM JHWH YB>WT L <FWT K DRKJNW W K M<LLJNW KN <FH >TNW,None,None,,,,,,,,,0,111 11 1 0 000 000 00000 00 0000 0 000000 0 000 00000 1 1 0 00000 0 00000 0 000 000 0000 00000 0 0000 0 000000 0 0 0000000 00 000 0000,qal,wayq,,,,,,,,,,,
305212,HLK[,MT,Zechariah,1,10,HTHLK,W J<N H >JC H <MD BJN H HDSJM W J>MR >LH >CR CLX JHWH L HTHLK B >RY,L HTHLK B >RY,,B >RY,B H >RY/,0,prep,,,det,subs,,,hit,infc,B,,,,,,,,,,
2040621,HLK[,4Q80,Zechariah,1,10,HTHLK,W J<N H >JC H <MD BJN H HDSJM W JWMR >LH >CR CLX JHWH L HTHLK B >RY,None,None,,,,,,,,,0,0 000 0 000 0 000 000 0 00000 0 0000 000 000 000 0000 0 00000 0 000,hit,infc,,,,,,,,,,,
305228,HLK[,MT,Zechariah,1,11,HTHLKNW,W J<NW >T ML>K JHWH H <MD BJN H HDSJM W J>MRW HTHLKNW B >RY W HNH KL H >RY JCBT W CQVT,HTHLKNW B >RY,,B >RY,B H >RY/,0,prep,,,det,subs,,,hit,perf,B,,,,,,,,,,
305323,CWB[,MT,Zechariah,1,16,CBTJ,LKN KH >MR JHWH CBTJ L JRWCLM B RXMJM BJTJ JBNH BH N>M JHWH YB>WT W QWH JNVH <L JRWCLM,CBTJ L JRWCLM B RXMJM,,L JRWCLM,L JRWCLM/,0,prep,topo,inanim,det,nmpr,,,qal,perf,L,,,,,,,,,,
