verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
303253,DLG[,MT,Zephaniah,1,9,DWLG,W PQDTJ <L KL H DWLG <L H MPTN B JWM H HW> H MML>JM BJT >DNJHM XMS W MRMH,H DWLG <L H MPTN B JWM H HW>,,<L H MPTN,<L H MPTN/,0,prep,,,det,subs,,,,qal,ptca,<L,,,,,,,,,
303368,QRB[,MT,Zephaniah,1,14,QRWB,QRWB JWM JHWH H GDWL QRWB W MHR M>D QWL JWM JHWH MR YRX CM GBWR,QRWB,,no complement,no complement,,,,,,,,,,qal,infa,,,,,,,,,,
303370,MHR[,MT,Zephaniah,1,14,MHR,QRWB JWM JHWH H GDWL QRWB W MHR M>D QWL JWM JHWH MR YRX CM GBWR,W MHR M>D,,no complement,no complement,,,,,,,,,,piel,infa,,,,,,,,,,
2098156,HLK[,Mur88,Zephaniah,1,17,HLKW,W HYRTJ L >DM W HLKW K <WRJM KJ L JHWH XV>W W CPK DMM K <PR W LXMM K GLLJM,None,None,,,,,,,,,,0,0 00000 0 000 0 0000 0 00000 00 0 0000 0000 0 000 000 0 000 0 0000 0 00000,qal,perf,,,,,,,,,,
303422,HLK[,MT,Zephaniah,1,17,HLKW,W HYRTJ L >DM W HLKW K <WRJM KJ L JHWH XV>W W CPK DMM K <PR W LXMM K GLLJM,W HLKW K <WRJM,,K <WRJM,K H <WR/,0,prep,,,det,,,,,qal,perf,K,,,,,,,,,
2098223,BW>[,Mur88,Zephaniah,2,2,JBW>,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,None,None,,,,,,,,,,0,0 000 000 00 0 00 000 000 0 000 00 0000 00000 0000 00 0000 0 000 00 0000 00000 000 00 0000,qal,impf,,,,,,,,,,
2098231,BW>[,Mur88,Zephaniah,2,2,JBW>,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,None,None,,,,,,,,,,0,0 000 000 00 0 00 000 000 0 000 00 0000 00000 0000 00 0000 0 000 00 0000 00000 000 00 0000,qal,impf,,,,,,,,,,
303484,<BR[,MT,Zephaniah,2,2,<BR,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,K MY <BR JWM,JWM,no complement,no complement,,,,,,,,,,qal,perf,,,,,,,,,,
303489,BW>[,MT,Zephaniah,2,2,JBW>,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,B VRM L> JBW> <LJKM XRWN >P JHWH,XRWN >P JHWH,<LJKM,<L,0,prep,,,det,,,,,qal,impf,<L,,,,,,,,,
303497,BW>[,MT,Zephaniah,2,2,JBW>,B VRM LDT XQ K MY <BR JWM B VRM L> JBW> <LJKM XRWN >P JHWH B VRM L> JBW> <LJKM JWM >P JHWH,B VRM L> JBW> <LJKM JWM >P JHWH,JWM >P JHWH,<LJKM,<L,0,prep,,,det,,,,,qal,impf,<L,,,,,,,,,
2098490,<BR[,Mur88,Zephaniah,2,15,<WBR,Z>T H <JR H <LJZH H JWCBT L BVX H >MRH B LBBH >NJ W >PSJ <WD >JK HJTH L CMH MRBY L XJH KL <WBR <LJH JCRQ JNJ< JDW,None,None,,,,,,,,,,0,000 0 000 0 00000 0 00000 0 000 0 0000 0 0000 000 0 0000 000 000 0000 0 000 0000 0 000 00 0000 0000 0000 0000 000,qal,ptca,,,,,,,,,,
303749,<BR[,MT,Zephaniah,2,15,<WBR,Z>T H <JR H <LJZH H JWCBT L BVX H >MRH B LBBH >NJ W >PSJ <WD >JK HJTH L CMH MRBY L XJH KL <WBR <LJH JCRQ JNJ< JDW,<WBR <LJH,,<LJH,<L,0,prep,,,det,,,,,qal,ptca,<L,,,,,,,,,
2040071,<BR[,4Q78,Zephaniah,2,15,<WBR,Z>T H <JR H <LJZH H JWCBT L BVX H >WMRH B LBBH >NJ W >PSJ <WD >JK HJTH L CMH MRBY L XJH KL <WBR <LJH JCRWQ JNJ< >T JDW,None,None,,,,,,,,,,0,000 0 000 0 00000 0 00000 0 000 0 00000 0 0000 000 0 0000 000 000 0000 0 000 0000 0 000 00 0000 0000 00000 0000 00 000,qal,ptca,,,,,,,,,,
