verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
355810,HLK[,MT,Ruth,1,1,JLK,W JHJ B JMJ CPV H CPVJM W JHJ R<B B >RY W JLK >JC M BJT_LXM JHWDH L GWR B FDJ MW>B HW> W >CTW W CNJ BNJW,W JLK >JC M BJT_LXM JHWDH HW> W >CTW W CNJ BNJW,>JC M BJT_LXM JHWDH HW> W >CTW W CNJ BNJW,no complement,no complement,,,,,,,,,,qal,wayq,,,,,,,,,,
2055691,HLK[,4Q104,Ruth,1,1,JLK,W JHJ B JMJ CPV H CPVJM W JHJ R<B B >RY W JLK >JC M BJT LXM JHWDH L GWR B FDH MW>B HW> W >CTW W CNJ BNJW,None,None,,,,,,,,,,0,0 000 0 000 000 0 00000 0 000 000 0 000 0 000 000 0 000 000 00000 0 000 0 000 0000 000 0 0000 0 000 0000,qal,wayq,,,,,,,,,,
355847,BW>[,MT,Ruth,1,2,JB>W,W CM H >JC >LJMLK W CM >CTW N<MJ W CM CNJ BNJW MXLWN W KLJWN >PRTJM M BJT_LXM JHWDH W JB>W FDJ MW>B W JHJW CM,W JB>W FDJ MW>B,,FDJ MW>B,FDH/ MW>B/,0,vc,"pers,gens,topo",,det,subs,complex,,,qal,wayq,,,,,,,,,,
2055962,BW>[,4Q105,Ruth,1,2,JB>W,CM H >JC >LJMLK W CM >CTW N<MJ W CM CNJ BNJW MXLWN W KLJWN >PRTJM M BJT LXM JHWDH W JB>W FDJ MW>B W JHJW CM,None,None,,,,,,,,,,0,00 0 000 000000 0 00 0000 0000 0 00 000 0000 00000 0 00000 000000 0 000 000 00000 0 0000 000 0000 0 0000 00,qal,wayq,,,,,,,,,,
2055731,BW>[,4Q104,Ruth,1,2,JB>W,W CM H >JC >LJMLK W CM >CTW N<MJ W CM CNJ BNJW MXLWN W KLJWN >PRTJM M BJT LXM JHWDH W JB>W FDH MW>B W JCBW CM,None,None,,,,,,,,,,0,0 00 0 000 000000 0 00 0000 0000 0 00 000 0000 00000 0 00000 000000 0 000 000 00000 0 0000 000 0000 0 0000 00,qal,wayq,,,,,,,,,,
355907,CWB[,MT,Ruth,1,6,TCB,W TQM HJ> W KLTJH W TCB M FDJ MW>B KJ CM<H B FDH MW>B KJ PQD JHWH >T <MW L TT LHM LXM,W TCB M FDJ MW>B,,M FDJ MW>B,MN FDH/ MW>B/,0,prep,"pers,gens,topo",,det,subs,complex,,,qal,wayq,MN,,,,,,,,,
2055795,CWB[,4Q104,Ruth,1,6,TCB,W TQM HJ> W KLWTJH W TCB M FDH MW>B KJ CM<H B FDH MW>B KJ PQD JHWH >T <MW L TT LHM LXM,W TCB M FDH MW>B,,M FDH MW>B,,0,,,,,,,0,0 000 000 0 000000 0 000 0 000 0000 00 0000 0 000 0000 00 000 0000 00 000 0 00 000 000,qal,wayq,M,,,,,,,,,
355926,JY>[,MT,Ruth,1,7,TY>,W TY> MN H MQWM >CR HJTH CMH W CTJ KLTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,W TY> MN H MQWM,,MN H MQWM,MN H MQWM/,0,prep,,,det,subs,simple,,,qal,wayq,MN,,,,,,,,,
355938,HLK[,MT,Ruth,1,7,TLKNH,W TY> MN H MQWM >CR HJTH CMH W CTJ KLTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,W TLKNH B DRK,,B DRK,B H DRK/,0,prep,,,det,subs,simple,,,qal,wayq,B,,,,,,,,,
355943,CWB[,MT,Ruth,1,7,CWB,W TY> MN H MQWM >CR HJTH CMH W CTJ KLTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,L CWB >L >RY JHWDH,,>L >RY JHWDH,>L >RY/ JHWDH/,0,prep,"pers,gens,topo",,det,subs,complex,,,qal,infc,>L,,,,,,,,,
2055815,JY>[,4Q104,Ruth,1,7,TY>,W TY> MN H MQWM >CR HJTH CMH W CTJ KLWTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,None,None,,,,,,,,,,1,0 000 00 0 0000 000 0000 000 0 000 000000 000 0 00000 0 000 0 000 00 000 00000,qal,wayq,,,,,,,,,,
2055827,HLK[,4Q104,Ruth,1,7,TLKNH,W TY> MN H MQWM >CR HJTH CMH W CTJ KLWTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,None,None,,,,,,,,,,1,0 000 00 0 0000 000 0000 000 0 000 000000 000 0 00000 0 000 0 000 00 000 00000,qal,wayq,,,,,,,,,,
2055831,CWB[,4Q104,Ruth,1,7,CWB,W TY> MN H MQWM >CR HJTH CMH W CTJ KLWTJH <MH W TLKNH B DRK L CWB >L >RY JHWDH,None,None,,,,,,,,,,1,0 000 00 0 0000 000 0000 000 0 000 000000 000 0 00000 0 000 0 000 00 000 00000,qal,infc,,,,,,,,,,
355953,HLK[,MT,Ruth,1,8,LKNH,W T>MR N<MJ L CTJ KLTJH LKNH CBNH >CH L BJT >MH J<FH JHWH <MKM XSD K >CR <FJTM <M H MTJM W <MDJ,LKNH,,no complement,no complement,,,,,,,,,,qal,impv,,,,,,,,,,
355954,CWB[,MT,Ruth,1,8,CBNH,W T>MR N<MJ L CTJ KLTJH LKNH CBNH >CH L BJT >MH J<FH JHWH <MKM XSD K >CR <FJTM <M H MTJM W <MDJ,CBNH,,no complement,no complement,,,,,,,,,,qal,impv,,,,,,,,,,
355993,CWB[,MT,Ruth,1,10,NCWB,W T>MRNH LH KJ >TK NCWB L <MK,KJ >TK NCWB L <MK,,L <MK,L <M/,0,prep,,,det,subs,simple,,,qal,impf,L,,,,,,,,,
