verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
176086,BW>[,MT,1_Kings,1,1,B>,W H MLK DWD ZQN B> B JMJM W JKSHW B BGDJM W L> JXM LW,B> B JMJM,,B JMJM,B H JWM/,,0,prep,,,det,subs,simple,,,qal,perf,,,B,,,,,,
2072601,BW>[,5Q2,1_Kings,1,1,B>,W H MLK DWD ZQN B> B JMJM W JKSHW B BGDJM W L> JXM LW,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
176145,BW>[,MT,1_Kings,1,3,JB>W,W JBQCW N<RH JPH B KL GBWL JFR>L W JMY>W >T >BJCG H CWNMJT W JB>W >TH L MLK,W JB>W >TH L MLK,,L MLK,L H MLK/,,0,prep,,,det,subs,simple,,,hif,wayq,,,L,,,,,,
176326,HLK[,MT,1_Kings,1,12,LKJ,W <TH LKJ >J<YK N> <YH W MLVJ >T NPCK W >T NPC BNK CLMH,LKJ,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
176339,HLK[,MT,1_Kings,1,13,LKJ,LKJ W B>J >L H MLK DWD W >MRT >LJW H L> >TH >DNJ H MLK NCB<T L >MTK L >MR KJ CLMH BNK JMLK >XRJ W HW> JCB <L KS>J W MDW< MLK >DNJHW,LKJ,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
176341,BW>[,MT,1_Kings,1,13,B>J,LKJ W B>J >L H MLK DWD W >MRT >LJW H L> >TH >DNJ H MLK NCB<T L >MTK L >MR KJ CLMH BNK JMLK >XRJ W HW> JCB <L KS>J W MDW< MLK >DNJHW,W B>J >L H MLK DWD,,>L H MLK DWD,>L H MLK/ DWD==/,,0,prep,pers,anim,det,subs,complex,,,qal,impv,,,>L,,,,,,
176383,BW>[,MT,1_Kings,1,14,>BW>,HNH <WDK MDBRT CM <M H MLK W >NJ >BW> >XRJK W ML>TJ >T DBRJK,W >NJ >BW> >XRJK,>NJ,>XRJK,>XR/,,0,vc,,,det,subs,complex,,,qal,impf,,,,,,,,,
176390,BW>[,MT,1_Kings,1,15,TB>,W TB> BT_CB< >L H MLK H XDRH W H MLK ZQN M>D W >BJCG H CWNMJT MCRT >T H MLK,W TB> BT_CB< >L H MLK H XDRH,BT_CB<,>L H MLK,>L H MLK/,,0,prep,,,det,subs,simple,,,qal,wayq,,,>L,,,,,,
176390,BW>[,MT,1_Kings,1,15,TB>,W TB> BT_CB< >L H MLK H XDRH W H MLK ZQN M>D W >BJCG H CWNMJT MCRT >T H MLK,W TB> BT_CB< >L H MLK H XDRH,BT_CB<,H XDRH,H XDR/,,1,dir-he,,,,subs,simple,,,qal,wayq,,,,,,,,,
176537,BW>[,MT,1_Kings,1,22,B>,W HNH <WDNH MDBRT <M H MLK W NTN H NBJ> B>,W NTN H NBJ> B>,NTN H NBJ>,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
176550,BW>[,MT,1_Kings,1,23,JB>,W JGJDW L MLK L >MR HNH NTN H NBJ> W JB> L PNJ H MLK W JCTXW L MLK <L >PJW >RYH,W JB> L PNJ H MLK,,L PNJ H MLK,L PNH/ H MLK/,,0,prep,,,det,subs,complex,,,qal,wayq,,,L,,,,,,
176580,JRD[,MT,1_Kings,1,25,JRD,KJ JRD H JWM W JZBX CWR W MRJ> W Y>N L RB W JQR> L KL BNJ H MLK W L FRJ H YB> W L >BJTR H KHN W HNM >KLJM W CTJM L PNJW W J>MRW JXJ H MLK >DNJHW,KJ JRD H JWM,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
176678,BW>[,MT,1_Kings,1,28,TB>,W J<N H MLK DWD W J>MR QR>W LJ L BT_CB< W TB> L PNJ H MLK W T<MD L PNJ H MLK,W TB> L PNJ H MLK,,L PNJ H MLK,L PNH/ H MLK/,,0,prep,,,det,subs,complex,,,qal,wayq,,,L,,,,,,
2072684,BW>[,5Q2,1_Kings,1,28,TB>,W J<N H MLK DWD W J>MR QR>W LJ L BT CB< W TB> L PNJ H MLK W T<MD L PNJ H MLK,None,None,,,,,,,,,,,0,,qal,wayq,,,,,,,,,
176774,BW>[,MT,1_Kings,1,32,JB>W,W J>MR H MLK DWD QR>W LJ L YDWQ H KHN W L NTN H NBJ> W L BNJHW BN JHWJD< W JB>W L PNJ H MLK,W JB>W L PNJ H MLK,,L PNJ H MLK,L PNH/ H MLK/,,0,prep,,,det,subs,complex,,,qal,wayq,,,L,,,,,,
2072784,BW>[,5Q2,1_Kings,1,32,JB>W,W J>MR H MLK DWD QR>W LJ L YDWQ H KHN W L NTN H NBJ> W L BNJHW BN JHWJD< W JB>W L PNJ H MLK,W JB>W L PNJ H MLK,,L PNJ H MLK,,,0,,,,,,,0,,qal,wayq,,,L,,,,,,
176800,JRD[,MT,1_Kings,1,33,HWRDTM,W J>MR H MLK LHM QXW <MKM >T <BDJ >DNJKM W HRKBTM >T CLMH BNJ <L H PRDH >CR LJ W HWRDTM >TW >L GXWN,W HWRDTM >TW >L GXWN,,>L GXWN,>L GJXWN/,,0,prep,topo,inanim,det,nmpr,simple,,,hif,perf,,,>L,,,,,,
2072811,JRD[,5Q2,1_Kings,1,33,HWRDTM,W J>MR H MLK LHM QXW <MKM >T <BDJ >DNJKM W HRKBTM >T CLMH BNJ <L H PRDH >CR LJ W HWRDTM >TW >L GXWN,W HWRDTM >TW >L GXWN,,>L GXWN,,,0,,,,,,,0,,hif,perf,,,>L,,,,,,
176831,<LH[,MT,1_Kings,1,35,<LJTM,W <LJTM >XRJW W B> W JCB <L KS>J W HW> JMLK TXTJ W >TW YWJTJ L HJWT NGJD <L JFR>L W <L JHWDH,W <LJTM >XRJW,,>XRJW,>XR/,,0,vc,,,det,subs,complex,,,qal,perf,,,,,,,,,
176834,BW>[,MT,1_Kings,1,35,B>,W <LJTM >XRJW W B> W JCB <L KS>J W HW> JMLK TXTJ W >TW YWJTJ L HJWT NGJD <L JFR>L W <L JHWDH,W B>,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
2072843,<LH[,5Q2,1_Kings,1,35,<LJTM,W <LJTM >XRJW W B> W JCB <L KS>J W HW> JMLK TXTJ W >TW YWJTJ L HJWT NGJD <L JFR>L W <L JHWDH,W <LJTM >XRJW,,>XRJW,,,0,,,,,,,0,,qal,perf,,,,,,,,,
176895,JRD[,MT,1_Kings,1,38,JRD,W JRD YDWQ H KHN W NTN H NBJ> W BNJHW BN JHWJD< W H KRTJ W H PLTJ W JRKBW >T CLMH <L PRDT H MLK DWD W JLKW >TW <L GXWN,W JRD YDWQ H KHN W NTN H NBJ> W BNJHW BN JHWJD< W H KRTJ W H PLTJ,YDWQ H KHN W NTN H NBJ> W BNJHW BN JHWJD< W H KRTJ W H PLTJ,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
