verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
295449,CWB[,MT,Amos,1,3,>CJBNW,KH >MR JHWH <L CLCH PC<J DMFQ W <L >RB<H L> >CJBNW <L DWCM B XRYWT H BRZL >T H GL<D,<L CLCH PC<J DMFQ W <L >RB<H L> >CJBNW,,<L CLCH PC<J DMFQ W <L >RB<H,<L CLC/ PC</ DMFQ/ W <L >RB</,,0,prep + prep,topo,inanim,det,subs,complex,,,hif,impf,,,<L,<L,,,,,
2073000,CWB[,5Q4,Amos,1,3,>CJBNW,KH >MR JHWH <L CLCH PC<J DMFQ W <L >RB<H LW> >CJBNW <L DWCM B XRYWT H BRZL >T HRWT H GL<D,None,None,,,,,,,,,,,0,,hif,impf,,,,,,,,,
2043997,CWB[,4Q82,Amos,1,3,>CJBNW,KH >MR JHWH <L CLCH PC<J DMFQ W <L >RB<H L> >CJBNW <L DWCM B XRYWT H BRZL >T H GL<D,<L CLCH PC<J DMFQ W <L >RB<H L> >CJBNW,,<L CLCH PC<J DMFQ W <L >RB<H,,,0,,,,,,,0,,hif,impf,,,<L,<L,,,,,
2092066,GLH[,Mur88,Amos,1,5,GLW,>WN W TWMK CBV M BJT <DN W GLW <M >RM QJRH >MR JHWH,None,None,,,,,,,,,,,1,,qal,perf,,,,,,,,,
295484,GLH[,MT,Amos,1,5,GLW,W CBRTJ BRJX DMFQ W HKRTJ JWCB M BQ<T_>WN W TWMK CBV M BJT_<DN W GLW <M >RM QJRH >MR JHWH,W GLW <M >RM QJRH,<M >RM,QJRH,QJR=/,,1,dir-he,topo,inanim,,nmpr,simple,,,qal,perf,,,,,,,,,
2044037,GLH[,4Q82,Amos,1,5,GLW,W CBRTJ BRJX DMFQ W HKRTJ JWCB M BQ<T >WN W TWMK CBV M BJT <DN W GLW <M >RM QJRH >MR JHWH,None,None,,,,,,,,,,,1,,qal,perf,,,,,,,,,
2092084,CWB[,Mur88,Amos,1,6,>CJBNW,KH >MR JHWH <L CLCH PC<J <ZH W <L >RB<H L> >CJBNW <L HGLWTM GLWT CLMH L HSGJR L >DWM,<L CLCH PC<J <ZH W <L >RB<H L> >CJBNW,,<L CLCH PC<J <ZH W <L >RB<H,,,0,,,,,,,0,,hif,impf,,,<L,<L,,,,,
295501,CWB[,MT,Amos,1,6,>CJBNW,KH >MR JHWH <L CLCH PC<J <ZH W <L >RB<H L> >CJBNW <L HGLWTM GLWT CLMH L HSGJR L >DWM,<L CLCH PC<J <ZH W <L >RB<H L> >CJBNW,,<L CLCH PC<J <ZH W <L >RB<H,<L CLC/ PC</ <ZH/ W <L >RB</,,0,prep + prep,topo,inanim,det,subs,complex,,,hif,impf,,,<L,<L,,,,,
295503,GLH[,MT,Amos,1,6,HGLWTM,KH >MR JHWH <L CLCH PC<J <ZH W <L >RB<H L> >CJBNW <L HGLWTM GLWT CLMH L HSGJR L >DWM,<L HGLWTM GLWT CLMH,,no complement,no complement,,,,,,,,,,,hif,infc,,,,,,,,,
2044055,CWB[,4Q82,Amos,1,6,>CJBNW,KH >MR JHWH <L CLCH PC<J <ZH W <L >RB<H LW> >CJBNW <L HGLWTM GLWT CLMH L HSGJR L >D,<L CLCH PC<J <ZH W <L >RB<H LW> >CJBNW,,<L CLCH PC<J <ZH W <L >RB<H,,,0,,,,,,,0,,hif,impf,,,<L,<L,,,,,
