verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
370087,BW>[,MT,Daniel,1,1,B>,B CNT CLWC L MLKWT JHWJQJM MLK JHWDH B> NBWKDN>YR MLK BBL JRWCLM W JYR <LJH,B CNT CLWC L MLKWT JHWJQJM MLK JHWDH B> NBWKDN>YR MLK BBL JRWCLM,NBWKDN>YR MLK BBL,JRWCLM,JRWCLM/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,perf,,,,,,,,,
370112,BW>[,MT,Daniel,1,2,JBJ>M,W JTN >DNJ B JDW >T JHWJQJM MLK JHWDH W M QYT KLJ BJT H >LHJM W JBJ>M >RY CN<R BJT >LHJW W >T H KLJM HBJ> BJT >WYR >LHJW,W JBJ>M >RY CN<R BJT >LHJW,,>RY CN<R BJT >LHJW,>RY/ CN<R/ BJT/ >LHJM/,,0,vc,topo,inanim,det,subs,complex,,,hif,wayq,,,,,,,,,
370121,BW>[,MT,Daniel,1,2,HBJ>,W JTN >DNJ B JDW >T JHWJQJM MLK JHWDH W M QYT KLJ BJT H >LHJM W JBJ>M >RY CN<R BJT >LHJW W >T H KLJM HBJ> BJT >WYR >LHJW,W >T H KLJM HBJ> BJT >WYR >LHJW,,BJT >WYR >LHJW,BJT/ >WYR/ >LHJM/,,0,vc,,,det,subs,complex,,,hif,perf,,,,,,,,,
370470,BW>[,MT,Daniel,1,18,HBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBKDNYR,L HBJ>M,,no complement,no complement,,,,,,,,,,,hif,infc,,,,,,,,,
370472,BW>[,MT,Daniel,1,18,JBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBKDNYR,W JBJ>M FR H SRJSJM L PNJ NBKDNYR,FR H SRJSJM,L PNJ NBKDNYR,L PNH/ NBWKDN>YR/,,0,prep,pers,anim,det,subs,complex,,,hif,wayq,,,L,,,,,,
2057864,BW>[,4Q112,Daniel,1,18,HBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBWKDNYR,None,None,,,,,,,,,,,0,,hif,infc,,,,,,,,,
2057866,BW>[,4Q112,Daniel,1,18,JBJ>M,W L M QYT H JMJM >CR >MR H MLK L HBJ>M W JBJ>M FR H SRJSJM L PNJ NBWKDNYR,None,None,,,,,,,,,,,0,,hif,wayq,,,,,,,,,
376449,GLH[,MT,Daniel,10,1,NGLH,B CNT CLWC L KWRC MLK PRS DBR NGLH L DNJ>L >CR NQR> CMW BLVC>YR W >MT H DBR W YB> GDWL W BJN >T H DBR W BJNH LW B MR>H,B CNT CLWC L KWRC MLK PRS DBR NGLH L DNJ>L,DBR,L DNJ>L,L DNJ>L/,,0,prep,pers,anim,det,nmpr,simple,,,nif,perf,,,L,,,,,,
376495,BW>[,MT,Daniel,10,3,B>,LXM XMDWT L> >KLTJ W BFR W JJN L> B> >L PJ W SWK L> SKTJ <D ML>T CLCT CB<JM JMJM,W BFR W JJN L> B> >L PJ,BFR W JJN,>L PJ,>L PH/,,0,prep,,,det,subs,complex,,,qal,perf,,,>L,,,,,,
376598,NPL[,MT,Daniel,10,7,NPLH,W R>JTJ >NJ DNJ>L L BDJ >T H MR>H W H >NCJM >CR HJW <MJ L> R>W >T H MR>H >BL XRDH GDLH NPLH <LJHM W JBRXW B HXB>,>BL XRDH GDLH NPLH <LJHM,XRDH GDLH,<LJHM,<L,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,<L,,,,,,
376601,BRX[,MT,Daniel,10,7,JBRXW,W R>JTJ >NJ DNJ>L L BDJ >T H MR>H W H >NCJM >CR HJW <MJ L> R>W >T H MR>H >BL XRDH GDLH NPLH <LJHM W JBRXW B HXB>,W JBRXW,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
2061023,NPL[,4Q114,Daniel,10,7,NPLH,W R>JTJ >NJ DNJ>L L BDJ >T H MR>H W H >NCJM >CR HJW <MJ L> R>W >T H MR>H >BL XRDH GDWLH NPLH <LJHM W JBRXW B HXB>,>BL XRDH GDWLH NPLH <LJHM,XRDH GDWLH,<LJHM,,,0,,,,,,,0,,qal,perf,,,<L,,,,,,
376726,BW>[,MT,Daniel,10,12,B>TJ,W J>MR >LJ >L TJR> DNJ>L KJ MN H JWM H R>CWN >CR NTT >T LBK L HBJN W L HT<NWT L PNJ >LHJK NCM<W DBRJK W >NJ B>TJ B DBRJK,W >NJ B>TJ B DBRJK,>NJ,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
2061143,BW>[,4Q114,Daniel,10,12,B>TJ,W J>MR >LJ >L TJR> DNJ>L KJ MN H JWM H R>CWN >CR NTTH >T LBK L HBJN W L HT<NWT L PNJ >LHJK NCM<W DBRJK W >NJ B>TJ B <BWRK,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
376748,BW>[,MT,Daniel,10,13,B>,W FR MLKWT PRS <MD L NGDJ <FRJM W >XD JWM W HNH MJK>L >XD H FRJM H R>CNJM B> L <ZRNJ W >NJ NWTRTJ CM >YL MLKJ PRS,MJK>L >XD H FRJM H R>CNJM B>,MJK>L >XD H FRJM H R>CNJM,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
2075449,BW>[,6Q7,Daniel,10,13,B>,W FR MLKWT PRS <MD L NGDJ <FRJM W >XD JWM W HNH MJK>L >XD H FRJM H RJCWNJM B> L <ZRNJ W >NJ NWTRTJ CM >YL MLKWT PRS,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
376759,BW>[,MT,Daniel,10,14,B>TJ,W B>TJ L HBJNK >T >CR JQRH L <MK B >XRJT H JMJM KJ <WD XZWN L JMJM,W B>TJ,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
2075461,BW>[,6Q7,Daniel,10,14,B>TJ,W B>TJ L HBJNK >T >CR JQRH L <MK B >XRJT H JMJM KJ <WD XZWN L JMJM,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
2061178,BW>[,4Q114,Daniel,10,14,B>TJ,W B>TJ L HBJNK >T >CR JQRH L <MK B >XRJT H JMJM KJ <WD XZWN L JMJM,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
376884,BW>[,MT,Daniel,10,20,B>TJ,W J>MR H JD<T LMH B>TJ >LJK W <TH >CWB L HLXM <M FR PRS W >NJ JWY> W HNH FR JWN B>,LMH B>TJ >LJK,,>LJK,>L,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,>L,,,,,,
376888,CWB[,MT,Daniel,10,20,>CWB,W J>MR H JD<T LMH B>TJ >LJK W <TH >CWB L HLXM <M FR PRS W >NJ JWY> W HNH FR JWN B>,>CWB,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
377039,BW>[,MT,Daniel,11,6,TBW>,W L QY CNJM JTXBRW W BT MLK H NGB TBW> >L MLK H YPWN L <FWT MJCRJM W L> T<YR KWX H ZRW< W L> J<MD W ZR<W W TNTN HJ> W MBJ>JH W H JLDH W MXZQH B <TJM,W BT MLK H NGB TBW> >L MLK H YPWN,BT MLK H NGB,>L MLK H YPWN,>L MLK/ H YPWN/,,0,prep,,,det,subs,complex,,,qal,impf,,,>L,,,,,,
