verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
365693,BW>[,MT,Esther,1,11,HBJ>,L HBJ> >T WCTJ H MLKH L PNJ H MLK B KTR MLKWT L HR>WT H <MJM W H FRJM >T JPJH KJ VWBT MR>H HJ>,L HBJ> >T WCTJ H MLKH L PNJ H MLK B KTR MLKWT,,L PNJ H MLK,L PNH/ H MLK/,,0,prep,,,det,subs,complex,,,hif,infc,,,L,,,,,,
365724,BW>[,MT,Esther,1,12,BW>,W TM>N H MLKH WCTJ L BW> B DBR H MLK >CR B JD H SRJSJM W JQYP H MLK M>D W XMTW B<RH BW,L BW> B DBR H MLK,,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
365851,JY>[,MT,Esther,1,17,JY>,KJ JY> DBR H MLKH <L KL H NCJM L HBZWT B<LJHN B <JNJHN B >MRM H MLK >XCWRWC >MR L HBJ> >T WCTJ H MLKH L PNJW W L> B>H,KJ JY> DBR H MLKH <L KL H NCJM,DBR H MLKH,<L KL H NCJM,<L KL/ H >CH/,,0,prep,,,det,subs,complex,,,qal,impf,,,<L,,,,,,
365871,BW>[,MT,Esther,1,17,HBJ>,KJ JY> DBR H MLKH <L KL H NCJM L HBZWT B<LJHN B <JNJHN B >MRM H MLK >XCWRWC >MR L HBJ> >T WCTJ H MLKH L PNJW W L> B>H,L HBJ> >T WCTJ H MLKH L PNJW,,L PNJW,L PNH/,,0,prep,,,det,subs,complex,,,hif,infc,,,L,,,,,,
365880,BW>[,MT,Esther,1,17,B>H,KJ JY> DBR H MLKH <L KL H NCJM L HBZWT B<LJHN B <JNJHN B >MRM H MLK >XCWRWC >MR L HBJ> >T WCTJ H MLKH L PNJW W L> B>H,W L> B>H,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
365913,JY>[,MT,Esther,1,19,JY>,>M <L H MLK VWB JY> DBR MLKWT M L PNJW W JKTB B DTJ PRS W MDJ W L> J<BWR >CR L> TBW> WCTJ L PNJ H MLK >XCWRWC W MLKWTH JTN H MLK L R<WTH H VWBH MMNH,JY> DBR MLKWT M L PNJW,DBR MLKWT,M L PNJW,MN L PNH/,,0,prep + prep,,,det,subs,complex,,,qal,impf,,,MN,L,,,,,
365928,<BR[,MT,Esther,1,19,J<BWR,>M <L H MLK VWB JY> DBR MLKWT M L PNJW W JKTB B DTJ PRS W MDJ W L> J<BWR >CR L> TBW> WCTJ L PNJ H MLK >XCWRWC W MLKWTH JTN H MLK L R<WTH H VWBH MMNH,W L> J<BWR,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
365931,BW>[,MT,Esther,1,19,TBW>,>M <L H MLK VWB JY> DBR MLKWT M L PNJW W JKTB B DTJ PRS W MDJ W L> J<BWR >CR L> TBW> WCTJ L PNJ H MLK >XCWRWC W MLKWTH JTN H MLK L R<WTH H VWBH MMNH,>CR L> TBW> WCTJ L PNJ H MLK >XCWRWC,WCTJ,L PNJ H MLK >XCWRWC,L PNH/ H MLK/ >XCWRWC/,,0,prep,pers,anim,det,subs,complex,,,qal,impf,,,L,,,,,,
366149,GLH[,MT,Esther,2,6,HGLTH,>CR HGLH M JRWCLJM <M H GLH >CR HGLTH <M JKNJH MLK JHWDH >CR HGLH NBWKDN>YR MLK BBL,>CR HGLTH <M JKNJH MLK JHWDH,,no complement,no complement,,,,,,,,,,,hof,perf,,,,,,,,,
366155,GLH[,MT,Esther,2,6,HGLH,>CR HGLH M JRWCLJM <M H GLH >CR HGLTH <M JKNJH MLK JHWDH >CR HGLH NBWKDN>YR MLK BBL,>CR HGLH NBWKDN>YR MLK BBL,NBWKDN>YR MLK BBL,no complement,no complement,,,,,,,,,,,hif,perf,,,,,,,,,
366318,BW>[,MT,Esther,2,12,BW>,W B HGJ< TR N<RH W N<RH L BW> >L H MLK >XCWRWC M QY HJWT LH K DT H NCJM CNJM <FR XDC KJ KN JML>W JMJ MRWQJHN CCH XDCJM B CMN H MR W CCH XDCJM B BFMJM W B TMRWQJ H NCJM,L BW> >L H MLK >XCWRWC,,>L H MLK >XCWRWC,>L H MLK/ >XCWRWC/,,0,prep,pers,anim,det,subs,complex,,,qal,infc,,,>L,,,,,,
366372,BW>[,MT,Esther,2,13,BW>,W B ZH H N<RH B>H >L H MLK >T KL >CR T>MR JNTN LH L BW> <MH M BJT H NCJM <D BJT H MLK,L BW> <MH M BJT H NCJM <D BJT H MLK,,<D BJT H MLK,<D BJT/ H MLK/,,0,prep,,,det,subs,complex,,,qal,infc,,,<D,,,,,,
366408,BW>[,MT,Esther,2,14,TBW>,B <RB HJ> B>H W B BQR HJ> CBH >L BJT H NCJM CNJ >L JD C<CGZ SRJS H MLK CMR H PJLGCJM L> TBW> <WD >L H MLK KJ >M XPY BH H MLK W NQR>H B CM,L> TBW> <WD >L H MLK,,>L H MLK,>L H MLK/,,0,prep,,,det,subs,simple,,,qal,impf,,,>L,,,,,,
