verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
378174,<BR[,MT,Ezra,1,1,J<BR,W B CNT >XT L KWRC MLK PRS L KLWT DBR JHWH M PJ JRMJH H<JR JHWH >T RWX KRC MLK PRS W J<BR QWL B KL MLKWTW W GM B MKTB L >MR,W J<BR QWL B KL MLKWTW,,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
378222,<LH[,MT,Ezra,1,3,J<L,MJ BKM M KL <MW JHJ >LHJW <MW W J<L L JRWCLM >CR B JHWDH W JBN >T BJT JHWH >LHJ JFR>L HW> H >LHJM >CR B JRWCLM,W J<L L JRWCLM,,L JRWCLM,L JRWCLM/,,0,prep,topo,inanim,det,nmpr,simple,,,qal,impf,,,L,,,,,,
378300,<LH[,MT,Ezra,1,5,<LWT,W JQWMW R>CJ H >BWT L JHWDH W BNJMN W H KHNJM W H LWJM L KL H<JR H >LHJM >T RWXW L <LWT L BNWT >T BJT JHWH >CR B JRWCLM,L <LWT,,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
378341,JY>[,MT,Ezra,1,7,HWYJ>,W H MLK KWRC HWYJ> >T KLJ BJT JHWH >CR HWYJ> NBWKDNYR M JRWCLM W JTNM B BJT >LHJW,W H MLK KWRC HWYJ> >T KLJ BJT JHWH,H MLK KWRC,no complement,no complement,,,,,,,,,,,hif,perf,,,,,,,,,
378357,JY>[,MT,Ezra,1,8,JWYJ>M,W JWYJ>M KWRC MLK PRS <L JD MTRDT H GZBR W JSPRM L CCBYR H NFJ> L JHWDH,W JWYJ>M KWRC MLK PRS <L JD MTRDT H GZBR,KWRC MLK PRS,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
378416,<LH[,MT,Ezra,1,11,H<LH,KL KLJM L ZHB W L KSP XMCT >LPJM W >RB< M>WT H KL H<LH CCBYR <M H<LWT H GWLH M BBL L JRWCLM,H KL H<LH CCBYR,CCBYR,no complement,no complement,,,,,,,,,,,hif,perf,,,,,,,,,
378419,<LH[,MT,Ezra,1,11,H<LWT,KL KLJM L ZHB W L KSP XMCT >LPJM W >RB< M>WT H KL H<LH CCBYR <M H<LWT H GWLH M BBL L JRWCLM,<M H<LWT H GWLH M BBL L JRWCLM,H GWLH,L JRWCLM,L JRWCLM/,,0,prep,topo,inanim,det,nmpr,simple,,,nif,infc,,,L,,,,,,
382785,JY>[,MT,Ezra,10,3,HWYJ>,W <TH NKRT BRJT L >LHJNW L HWYJ> KL NCJM W H NWLD MHM B <YT >DNJ W H XRDJM B MYWT >LHJNW W K TWRH J<FH,L HWYJ> KL NCJM B <YT >DNJ,,no complement,no complement,,,,,,,,,,,hif,infc,,,,,,,,,
382850,HLK[,MT,Ezra,10,6,JLK,W JQM <ZR> M L PNJ BJT H >LHJM W JLK >L LCKT JHWXNN BN >LJCJB W JLK CM LXM L> >KL W MJM L> CTH KJ MT>BL <L M<L H GWLH,W JLK >L LCKT JHWXNN BN >LJCJB,,>L LCKT JHWXNN BN >LJCJB,>L LCKH/ JHWXNN/ BN/ >LJCJB/,,0,prep,pers pers,anim anim,det,subs,complex,,,qal,wayq,,,>L,,,,,,
382857,HLK[,MT,Ezra,10,6,JLK,W JQM <ZR> M L PNJ BJT H >LHJM W JLK >L LCKT JHWXNN BN >LJCJB W JLK CM LXM L> >KL W MJM L> CTH KJ MT>BL <L M<L H GWLH,W JLK CM,,CM,CM,,0,vc,,,,advb,simple,,,qal,wayq,,,,,,,,,
