verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
2097259,JY>[,Mur88,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
2097271,JY>[,Mur88,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
302228,JY>[,MT,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,W L> JY> L NYX MCPV,MCPV,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
302240,JY>[,MT,Habakkuk,1,4,JY>,<L KN TPWG TWRH W L> JY> L NYX MCPV KJ RC< MKTJR >T H YDJQ <L KN JY> MCPV M<QL,<L KN JY> MCPV M<QL,MCPV,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
2097305,MHR[,Mur88,Habakkuk,1,6,NMHR,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR H HWLK L MRXBJ >RY L RCT MCKNWT L> LW,None,None,,,,,,,,,,,0,,nif,ptca,,,,,,,,,
2097307,HLK[,Mur88,Habakkuk,1,6,HWLK,KJ HNNJ MQJM >T H KFDJM H GWJ H MR W H NMHR H HWLK L MRXBJ >RY L RCT MCKNWT L> LW,None,None,,,,,,,,,,,0,,qal,ptca,,,,,,,,,
302311,<WP[,MT,Habakkuk,1,8,J<PW,W QLW M NMRJM SWSJW W XDW M Z>BJ <RB W PCW PRCJW W PRCJW M RXWQ JB>W J<PW K NCR XC L >KWL,J<PW K NCR,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
2097355,BW>[,Mur88,Habakkuk,1,9,JBW>,KLH L XMS JBW> MGMT PNJHM QDJMH W J>SP K XWL CBJ,None,None,,,,,,,,,,,1,,qal,impf,,,,,,,,,
302320,BW>[,MT,Habakkuk,1,9,JBW>,KLH L XMS JBW> MGMT PNJHM QDJMH W J>SP K XWL CBJ,KLH L XMS JBW>,KLH,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
302351,XLP[,MT,Habakkuk,1,11,XLP,>Z XLP RWX W J<BR W >CM ZW KXW L >LHW,>Z XLP RWX,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
