verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
336091,HLK[,MT,Job,1,4,HLKW,W HLKW BNJW W <FW MCTH BJT >JC JWMW W CLXW W QR>W L CLCT >XJTJHM L >KL W L CTWT <MHM,W HLKW BNJW,BNJW,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
336130,<LH[,MT,Job,1,5,H<LH,W JHJ KJ HQJPW JMJ H MCTH W JCLX >JWB W JQDCM W HCKJM B BQR W H<LH <LWT MSPR KLM KJ >MR >JWB >WLJ XV>W BNJ W BRKW >LHJM B LBBM KKH J<FH >JWB KL H JMJM,W H<LH <LWT MSPR KLM,,no complement,no complement,,,,,,,,,,,hif,perf,,,,,,,,,
336156,BW>[,MT,Job,1,6,JB>W,W JHJ H JWM W JB>W BNJ H >LHJM L HTJYB <L JHWH W JBW> GM H FVN B TWKM,W JB>W BNJ H >LHJM,BNJ H >LHJM,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
336165,BW>[,MT,Job,1,6,JBW>,W JHJ H JWM W JB>W BNJ H >LHJM L HTJYB <L JHWH W JBW> GM H FVN B TWKM,W JBW> GM H FVN B TWKM,GM H FVN,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
336195,HLK[,MT,Job,1,7,HTHLK,W J>MR JHWH >L H FVN M >JN TB> W J<N H FVN >T JHWH W J>MR M CWV B >RY W M HTHLK BH,W M HTHLK BH,,BH,B,,0,prep,prsf,,det,prsf,simple,,,hit,infc,,,B,,,,,,
336296,JY>[,MT,Job,1,12,JY>,W J>MR JHWH >L H FVN HNH KL >CR LW B JDK RQ >LJW >L TCLX JDK W JY> H FVN M <M PNJ JHWH,W JY> H FVN M <M PNJ JHWH,H FVN,M <M PNJ JHWH,MN <M PNH/ JHWH/,,0,prep + prep,pers,anim,det,subs,complex,,,qal,wayq,,,MN,<M,,,,,
336322,BW>[,MT,Job,1,14,B>,W ML>K B> >L >JWB W J>MR H BQR HJW XRCWT W H >TNWT R<WT <L JDJHM,W ML>K B> >L >JWB,ML>K,>L >JWB,>L >JWB/,,0,prep,pers,anim,det,nmpr,simple,,,qal,perf,,,>L,,,,,,
336338,NPL[,MT,Job,1,15,TPL,W TPL CB> W TQXM W >T H N<RJM HKW L PJ XRB W >MLVH RQ >NJ L BDJ L HGJD LK,W TPL CB>,CB>,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
336466,NPL[,MT,Job,1,19,JPL,W HNH RWX GDWLH B>H M <BR H MDBR W JG< B >RB< PNWT H BJT W JPL <L H N<RJM W JMWTW W >MLVH RQ >NJ L BDJ L HGJD LK,W JPL <L H N<RJM,,<L H N<RJM,<L H N<R/,,0,prep,,,det,subs,simple,,,qal,wayq,,,<L,,,,,,
336493,NPL[,MT,Job,1,20,JPL,W JQM >JWB W JQR< >T M<LW W JGZ >T R>CW W JPL >RYH W JCTXW,W JPL >RYH,,>RYH,>RY/,,1,dir-he,,,,subs,simple,,,qal,wayq,,,,,,,,,
336506,CWB[,MT,Job,1,21,>CWB,W J>MR <RM JYTJ M BVN >MJ W <RM >CWB CMH JHWH NTN W JHWH LQX JHJ CM JHWH MBRK,W <RM >CWB CMH,,CMH,CM,,1,dir-he,,,,advb,simple,,,qal,impf,,,,,,,,,
338675,CWB[,MT,Job,10,9,TCJBNJ,ZKR N> KJ K XMR <FJTNJ W >L <PR TCJBNJ,W >L <PR TCJBNJ,,>L <PR,>L <PR/,,0,prep,,,und,subs,simple,,,hif,impf,,,>L,,,,,,
338681,NTK[,MT,Job,10,10,TTJKNJ,H L> K XLB TTJKNJ W K GBNH TQPJ>NJ,H L> K XLB TTJKNJ,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,
338745,CWB[,MT,Job,10,16,TCB,W JG>H K CXL TYWDNJ W TCB TTPL> BJ,W TCB,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
338794,HLK[,MT,Job,10,21,>LK,B VRM >LK W L> >CWB >L >RY XCK W YLMWT,B VRM >LK >L >RY XCK W YLMWT,,>L >RY XCK W YLMWT,>L >RY/ XCK/ W YLMWT/,,0,prep,,,und,subs,complex,,,qal,impf,,,>L,,,,,,
338797,CWB[,MT,Job,10,21,>CWB,B VRM >LK W L> >CWB >L >RY XCK W YLMWT,W L> >CWB,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
338903,XLP[,MT,Job,11,10,JXLP,>M JXLP W JSGJR W JQHJL W MJ JCJBNW,>M JXLP,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
338907,QHL[,MT,Job,11,10,JQHJL,>M JXLP W JSGJR W JQHJL W MJ JCJBNW,W JQHJL,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,
338910,CWB[,MT,Job,11,10,JCJBNW,>M JXLP W JSGJR W JQHJL W MJ JCJBNW,W MJ JCJBNW,MJ,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,
338968,<BR[,MT,Job,11,16,<BRW,KJ >TH <ML TCKX K MJM <BRW TZKR,<BRW,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
339072,BW>[,MT,Job,12,6,HBJ>,JCLJW >HLJM L CDDJM W BVXWT L MRGJZJ >L L >CR HBJ> >LWH B JDW,L >CR HBJ> >LWH B JDW,>LWH,no complement,no complement,,,,,,,,,,,hif,perf,,,,,,,,,
339222,JY>[,MT,Job,12,22,JY>,MGLH <MQWT MNJ XCK W JY> L >WR YLMWT,W JY> L >WR YLMWT,,L >WR,L H >WR/,,0,prep,,,det,subs,simple,,,hif,wayq,,,L,,,,,,
339246,T<H[,MT,Job,12,24,JT<M,MSJR LB R>CJ <M H >RY W JT<M B THW L> DRK,W JT<M B THW,,B THW,B THW/,,0,prep,,,und,subs,simple,,,hif,wayq,,,B,,,,,,
339257,T<H[,MT,Job,12,25,JT<M,JMCCW XCK W L> >WR W JT<M K CKWR,W JT<M K CKWR,,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
339358,NPL[,MT,Job,13,11,JPL,H L> F>TW TB<T >TKM W PXDW JPL <LJKM,W PXDW JPL <LJKM,PXDW,<LJKM,<L,,0,prep,prsf,,det,prsf,simple,,,qal,impf,,,<L,,,,,,
