verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
363557,GLH[,MT,Lamentations,1,3,GLTH,GLTH JHWDH M <NJ W M RB <BDH HJ> JCBH B GWJM L> MY>H MNWX KL RDPJH HFJGWH BJN H MYRJM,GLTH JHWDH M <NJ W M RB <BDH,JHWDH,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
2057480,GLH[,4Q111,Lamentations,1,3,GLTH,GLTH JHWDH M <NJ W M RWB <BWDH HJ>H JCBH B GWJM LW> MY>H MNWX KWL RDPJH HFJGWH BJN H MYRJM,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
363610,HLK[,MT,Lamentations,1,5,HLKW,HJW YRJH L R>C >JBJH CLW KJ JHWH HWGH <L RB PC<JH <WLLJH HLKW CBJ L PNJ YR,<WLLJH HLKW CBJ L PNJ YR,<WLLJH,CBJ,CBJ/,,0,vc,,,und,subs,simple,,,qal,perf,,,,,,,,,
2057534,HLK[,4Q111,Lamentations,1,5,HLKW,HJW YRJH L R>WC >JBJH CLW KJ> JHWH HWGH <L RWB PC<JH <WLLJH HLKW CBJ L PNJ YRJH,<WLLJH HLKW CBJ L PNJ YRJH,<WLLJH,CBJ,,,0,,,,,,,0,,qal,perf,,,,,,,,,
363630,HLK[,MT,Lamentations,1,6,JLKW,W JY> MN BT YJWN KL HDRH HJW FRJH K >JLJM L> MY>W MR<H W JLKW B L> KX L PNJ RWDP,W JLKW B L> KX L PNJ RWDP,,L PNJ RWDP,L PNH/ RDP[,,0,prep,,,und,subs,complex,,,qal,wayq,,,L,,,,,,
2057541,JY>[,4Q111,Lamentations,1,6,JY>,W JY> M BT YJWN KWL HDRH HJW FRJH K >JLJM LW> LW> MY> W MR<H W JLKW BLJ KWX L PNJ RWDP,None,None,,,,,,,,,,,0,,qal,wayq,,,,,,,,,
2057557,HLK[,4Q111,Lamentations,1,6,JLKW,W JY> M BT YJWN KWL HDRH HJW FRJH K >JLJM LW> LW> MY> W MR<H W JLKW BLJ KWX L PNJ RWDP,None,None,,,,,,,,,,,0,,qal,wayq,,,,,,,,,
363651,NPL[,MT,Lamentations,1,7,NPL,ZKRH JRWCLM JMJ <NJH W MRWDJH KL MXMDJH >CR HJW M JMJ QDM B NPL <MH B JD YR W >JN <WZR LH R>WH YRJM FXQW <L MCBTH,B NPL <MH B JD YR,<MH,B JD YR,B JD/ YR=/,,0,prep,,,und,subs,complex,,,qal,infc,,,B,,,,,,
2057574,NPL[,4Q111,Lamentations,1,7,NPL,ZKWRH JHWH KWL MK>WBNW >CR HJW M JMJ QDM B NPL <MH B JD YR W >JN <WZR YRJH FXQW <L KWL MCBRJH,None,None,,,,,,,,,,,0,,qal,infc,,,,,,,,,
363683,CWB[,MT,Lamentations,1,8,TCB,XV> XV>H JRWCLM <L KN L NJDH HJTH KL MKBDJH HZJLWH KJ R>W <RWTH GM HJ> N>NXH W TCB >XWR,W TCB >XWR,,>XWR,>XWR/,,0,vc,,,und,subs,simple,,,qal,wayq,,,,,,,,,
2057606,CWB[,4Q111,Lamentations,1,8,TCB,XVW> XV>H JRWCLJM <L KN L NWD HJTH KWL MKBDJH HZJLW KJ> R>W <RWTH GM HJ>H N>NXH W TCB >XWR,None,None,,,,,,,,,,,0,,qal,wayq,,,,,,,,,
