verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
2096561,NTK[,Mur88,Nahum,1,6,NTKH,L PNJ Z<MW MJ J<MD W MJ JQWM B XRWN >PW XMTW NTKH K >C W H YRJM NTYW MMNW,None,None,,,,,,,,,,,0,,nif,perf,,,,,,,,,
301535,NTK[,MT,Nahum,1,6,NTKH,L PNJ Z<MW MJ J<MWD W MJ JQWM B XRWN >PW XMTW NTKH K >C W H YRJM NTYW MMNW,XMTW NTKH K >C,XMTW,no complement,no complement,,,,,,,,,,,nif,perf,,,,,,,,,
2096579,XSH[,Mur88,Nahum,1,7,XSJ,VWB JHWH L M<WZ B JWM YRH W JD< XSJ BW,XSJ BW,,BW,,,0,,,,,,,0,,qal,ptca,,,B,,,,,,
2046607,XSH[,4Q82,Nahum,1,7,XWSJ,L M<WZ B JWM YRH W JWD< XWSJ BW,None,None,,,,,,,,,,,0,,qal,ptca,,,,,,,,,
301610,<BR[,MT,Nahum,1,12,<BR,KH >MR JHWH >M CLMJM W KN RBJM W KN NGZW W <BR W <NTK L> ><NK <WD,W <BR,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
2096697,<BR[,Mur88,Nahum,2,1,<BWR,HNH <L H HRJM RGLJ MBFR MCMJ< CLWM XGJ JHWDH XGJK CLMJ NDRJK KJ L> JWSJP <WD L <BWR BK BLJ<L KLH NKRT,L <BWR BK,,BK,,,0,,,,,,,0,,qal,infc,,,B,,,,,,
301663,<BR[,MT,Nahum,2,1,<BWR,HNH <L H HRJM RGLJ MBFR MCMJ< CLWM XGJ JHWDH XGJK CLMJ NDRJK KJ L> JWSJP <WD L <BWR BK BLJ<L KLH NKRT,L <BWR BK,,BK,B,,0,prep,prsf,,det,prsf,simple,,,qal,infc,,,B,,,,,,
2096703,<LH[,Mur88,Nahum,2,2,<LH,<LH MPJY <L PNJK NYWR MYRH YPH DRK XZQ MTNJM >MY KX M>D,<LH MPJY <L PNJK,MPJY,<L PNJK,,,0,,,,,,,0,,qal,perf,,,<L,,,,,,
301668,<LH[,MT,Nahum,2,2,<LH,<LH MPJY <L PNJK NYWR MYRH YPH DRK XZQ MTNJM >MY KX M>D,<LH MPJY <L PNJK,MPJY,<L PNJK,<L PNH/,,0,prep,,,det,subs,complex,,,qal,perf,,,<L,,,,,,
301682,CWB[,MT,Nahum,2,3,CB,KJ CB JHWH >T G>WN J<QB K G>WN JFR>L KJ BQQWM BQQJM W ZMRJHM CXTW,KJ CB JHWH >T G>WN J<QB K G>WN JFR>L,JHWH,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
2096757,CQQ[,Mur88,Nahum,2,5,JCTQCQWN,B XWYWT JTHWLLW H RKB JCTQCQWN B RXBWT MR>JHN K LPJDM K BRQJM JRWYYW,None,None,,,,,,,,,,,0,,hitpalpel,impf,,,,,,,,,
2096765,RWY[,Mur88,Nahum,2,5,JRWYYW,B XWYWT JTHWLLW H RKB JCTQCQWN B RXBWT MR>JHN K LPJDM K BRQJM JRWYYW,None,None,,,,,,,,,,,0,,polel,impf,,,,,,,,,
301720,CQQ[,MT,Nahum,2,5,JCTQCQWN,B XWYWT JTHWLLW H RKB JCTQCQWN B RXBWT MR>JHN K LPJDM K BRQJM JRWYYW,JCTQCQWN B RXBWT,,B RXBWT,B H RXB==/,,0,prep,,,det,subs,simple,,,hit,impf,,,B,,,,,,
