verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
347025,HLK[,MT,Proverbs,1,11,LKH,>M J>MRW LKH >TNW N>RBH L DM NYPNH L NQJ XNM,LKH >TNW,,>TNW,>T==,,0,prep,prsf,,det,prsf,simple,,,qal,impv,,,>T==,,,,,,
347051,NPL[,MT,Proverbs,1,14,TPJL,GWRLK TPJL B TWKNW KJS >XD JHJH L KLNW,GWRLK TPJL B TWKNW,,B TWKNW,B TWK/,,0,prep,,,det,subs,complex,,,hif,impf,,,B,,,,,,
347061,HLK[,MT,Proverbs,1,15,TLK,BNJ >L TLK B DRK >TM MN< RGLK M NTJBTM,>L TLK B DRK >TM,,B DRK,B DRK/,,0,prep,,,und,subs,simple,,,qal,impf,,,B,,,,,,
347074,RWY[,MT,Proverbs,1,16,JRWYW,KJ RGLJHM L R< JRWYW W JMHRW L CPK DM,KJ RGLJHM L R< JRWYW,RGLJHM,L R<,L H R</,,0,prep,,,det,,simple,,,qal,impf,,,L,,,,,,
347076,MHR[,MT,Proverbs,1,16,JMHRW,KJ RGLJHM L R< JRWYW W JMHRW L CPK DM,W JMHRW,,no complement,no complement,,,,,,,,,,,piel,impf,,,,,,,,,
347143,CWB[,MT,Proverbs,1,23,TCWBW,TCWBW L TWKXTJ HNH >BJ<H LKM RWXJ >WDJ<H DBRJ >TKM,TCWBW L TWKXTJ,,L TWKXTJ,L TWKXT/,,0,prep,,,det,subs,complex,,,qal,impf,,,L,,,,,,
347177,BW>[,MT,Proverbs,1,26,B>,GM >NJ B >JDKM >FXQ >L<G B B> PXDKM,B B> PXDKM,PXDKM,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
347180,BW>[,MT,Proverbs,1,27,B>,B B> K C>WH PXDKM W >JDKM K SWPH J>TH B B> <LJKM YRH W YWQH,B B> K C>WH PXDKM,PXDKM,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,
347188,>TH[,MT,Proverbs,1,27,J>TH,B B> K C>WH PXDKM W >JDKM K SWPH J>TH B B> <LJKM YRH W YWQH,W >JDKM K SWPH J>TH,>JDKM,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
347190,BW>[,MT,Proverbs,1,27,B>,B B> K C>WH PXDKM W >JDKM K SWPH J>TH B B> <LJKM YRH W YWQH,B B> <LJKM YRH W YWQH,YRH W YWQH,<LJKM,<L,,0,prep,prsf,,det,prsf,simple,,,qal,infc,,,<L,,,,,,
2055191,BW>[,4Q102,Proverbs,1,27,B>,B B> <LJKM YRH W YWQH,None,None,,,,,,,,,,,0,,qal,infc,,,,,,,,,
