verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
357626,RWY[,MT,Song_of_songs,1,4,NRWYH,MCKNJ >XRJK NRWYH HBJ>NJ H MLK XDRJW NGJLH W NFMXH BK NZKJRH DDJK M JJN MJCRJM >HBWK,>XRJK NRWYH,,>XRJK,>XR/,,0,vc,,,det,subs,complex,,,qal,impf,,,,,,,,,
357627,BW>[,MT,Song_of_songs,1,4,HBJ>NJ,MCKNJ >XRJK NRWYH HBJ>NJ H MLK XDRJW NGJLH W NFMXH BK NZKJRH DDJK M JJN MJCRJM >HBWK,HBJ>NJ H MLK XDRJW,H MLK,XDRJW,XDR/,,0,vc,,,det,subs,complex,,,hif,perf,,,,,,,,,
2075193,RWY[,6Q6,Song_of_songs,1,4,NRWYH,MCKNJ >XRJK NRWYH HBJ>NJ H MLK XDRJW NFMXH W NGJLH BK NZKJRH DDJK M JJN MJCRJM >HWBJM,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
2075194,BW>[,6Q6,Song_of_songs,1,4,HBJ>NJ,MCKNJ >XRJK NRWYH HBJ>NJ H MLK XDRJW NFMXH W NGJLH BK NZKJRH DDJK M JJN MJCRJM >HWBJM,None,None,,,,,,,,,,,0,,hif,perf,,,,,,,,,
357705,JY>[,MT,Song_of_songs,1,8,Y>J,>M L> TD<J LK H JPH B NCJM Y>J LK B <QBJ H Y>N W R<J >T GDJTJK <L MCKNWT H R<JM,Y>J LK B <QBJ H Y>N,,B <QBJ H Y>N,B <QB=/ H Y>N/,,0,prep,,,det,subs,complex,,,qal,impv,,,B,,,,,,
357826,BW>[,MT,Song_of_songs,2,4,HBJ>NJ,HBJ>NJ >L BJT H JJN W DGLW <LJ >HBH,HBJ>NJ >L BJT H JJN,,>L BJT H JJN,>L BJT/ H JJN/,,0,prep,,,det,subs,complex,,,hif,perf,,,>L,,,,,,
357921,HLK[,MT,Song_of_songs,2,10,LKJ,<NH DWDJ W >MR LJ QWMJ LK R<JTJ JPTJ W LKJ LK,W LKJ LK,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
357927,<BR[,MT,Song_of_songs,2,11,<BR,KJ HNH H STW <BR H GCM XLP HLK LW,KJ HNH H STW <BR,H STW,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
357930,XLP[,MT,Song_of_songs,2,11,XLP,KJ HNH H STW <BR H GCM XLP HLK LW,H GCM XLP,H GCM,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
357931,HLK[,MT,Song_of_songs,2,11,HLK,KJ HNH H STW <BR H GCM XLP HLK LW,HLK LW,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
357965,HLK[,MT,Song_of_songs,2,13,LKJ,H T>NH XNVH PGJH W H GPNJM SMDR NTNW RJX QWMJ LKJ R<JTJ JPTJ W LKJ LK,W LKJ LK,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
2056514,HLK[,4Q107,Song_of_songs,2,13,LKJ,HNH H TN>H XNVH PGJH W H GPNJM SMDR NTNW RJX QWMJ LK R<JTJ JPTJ W LKJ LK,None,None,,,,,,,,,,,0,,qal,impv,,,,,,,,,
358014,NWS[,MT,Song_of_songs,2,17,NSW,<D C JPWX H JWM W NSW H YLLJM SB DMH LK DWDJ L YBJ >W L <PR H >JLJM <L HRJ BTR,W NSW H YLLJM,H YLLJM,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
