verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
28771,BW>[,MT,Exodus,1,1,B>JM,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,H B>JM MYRJMH >T J<QB,,MYRJMH,MYRJM/,,1,dir-he,topo,inanim,det,nmpr,simple,,,qal,ptca,,,,,,,,,
28778,BW>[,MT,Exodus,1,1,B>W,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
28798,JY>[,MT,Exodus,1,5,JY>J,W JHJ KL NPC JY>J JRK J<QB CB<JM NPC W JWSP HJH B MYRJM,W JHJ KL NPC JY>J JRK J<QB CB<JM NPC,KL NPC JY>J JRK J<QB,no complement,no complement,,,,,,,,,,,qal,ptca,,,,,,,,,
28881,<LH[,MT,Exodus,1,10,<LH,HBH NTXKMH LW PN JRBH W HJH KJ TQR>NH MLXMH W NWSP GM HW> <L FN>JNW W NLXM BNW W <LH MN H >RY,W <LH MN H >RY,,MN H >RY,MN H >RY/,,0,prep,,,det,subs,simple,,,qal,perf,,,MN,,,,,,
29061,BW>[,MT,Exodus,1,19,TBW>,W T>MRN H MJLDT >L PR<H KJ L> K NCJM H MYRJT H <BRJT KJ XJWT HNH B VRM TBW> >LHN H MJLDT W JLDW,B VRM TBW> >LHN H MJLDT,H MJLDT,>LHN,>L,,0,prep,prsf,,det,prsf,simple,,,qal,impf,,,>L,,,,,,
29115,HLK[,MT,Exodus,2,1,JLK,W JLK >JC M BJT LWJ W JQX >T BT LWJ,W JLK >JC M BJT LWJ,>JC M BJT LWJ,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
29187,JRD[,MT,Exodus,2,5,TRD,W TRD BT PR<H L RXY <L H J>R W N<RTJH HLKT <L JD H J>R W TR> >T H TBH B TWK H SWP W TCLX >T >MTH W TQXH,W TRD BT PR<H <L H J>R,BT PR<H,<L H J>R,<L H J>R=/,,0,prep,topo,inanim,det,nmpr,simple,,,qal,wayq,,,<L,,,,,,
29197,HLK[,MT,Exodus,2,5,HLKT,W TRD BT PR<H L RXY <L H J>R W N<RTJH HLKT <L JD H J>R W TR> >T H TBH B TWK H SWP W TCLX >T >MTH W TQXH,W N<RTJH HLKT <L JD H J>R,N<RTJH,<L JD H J>R,<L JD/ H J>R=/,,0,prep,topo,inanim,det,subs,complex,,,qal,ptca,,,<L,,,,,,
29245,HLK[,MT,Exodus,2,7,>LK,W T>MR >XTW >L BT PR<H H >LK W QR>TJ LK >CH MJNQT MN H <BRJT W TJNQ LK >T H JLD,H >LK,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
29265,HLK[,MT,Exodus,2,8,LKJ,W T>MR LH BT PR<H LKJ W TLK H <LMH W TQR> >T >M H JLD,LKJ,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
29267,HLK[,MT,Exodus,2,8,TLK,W T>MR LH BT PR<H LKJ W TLK H <LMH W TQR> >T >M H JLD,W TLK H <LMH,H <LMH,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
29281,HLK[,MT,Exodus,2,9,HJLJKJ,W T>MR LH BT PR<H HJLJKJ >T H JLD H ZH W HJNQHW LJ W >NJ >TN >T FKRK W TQX H >CH H JLD W TNJQHW,HJLJKJ >T H JLD H ZH,,no complement,no complement,,,,,,,,,,,hif,impv,,,,,,,,,
29308,BW>[,MT,Exodus,2,10,TB>HW,W JGDL H JLD W TB>HW L BT PR<H W JHJ LH L BN W TQR> CMW MCH W T>MR KJ MN H MJM MCJTHW,W TB>HW L BT PR<H,,L BT PR<H,L BT/ PR<H/,,0,prep,,,det,subs,complex,,,hif,wayq,,,L,,,,,,
29339,JY>[,MT,Exodus,2,11,JY>,W JHJ B JMJM H HM W JGDL MCH W JY> >L >XJW W JR> B SBLTM W JR> >JC MYRJ MKH >JC <BRJ M >XJW,W JY> >L >XJW,,>L >XJW,>L >X/,,0,prep,,,det,subs,complex,,,qal,wayq,,,>L,,,,,,
29356,PNH[,MT,Exodus,2,12,JPN,W JPN KH W KH W JR> KJ >JN >JC W JK >T H MYRJ W JVMNHW B XWL,W JPN KH W KH,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
29376,JY>[,MT,Exodus,2,13,JY>,W JY> B JWM H CNJ W HNH CNJ >NCJM <BRJM NYJM W J>MR L RC< LMH TKH R<K,W JY> B JWM H CNJ,,no complement,no complement,,,,,,,,,,,qal,wayq,,,,,,,,,
29441,BRX[,MT,Exodus,2,15,JBRX,W JCM< PR<H >T H DBR H ZH W JBQC L HRG >T MCH W JBRX MCH M PNJ PR<H W JCB B >RY MDJN W JCB <L H B>R,W JBRX MCH M PNJ PR<H,MCH,M PNJ PR<H,MN PNH/ PR<H/,,0,prep,,,det,subs,complex,,,qal,wayq,,,MN,,,,,,
