verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1996829,<BR[,4Q51,1_Samuel,1,11,J<BWR,JHWH YB>WT >M R>H TR>H B <NJ >MTK W ZKRTNJ W LW> TCKX >T >MTK W NTTH L >MTK ZR< >NCJM W NTTJHW L PNJK NZJR <D JWM MWTW W JJN W CKR LW> JCTH W MWRH L> J<BWR <L R>CW,None,None,,,,0,1111 11111 11 111 1111 1 111 1110 1 111111 1 111 1111 11 1111 1 1111 1 1111 111 11110 0 000000 0 1111 1111 11 111 1111 1 111 1 111 111 1111 1 0000 00 00000 01 1111,qal,impf,,,,,,,
1996873,HLK[,4Q51,1_Samuel,1,17,LKJ,W J<N <LJ W J>MR LKJ L CLWM >LHJ JFR>L JTN LK >T C>LTK >CR C>LT M <MW,None,None,,,,0,1 111 111 1 1110 111 1 1111 1111 11111 111 11 11 11111 111 1111 1 111,qal,impv,,,,,,,
1996895,HLK[,4Q51,1_Samuel,1,18,TLK,W T>MR TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W TBW> H LCKTH W T>KL,None,None,,,,1,1 1000 1111 11111 11 1 11111 1 111 1 111 1 1111 1 1111 1 11111 1 1110,qal,wayq,,,,,,,
1996901,BW>[,4Q51,1_Samuel,1,18,TBW>,W T>MR TMY> CPXTK XN B <JNJK W TLK H >CH L DRKH W TBW> H LCKTH W T>KL,None,None,,,,1,1 1000 1111 11111 11 1 11111 1 111 1 111 1 1111 1 1111 1 11111 1 1110,qal,wayq,,,,,,,
1996911,<LH[,4Q51,1_Samuel,1,22,<LTH,W XNH LW> <LTH <MW KJ >MRH L >JCH <D >CR J<LH H N<R <D GMLTJHW W NR>H >T PNJ JHWH W JCB L PNJ JHWH W JCB CM <D <WLM W NTTJHW NZJR <D <WLM KWL JMJ XJJW,None,None,,,,0,1 111 111 1111 111 11 1100 0 0000 00 000 1111 1 111 11 1111111 1 1111 00 001 0000 0 000 0 000 1111 1 111 11 11 1111 1 110000 0000 00 0000 000 000 1111,qal,perf,,,,,,,
1996919,<LH[,4Q51,1_Samuel,1,22,J<LH,W XNH LW> <LTH <MW KJ >MRH L >JCH <D >CR J<LH H N<R <D GMLTJHW W NR>H >T PNJ JHWH W JCB L PNJ JHWH W JCB CM <D <WLM W NTTJHW NZJR <D <WLM KWL JMJ XJJW,None,None,,,,0,1 111 111 1111 111 11 1100 0 0000 00 000 1111 1 111 11 1111111 1 1111 00 001 0000 0 000 0 000 1111 1 111 11 11 1111 1 110000 0000 00 0000 000 000 1111,qal,impf,,,,,,,
1996966,JY>[,4Q51,1_Samuel,1,23,JWY>,W J>MR LH >LQNH >JCH <FJ H VWB B <JNJK CBJ <D GMLK >WTW >K JQM JHWH H JWY> M PJK W TCB H >CH W TJNQ >T BNH <D GMLH >WTW,None,None,,,,0,1 1111 11 11111 1111 000 0 000 0 00000 000 00 1111 1111 11 111 1110 0 0000 0 000 0 000 0 000 1 1111 11 111 11 1111 1000,qal,ptca,,,,,,,
1996982,<LH[,4Q51,1_Samuel,1,24,T<L,W T<L >WTW CJLH K >CR J<LH >LQNH L ZBX L JHWH B PR BN BQR MCLC W LXM W >JPH >XT QMX W NBL JJN W TBJ>HW BJT JHWH CJLH W H N<R <MM W JBJ>WHW L PNJ JHWH W JCXV >BJHW >T H ZBX K >CR J<FH M JMJM JMJMH L JHWH,None,None,,,,1,0 000 0000 0000 0 000 1111 11111 1 111 1 1111 1 11 11 000 0000 0 000 1 1111 111 111 1 111 111 1 111111 110 0000 0000 0 0 000 111 1 1111111 1 111 1111 1 1111 11111 11 0 000 1 000 1111 1 1111 11111 1 1111,hif,wayq,,,,,,,
1996987,<LH[,4Q51,1_Samuel,1,24,J<LH,W T<L >WTW CJLH K >CR J<LH >LQNH L ZBX L JHWH B PR BN BQR MCLC W LXM W >JPH >XT QMX W NBL JJN W TBJ>HW BJT JHWH CJLH W H N<R <MM W JBJ>WHW L PNJ JHWH W JCXV >BJHW >T H ZBX K >CR J<FH M JMJM JMJMH L JHWH,None,None,,,,1,0 000 0000 0000 0 000 1111 11111 1 111 1 1111 1 11 11 000 0000 0 000 1 1111 111 111 1 111 111 1 111111 110 0000 0000 0 0 000 111 1 1111111 1 111 1111 1 1111 11111 11 0 000 1 000 1111 1 1111 11111 1 1111,qal,impf,,,,,,,
1997009,BW>[,4Q51,1_Samuel,1,24,TBJ>HW,W T<L >WTW CJLH K >CR J<LH >LQNH L ZBX L JHWH B PR BN BQR MCLC W LXM W >JPH >XT QMX W NBL JJN W TBJ>HW BJT JHWH CJLH W H N<R <MM W JBJ>WHW L PNJ JHWH W JCXV >BJHW >T H ZBX K >CR J<FH M JMJM JMJMH L JHWH,None,None,,,,1,0 000 0000 0000 0 000 1111 11111 1 111 1 1111 1 11 11 000 0000 0 000 1 1111 111 111 1 111 111 1 111111 110 0000 0000 0 0 000 111 1 1111111 1 111 1111 1 1111 11111 11 0 000 1 000 1111 1 1111 11111 1 1111,hif,wayq,,,,,,,
