verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1891179,<LH[,1Q4,Deuteronomy,1,22,N<LH,DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NB> >LJHN,None,None,,,,0,111 11 1 111 001 1111 11 1 11 1 1111 111 111 11111,qal,impf,,,,,,,
1891186,BW>[,1Q4,Deuteronomy,1,22,NB>,DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NB> >LJHN,None,None,,,,0,111 11 1 111 001 1111 11 1 11 1 1111 111 111 11111,qal,impf,,,,,,,
1891207,PNH[,1Q4,Deuteronomy,1,24,JPNW,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW H >RY,None,None,,,,1,1 1111 1 1111 1 111 1 1111 11 111 1110 1 11001 0 000,qal,wayq,,,,,,,
1891209,<LH[,1Q4,Deuteronomy,1,24,J<LW,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW H >RY,None,None,,,,1,1 1111 1 1111 1 111 1 1111 11 111 1110 1 11001 0 000,qal,wayq,,,,,,,
1891213,BW>[,1Q4,Deuteronomy,1,24,JB>W,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW H >RY,None,None,,,,1,1 1111 1 1111 1 111 1 1111 11 111 1110 1 11001 0 000,qal,wayq,,,,,,,
1891333,HLK[,1Q4,Deuteronomy,8,19,HLKTH,W HJH >M CKX TCKX >T JHWH >LHJK W HLKTH >XRJ >LHJM >XRJM W <BDTM W HCTXWJT LHM H<DTJ BKM H JWM KJ> >BD T>BDWN,W HLKTH >XRJ >LHJM >XRJM,,>XRJ >LHJM >XRJM,,0,0,1 111 11 111 1111 11 1000 11111 1 11100 0000 11111 11111 1 11111 1 1111111 111 11111 111 1 111 000 001 111111,qal,perf,,,,,,,
1891361,PNH[,1Q4,Deuteronomy,9,27,TPN,ZKR L <BDJK L >BRHM L JYXQ W L J<QWB >L TPN >L QCJ H <M H ZH W >L RC<W W >L XV>TW,>L TPN >L QCJ H <M H ZH W >L RC<W W >L XV>TW,,>L QCJ H <M H ZH W >L RC<W W >L XV>TW,,0,0,111 1 11111 1 11111 1 1111 1 1 11000 11 111 11 111 1 11 1 11 1 11 1111 1 11 11111,qal,impf,>L,>L,>L,,,,
1891380,JY>[,1Q4,Deuteronomy,9,28,JWY>NW,PN J>MRW H >RY >CR JWY>NW M CM M BLJ JKLT JHWH L HBJ>M,None,None,,,,0,11 11111 1 111 110 000001 1 11 1 111 1111 1111 1 11111,hif,impf,,,,,,,
1891388,BW>[,1Q4,Deuteronomy,9,28,HBJ>M,PN J>MRW H >RY >CR JWY>NW M CM M BLJ JKLT JHWH L HBJ>M,None,None,,,,0,11 11111 1 111 110 000001 1 11 1 111 1111 1111 1 11111,hif,infc,,,,,,,
1891432,SWR[,1Q4,Deuteronomy,11,28,SRTM,W H QLLH >M L> TCM<W >L MYWT JHWH >LHJKM W SRTM MN H DRK >CR >NWKJ MYWH >TKM H JWM L LKT >XRJ >LHJM >XRJM >CR L> JD<TM,W SRTM MN H DRK,,MN H DRK,,0,0,1 1 1111 11 11 11111 11 1111 1111 111111 1 1111 11 1 100 000 00000 1111 1111 1 111 1 111 1111 11111 11111 111 11 11111,qal,perf,MN,,,,,,
