verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1890299,<LH[,1Q2,Exodus,16,13,T<L,W JHJ B <RB W T<L H FLW W TKS >T H MXNH W B BQR HJTH CKBT H VL SBJB L MXNH,None,None,,,,0,1 111 1 111 1 111 1 111 1 111 11 0 0001 1 1 000 0000 1111 1 11 1111 1 1111,qal,wayq,,,,,,,
1890319,<LH[,1Q2,Exodus,16,14,T<L,W T<L CKBT H VL W HNH <L PNJ H MDBR DQ K XSPS DQ K KPR <L H >RY,None,None,,,,0,1 111 1111 1 11 0 000 00 100 0 0000 00 0 0000 11 1 111 11 1 111,qal,wayq,,,,,,,
1890400,<LH[,1Q2,Exodus,19,24,<LT,W >HRN <MK W H KHNJM W H <M >L JHRSW L <LT >L JHWH PN JPRY BM,None,None,,,,0,0 0000 000 0 0 11111 1 1 11 11 11000 0 011 11 1111 11 1111 11,qal,infc,,,,,,,
1890408,JRD[,1Q2,Exodus,19,25,JRD,W JRD MCH >L H <M W J>MR >LHM,W JRD MCH >L H <M,MCH,>L H <M,,0,0,0 000 000 00 0 01 1 1111 1111,qal,wayq,>L,,,,,,
1890480,<LH[,1Q2,Exodus,20,26,T<LH,W L> T<LH B M<LWT <L MZBXJ >CR L> TGLH <RWTK <LJW,W L> T<LH B M<LWT <L MZBXJ,,B M<LWT,,0,0,0 00 0111 1 11100 00 11111 111 11 1111 11111 1111,qal,impf,B,<L,,,,,
1890480,<LH[,1Q2,Exodus,20,26,T<LH,W L> T<LH B M<LWT <L MZBXJ >CR L> TGLH <RWTK <LJW,W L> T<LH B M<LWT <L MZBXJ,,<L MZBXJ,,0,0,0 00 0111 1 11100 00 11111 111 11 1111 11111 1111,qal,impf,B,<L,,,,,
1890487,GLH[,1Q2,Exodus,20,26,TGLH,W L> T<LH B M<LWT <L MZBXJ >CR L> TGLH <RWTK <LJW,>CR L> TGLH <RWTK <LJW,<RWTK,<LJW,,0,0,0 00 0111 1 11100 00 11111 111 11 1111 11111 1111,nif,impf,<L,,,,,,
1890518,JY>[,1Q2,Exodus,21,4,JY>,BNWT H >CH W JLDJH THJH L >DNJH W HW> JY> B GPW,None,None,,,,0,1111 1 111 1 11111 1111 1 00000 1 110 000 1 111,qal,impf,,,,,,,
1890537,JY>[,1Q2,Exodus,21,5,>Y>,W >M >MR J>MR H <BD >HBTJ >T >DNJ >T >CTJ W >T BNJ L> >Y> XPCJ,None,None,,,,0,1 11 111 1111 1 111 11111 11 1111 11 0000 0 00 111 11 111 1111,qal,impf,,,,,,,
1929097,JY>[,1Q13,Exodus,13,3,JY>TM,W J>MR MCH >L H <M ZKWR >T H JWM H ZH >CR JY>TM M MYRJM M BJT <BDJM KJ B XZQ JD HWYJ> JHWH >TKM M ZH W L> J>KL XMY,None,None,,,,0,1 1111 111 11 1 11 1111 11 1 110 0 00 001 00000 1 11111 1 111 11111 11 1 111 11 11111 1111 1111 1 11 1 00 0010 000,qal,perf,,,,,,,
1929107,JY>[,1Q13,Exodus,13,3,HWYJ>,W J>MR MCH >L H <M ZKWR >T H JWM H ZH >CR JY>TM M MYRJM M BJT <BDJM KJ B XZQ JD HWYJ> JHWH >TKM M ZH W L> J>KL XMY,None,None,,,,0,1 1111 111 11 1 11 1111 11 1 110 0 00 001 00000 1 11111 1 111 11111 11 1 111 11 11111 1111 1111 1 11 1 00 0010 000,hif,perf,,,,,,,
1929152,JY>[,1Q13,Exodus,13,8,Y>TJ,W HGDT L BNK B JWM H HW> L >MR B <BWR ZH <FH JHWH LJ B Y>TJ M MYRJM,None,None,,,,0,1 1111 1 111 1 111 1 111 1 111 1 1111 11 100 0000 11 1 1100 0 00011,qal,infc,,,,,,,
1929178,JY>[,1Q13,Exodus,13,9,HWY>K,W HJH LK L >WT <L JDK W L ZKRWN BJN <JNJK LM<N THJH TWRT JHWH B PJK KJ B JD XZQH HWY>K JHWH M MYRJM,KJ B JD XZQH HWY>K JHWH M MYRJM,JHWH,M MYRJM,,0,0,1 111 11 1 111 11 111 1 1 11111 111 11111 1111 1111 1000 0111 1 111 10 0 00 0011 11111 1111 1 11111,hif,perf,MN,,,,,,
1930142,JY>[,2Q2,Exodus,7,4,HWY>TJ,W LW> JCM< >LKM PR<H W NTTJ >T JDJ B MYRJM W HWY>TJ >T YB>TJ,None,None,,,,0,0 000 1111 1111 1111 1 1111 11 111 1 11111 1 111111 11 11111,hif,perf,,,,,,,
1930181,JY>[,2Q2,Exodus,9,29,Y>TJ,W JW>MR MWCH >LJW K Y>TJ >T H <JR >PRWF >T KPJ >L JHWH H QWLWT JXDLWN W H BRD LW> JHJH <WD LM<N TD< KJ L JHWH H >RY,None,None,,,,0,0 00000 0000 1111 1 1111 11 1 111 11111 11 111 11 1111 0 00000 001111 1 1 111 111 1111 111 1111 111 11 0 1000 0 001,qal,infc,,,,,,,
1930253,JY>[,2Q2,Exodus,11,4,JWY>,W JW>MR MWCH >L PR<H KH >MR JHWH K XYWT H LJLH >NJ JWY> B TWK MYRJM,None,None,,,,0,1 11110 0000 00 0001 11 111 1111 1 1111 1 1111 111 1111 1 111 10000,qal,ptca,,,,,,,
1930339,HLK[,2Q2,Exodus,12,32,LKW,GM Y>NKM GM BQRKM QXW K >CR DBRTM W LKW W BRKTM GM >WTJ,None,None,,,,0,11 10001 11 11001 111 1 111 11111 1 111 1 11111 11 1111,qal,impv,,,,,,,
1930415,NS<[,2Q2,Exodus,12,37,JS<W,W JS<W BNJ JFR>L M R<MSS SKTH K CC M>WT >LP RGLJ H GBRJM L BD M VP,W JS<W BNJ JFR>L M R<MSS SKTH,BNJ JFR>L,M R<MSS,,0,1,1 1111 000 00000 0 00000 0000 0 11 1111 111 1111 1 11111 1 11 1 11,qal,wayq,MN,,,,,,
1930453,JY>[,2Q2,Exodus,12,39,HWYJ>W,W J>PW >T H BYQ >CR HWYJ>W M MYRJM <WGWT MYWT KJ L> XMY KJ GRCWM MYRJM W L> JKLW L HTMHMH W GM YDH L> <FW LHM,None,None,,,,0,1 1111 11 1 111 111 111111 1 11111 11111 0000 00 00 000 00 00000 00010 0 11 1111 1 111111 1 11 111 11 111 111,hif,perf,,,,,,,
1930509,JY>[,2Q2,Exodus,12,41,JY>W,W JHJ M QY CLCJM CNH W >RB< M>WT CNH W JHJ B <YM H JWM H ZH JY>W KL YB>WT JHWH M >RY MYRJM,JY>W KL YB>WT JHWH M >RY MYRJM,KL YB>WT JHWH,M >RY MYRJM,,0,0,1 111 1 11 11111 000 1 1111 1111 111 1 111 1 111 1 111 1 11 1111 11 11111 1111 1 111 11111,qal,perf,MN,,,,,,
1930535,NPL[,2Q2,Exodus,21,18,NPL,W KJ JRJBWN >NCJM W HKH >JC >T R<HW B >BN >W B >GRWP W L> JMWT W NPL L MCKB,W NPL L MCKB,,L MCKB,,0,0,1 11 111111 11111 1 111 111 11 1111 1 111 11 1 11111 1 11 1111 1 111 1 1110,qal,perf,L,,,,,,
1930542,HLK[,2Q2,Exodus,21,19,HTHLK,>M JQWM W HTHLK B XWY <L MC<NTW W NQH H MKH RQ CBTW JTN W RPW> JRP>,None,None,,,,0,00 0000 1 10111 1 111 11 111111 1 111 1 111 11 1111 111 1 1111 1000,hit,perf,,,,,,,
1930570,BW>[,2Q2,Exodus,26,11,HB>TH,W <FJTH QRSJ NXWCT XMCJM W HB>TH >T H QRSJM B LL>WT W XBRTH >T H >WHL W HJH >XD,None,None,,,,0,1 11111 0100 11111 11111 1 11111 11 1 11111 1 11000 0 00000 00 1 1111 1 111 111,hif,perf,,,,,,,
