verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1895059,BW>[,1Qisaa,Isaiah,1,12,TB>W,KJ> TB>W L R>WT PNJ MJ BQC ZW>T M JDKM L RMWS XYRJ,None,None,,,,0,000 0000 0 0000 000 00 000 0000 0 0000 0 0000 0000,qal,impf,,,,,,,
1895075,BW>[,1Qisaa,Isaiah,1,13,HBJ>,LW> TWSJPW L HBJ> MNXT CW> QVRT TW<BH HJ> LJ XWDC W CBT QR> MQR> LW> >WKL >WN W <YRTH,None,None,,,,0,000 000000 0 0000 0000 000 0000 00000 000 00 0000 0 000 000 0000 000 0000 000 0 00000,hif,infc,,,,,,,
1895129,SWR[,1Qisaa,Isaiah,1,16,HSJRW,RXYW W HZKW W HSJRW RW< M<LLJKM M NGD <JNJ XDLW HR<,None,None,,,,0,0000 0 0000 0 00000 000 0000000 0 000 0000 0000 000,hif,impv,,,,,,,
1895149,HLK[,1Qisaa,Isaiah,1,18,LKW,LKW N> W NWKXH JW>MR JHWH >M JHJW XV>JKM K CNJ K CLG JLBJNW >M JDWMW K TWL<T K YMR JHJW,None,None,,,,0,000 01 0 00000 00000 0000 00 0000 000000 0 000 0 000 000000 00 00000 0 00000 0 000 0000,qal,impv,,,,,,,
1895234,BW>[,1Qisaa,Isaiah,1,23,JBW>,FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM,None,None,,,,0,00000 011111 1 1111 00000 0000 00000 0000 00000 0000000 00000 000 00011 1 111 00000 000 0000 00000,qal,impf,,,,,,,
1895257,CWB[,1Qisaa,Isaiah,1,25,HCJB,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,None,None,,,,0,0 0000 000 0000 0 0011 1 11 00000 0 0000 000 000000,hif,perf,,,,,,,
1895266,SWR[,1Qisaa,Isaiah,1,25,>SJR,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,None,None,,,,0,0 0000 000 0000 0 0011 1 11 00000 0 0000 000 000000,hif,impf,,,,,,,
1895271,CWB[,1Qisaa,Isaiah,1,26,>CJBH,W >CJBH CWPVJK K B R>JCWNH W J<YJK K B TXLH >XRJ KN JQR>W LK <JR H YDQ QRJH N>MNH,None,None,,,,0,0 00000 000000 0 0 0000000 1 11111 0 0 0000 0000 00 00000 00 000 0 000 0000 00000,hif,impf,,,,,,,
1895388,NHR[,1Qisaa,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM,None,None,,,,0,0 000 0 00000 0 0000 0000 0000 00 000 0000 0 000 0000 0 000 0 00000 0 0000 00000 000 0 00000,qal,perf,,,,,,,
1895395,HLK[,1Qisaa,Isaiah,2,3,HLKW,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,None,None,,,,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 00000 0 00000 0 00000 0 0000000 000 0 0000 000 0000 0 000 0000 0 0000000,qal,perf,,,,,,,
1895400,HLK[,1Qisaa,Isaiah,2,3,LKW,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,None,None,,,,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 00000 0 00000 0 00000 0 0000000 000 0 0000 000 0000 0 000 0000 0 0000000,qal,impv,,,,,,,
1895402,<LH[,1Qisaa,Isaiah,2,3,N<LH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,None,None,,,,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 00000 0 00000 0 00000 0 0000000 000 0 0000 000 0000 0 000 0000 0 0000000,qal,impf,,,,,,,
1895412,HLK[,1Qisaa,Isaiah,2,3,N>LKH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,None,None,,,,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 00000 0 00000 0 00000 0 0000000 000 0 0000 000 0000 0 000 0000 0 0000000,qal,impf,,,,,,,
