verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
212256,BW>[,MT,Isaiah,1,12,TB>W,KJ TB>W L R>WT PNJ MJ BQC Z>T M JDKM RMS XYRJ,KJ TB>W,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
212269,BW>[,MT,Isaiah,1,13,HBJ>,L> TWSJPW HBJ> MNXT CW> QVRT TW<BH HJ> LJ XDC W CBT QR> MQR> L> >WKL >WN W <YRH,HBJ> MNXT CW>,,no complement,no complement,,,,,,,,,,,hif,infc,,,,,,,,,
212333,HLK[,MT,Isaiah,1,18,LKW,LKW N> W NWKXH J>MR JHWH >M JHJW XV>JKM K CNJM K CLG JLBJNW >M J>DJMW K TWL< K YMR JHJW,LKW N>,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
212418,BW>[,MT,Isaiah,1,23,JBW>,FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM,W RJB >LMNH L> JBW> >LJHM,RJB >LMNH,>LJHM,>L,,0,prep,prsf,,det,prsf,simple,,,qal,impf,,,>L,,,,,,
212437,CWB[,MT,Isaiah,1,25,>CJBH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,W >CJBH JDJ <LJK,,<LJK,<L,,0,prep,prsf,,det,prsf,simple,,,hif,impf,,,<L,,,,,,
212447,SWR[,MT,Isaiah,1,25,>SJRH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,W >SJRH KL BDJLJK,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,
212451,CWB[,MT,Isaiah,1,26,>CJBH,W >CJBH CPVJK K B R>CNH W J<YJK K B TXLH >XRJ KN JQR> LK <JR H YDQ QRJH N>MNH,W >CJBH CPVJK K B R>CNH,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,
212477,CWB[,MT,Isaiah,1,27,CBJH,YJWN B MCPV TPDH W CBJH B YDQH,W CBJH B YDQH,CBJH,no complement,no complement,,,,,,,,,,,qal,ptca,,,,,,,,,
212564,NHR[,MT,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C H HRJM W NF> M GB<WT W NHRW >LJW KL H GWJM,W NHRW >LJW KL H GWJM,KL H GWJM,>LJW,>L,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,>L,,,,,,
212570,HLK[,MT,Isaiah,2,3,HLKW,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,W HLKW <MJM RBJM,<MJM RBJM,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
