,Verb_ID,Answers,ETCBC_clause
0,781407,"In the verse: וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּ֣וּר׀ אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד וַֽיַּעֲמֹ֗ד בִּתְעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה בִּמְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃

The verb you're interested in is: יִּשְׁלַ֣ח

The clause of the verb יִּשְׁלַ֣ח is: וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּ֣וּר אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד

So, the clause of the verb יִּשְׁלַ֣ח is: וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּ֣וּר אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד.",וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּׁ֣וּר׀ אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד 
1,784414,"In the verse:
אָנֹכִי֙ הַעִירֹתִ֣הֽוּ בְצֶ֔דֶק וְכָל־דְּרָכָ֖יו אֲיַשֵּׁ֑ר הֽוּא־יִבְנֶ֤ה עִירִי֙ וְגָלוּתִ֣י יְשַׁלֵּ֔חַ לֹ֤א בִמְחִיר֙ וְלֹ֣א בְשֹׁ֔חַד אָמַ֖ר יְהוָ֥ה צְבָאֹֽות׃ פ

The verb you're interested in is:
יְשַׁלֵּ֔חַ

The clause of the verb יְשַׁלֵּ֔חַ is:
וְגָלוּתִ֣י יְשַׁלֵּ֔חַ לֹ֤א בִמְחִיר֙ וְלֹ֣א בְשֹׁ֔חַד 

So, the clause of the verb יְשַׁלֵּ֔חַ is:
וְגָלוּתִ֣י יְשַׁלֵּ֔חַ לֹ֤א בִמְחִיר֙ וְלֹ֣א בְשֹׁ֔חַד.",וְגָלוּתִ֣י יְשַׁלֵּ֔חַ 
2,781711,"In the verse: 
וַיֹּאמְר֣וּ אֵלָ֗יו כֹּ֚ה אָמַ֣ר חִזְקִיָּ֔הוּ יֹום־צָרָ֧ה וְתֹוכֵחָ֛ה וּנְאָצָ֖ה הַיֹּ֣ום הַזֶּ֑ה כִּ֣י בָ֤אוּ בָנִים֙ עַד־מַשְׁבֵּ֔ר וְכֹ֥חַ אַ֖יִן לְלֵדָֽה׃ 

The verb you're interested in is: בָ֤אוּ 

The clause of the verb בָ֤אוּ is: כִּ֣י בָ֤אוּ בָנִים֙ עַד־מַשְׁבֵּ֔ר וְכֹ֥חַ אַ֖יִן לְלֵדָֽה׃

So, the clause of the verb בָ֤אוּ is: כִּ֣י בָ֤אוּ בָנִים֙ עַד־מַשְׁבֵּ֔ר וְכֹ֥חַ אַ֖יִן לְלֵדָֽה׃.",כִּ֣י בָ֤אוּ בָנִים֙ עַד־מַשְׁבֵּ֔ר 
3,788386,"In the verse: 
וְאָב֤וּס עַמִּים֙ בְּאַפִּ֔י וַאֲשַׁכְּרֵ֖ם בַּחֲמָתִ֑י וְאֹורִ֥יד לָאָ֖רֶץ נִצְחָֽם׃ ס

The verb you're interested in is: 
אֹורִ֥יד

The clause of the verb אֹורִ֥יד is: 
וְאֹורִ֥יד לָאָ֖רֶץ נִצְחָֽם

So, the clause of the verb אֹורִ֥יד is: 
וְאֹורִ֥יד לָאָ֖רֶץ נִצְחָֽם.",וְאֹורִ֥יד לָאָ֖רֶץ נִצְחָֽם׃ ס 
4,778494,"In the verse:
כֹּ֥ה אָמַ֛ר אֲדֹנָ֥י יְהוִ֖ה צְבָאֹ֑ות לֶךְ־בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א אֲשֶׁ֥ר עַל־הַבָּֽיִת׃

The verb you're interested in is:
לֶךְ־

The clause of this verb is:
לֶךְ־ בֹּא אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א אֲשֶׁ֥ר עַל־הַבָּֽיִת

So, the clause of the verb לֶךְ־ is:
לֶךְ־ בֹּא אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א אֲשֶׁ֥ר עַל־הַבָּֽיִת.",לֶךְ־
5,784024,"In the verse:
לִכְרָת־לֹ֣ו אֲרָזִ֔ים וַיִּקַּ֤ח תִּרְזָה֙ וְאַלֹּ֔ון וַיְאַמֶּץ־לֹ֖ו בַּעֲצֵי־יָ֑עַר נָטַ֥ע אֹ֖רֶן וְגֶ֥שֶׁם יְגַדֵּֽל

The verb you're interested in is:
וַיִּקַּ֤ח

The clause of this verb is: 
וַיִּקַּ֤ח תִּרְזָה֙ וְאַלֹּ֔ון 

So, the clause of the verb וַיִּקַּ֤ח is:
וַיִּקַּ֤ח תִּרְזָה֙ וְאַלֹּ֔ון",וַיִּקַּ֤ח תִּרְזָה֙ וְאַלֹּ֔ון 
6,786630,"In the verse: הֹ֤וי כָּל־צָמֵא֙ לְכ֣וּ לַמַּ֔יִם וַאֲשֶׁ֥ר אֵֽין־לֹ֖ו כָּ֑סֶף לְכ֤וּ שִׁבְרוּ֙ וֶֽאֱכֹ֔לוּ וּלְכ֣וּ שִׁבְר֗וּ בְּלֹוא־כֶ֛סֶף וּבְלֹ֥וא מְחִ֖יר יַ֥יִן וְחָלָֽב

The verb you're interested in is לְכ֣וּ.

The clause of the verb לְכ֣וּ is הֹ֤וי כָּל־צָמֵא֙ לְכ֣וּ לַמַּ֔יִם

So, the clause of the verb לְכ֣וּ is הֹ֤וי כָּל־צָמֵא֙ לְכ֣וּ לַמַּ֔יִם.",לְכ֣וּ לַמַּ֔יִם 
7,781186,"In the verse:
לַ֤יְלָה וְיֹומָם֙ לֹ֣א תִכְבֶּ֔ה לְעֹולָ֖ם יַעֲלֶ֣ה עֲשָׁנָ֑הּ מִדֹּ֤ור לָדֹור֙ תֶּחֱרָ֔ב לְנֵ֣צַח נְצָחִ֔ים אֵ֥ין עֹבֵ֖ר בָּֽהּ׃

The verb you're interested in is:
עֹבֵ֖ר

The clause of this verb is:
אֵ֥ין עֹבֵ֖ר בָּֽהּ

So, the clause of the verb עֹבֵ֖ר is:
אֵ֥ין עֹבֵ֖ר בָּֽהּ
",לְנֵ֣צַח נְצָחִ֔ים אֵ֥ין עֹבֵ֖ר בָּֽהּ׃ 
8,776242,"In the verse:
וּמַֽה־תַּעֲשׂוּ֙ לְיֹ֣ום פְּקֻדָּ֔ה וּלְשֹׁואָ֖ה מִמֶּרְחָ֣ק תָּבֹ֑וא עַל־מִי֙ תָּנ֣וּסוּ לְעֶזְרָ֔ה וְאָ֥נָה תַעַזְב֖וּ כְּבֹודְכֶֽם׃

The verb you're interested in is:
תָּנ֣וּסוּ

The clause of the verb תָּנ֣וּסוּ is:
עַל־מִי֙ תָּנ֣וּסוּ לְעֶזְרָ֔ה

So, the clause of the verb תָּנ֣וּסוּ is:
עַל־מִי֙ תָּנ֣וּסוּ לְעֶזְרָ֔ה.",עַל־מִי֙ תָּנ֣וּסוּ לְעֶזְרָ֔ה 
9,787356,"In the verse:
אָ֤ז תִּקְרָא֙ וַיהוָ֣ה יַעֲנֶ֔ה תְּשַׁוַּ֖ע וְיֹאמַ֣ר הִנֵּ֑נִי אִם־תָּסִ֤יר מִתֹּֽוךְ֙ מֹוטָ֔ה שְׁלַ֥ח אֶצְבַּ֖ע וְדַבֶּר־אָֽוֶן׃

The verb you're interested in is: 
שְׁלַ֥ח 

The clause of the verb שְׁלַ֥ח is: 
שְׁלַ֥ח אֶצְבַּ֖ע וְדַבֶּר־אָֽוֶן

So, the clause of the verb שְׁלַ֥ח is: 
שְׁלַ֥ח אֶצְבַּ֖ע וְדַבֶּר־אָֽוֶן.",שְׁלַ֥ח אֶצְבַּ֖ע 
