,verb_id,lex,scroll,book,chapter,verse,g_cons,hebrew,g_cons_verse,stem,tense,subject,subj_heb,complement,cmpl_heb
0,1895059,BW>[,1Qisaa,Isaiah,1,12,TB>W,תבאו ,KJ> TB>W L R>WT PNJ MJ BQC ZW>T M JDKM L RMWS XYRJ,qal,impf,,,,
1,1895075,BW>[,1Qisaa,Isaiah,1,13,HBJ>,הביא ,LW> TWSJPW L HBJ> MNXT CW> QVRT TW<BH HJ> LJ XWDC W CBT QR> MQR> LW> >WKL >WN W <YRTH,hifil,infc,,,,
2,212315,SWR[,MT,Isaiah,1,16,HSJRW,הָסִ֛ירוּ ,RXYW HZKW HSJRW R< M<LLJKM M NGD <JNJ XDLW HR<,hif,impv,,,M NGD <JNJ,מִנֶּ֣גֶד עֵינָ֑י 
3,1895129,SWR[,1Qisaa,Isaiah,1,16,HSJRW,הסירו ,RXYW W HZKW W HSJRW RW< M<LLJKM M NGD <JNJ XDLW HR<,hifil,impv,,,,
4,1895149,HLK[,1Qisaa,Isaiah,1,18,LKW,לכו ,LKW N> W NWKXH JW>MR JHWH >M JHJW XV>JKM K CNJ K CLG JLBJNW >M JDWMW K TWL<T K YMR JHJW,qal,impv,,,,
5,212418,BW>[,MT,Isaiah,1,23,JBW>,יָבֹ֥וא ,FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM,qal,impf,RJB >LMNH,רִ֥יב אַלְמָנָ֖ה ,>LJHM,אֲלֵיהֶֽם׃ פ 
6,1895234,BW>[,1Qisaa,Isaiah,1,23,JBW>,יבוא ,FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM,qal,impf,,,,
7,212437,CWB[,MT,Isaiah,1,25,>CJBH,אָשִׁ֤יבָה ,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,hif,impf,,,<LJK,עָלַ֔יִךְ 
8,1895257,CWB[,1Qisaa,Isaiah,1,25,HCJB,השיב ,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,hifil,perf,,,,
9,1895266,SWR[,1Qisaa,Isaiah,1,25,>SJR,אסיר ,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,hifil,impf,,,,
10,1895271,CWB[,1Qisaa,Isaiah,1,26,>CJBH,אשיבה ,W >CJBH CWPVJK K B R>JCWNH W J<YJK K B TXLH >XRJ KN JQR>W LK <JR H YDQ QRJH N>MNH,hifil,impf,,,,
11,1898665,SWR[,1Qisaa,Isaiah,10,13,>SJR,אסיר ,KJ JW>MR B KWX JDJ <FJTJ W B XKMTJ KJ NBWNWTJ W >SJR GBLWT <MJM W <TJDWTJHMH CWCJTJ W >WRJD JWCBJM,hifil,impf,,,,
12,1898672,JRD[,1Qisaa,Isaiah,10,13,>WRJD,אוריד ,KJ JW>MR B KWX JDJ <FJTJ W B XKMTJ KJ NBWNWTJ W >SJR GBLWT <MJM W <TJDWTJHMH CWCJTJ W >WRJD JWCBJM,hifil,impf,,,,
13,1898687,>SP[,1Qisaa,Isaiah,10,14,>SWP,אסוף ,W TMY> K QN JDJ L XJL H <MJM W K >SWP BYJM <ZBWT KWL H >RY >NJ >SPTJ W LW> HJH NWDD KNP W PWYH PH W MYPYP,qal,infc,,,,
14,1898694,>SP[,1Qisaa,Isaiah,10,14,>SPTJ,אספתי ,W TMY> K QN JDJ L XJL H <MJM W K >SWP BYJM <ZBWT KWL H >RY >NJ >SPTJ W LW> HJH NWDD KNP W PWYH PH W MYPYP,qal,perf,,,,
15,1898733,CLX[,1Qisaa,Isaiah,10,16,JCLX,ישלח ,L KN JCLX H >DWN JHWH YB>WT B MCMNJW RZWN W TXT KBWDW JQD JQWD K JQD >C,piel,impf,,,,
16,215894,CWB[,MT,Isaiah,10,21,JCWB,יָשׁ֖וּב ,C>R JCWB C>R J<QB >L >L GBWR,qal,impf,C>R C>R J<QB,שְׁאָ֥ר שְׁאָ֣ר יַעֲקֹ֑ב ,>L >L GBWR,אֶל־אֵ֖ל גִּבֹּֽור׃ 
17,1898827,CWB[,1Qisaa,Isaiah,10,21,JCWB,ישוב ,C>R JCWB C>R J<QWB >L >L GBWR,qal,impf,,,>L >L GBWR,אֶל־אֵ֖ל גִּבֹּֽור׃ 
18,215910,CWB[,MT,Isaiah,10,22,JCWB,יָשׁ֣וּב ,KJ >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,qal,impf,C>R,שְׁאָ֖ר ,BW,בֹּ֑ו 
19,1898844,CWB[,1Qisaa,Isaiah,10,22,JCWB,ישוב ,KJ> >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,qal,impf,,,BW,בֹּ֑ו 
20,215993,SWR[,MT,Isaiah,10,27,JSWR,יָס֤וּר ,W HJH B JWM H HW> JSWR SBLW M <L CKMK W <LW M <L YW>RK W XBL <L M PNJ CMN,qal,impf,SBLW,סֻבֳּלֹו֙ ,M <L CKMK,מֵעַ֣ל שִׁכְמֶ֔ךָ 
21,1898931,SWR[,1Qisaa,Isaiah,10,27,JSWR,יסור ,W HJH B JWM H HW> JSWR SBLW M <L CKMK W <WLW M <L YW>RK W XBL <WL M PNJ CMN,qal,impf,,,,
22,216009,BW>[,MT,Isaiah,10,28,B>,בָּ֥א ,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,qal,perf,,,<L <JT,עַל־עַיַּ֖ת 
