verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
212256,BW>[,MT,Isaiah,1,12,TB>W,KJ TB>W L R>WT PNJ MJ BQC Z>T M JDKM RMS XYRJ,,qal,impf,KJ TB>W,,no complement,no complement,,,,,,,,,,,,,,,,
1895059,BW>[,1Qisaa,Isaiah,1,12,TB>W,KJ> TB>W L R>WT PNJ MJ BQC ZW>T M JDKM L RMWS XYRJ,000 0000 0 0000 000 00 000 0000 0 0000 0 0000 0000,qal,impf,KJ> TB>W,,no complement,no complement,,0,,,,,,,,,,,,,,KJ> TB>W L R>WT PNJ MJ BQC ZW>T M JDKM L RMWS XYRJ
212269,BW>[,MT,Isaiah,1,13,HBJ>,L> TWSJPW HBJ> MNXT CW> QVRT TW<BH HJ> LJ XDC W CBT QR> MQR> L> >WKL >WN W <YRH,,hif,infc,HBJ> MNXT CW>,,no complement,no complement,,,,,,,,,,,,,,,,
1895075,BW>[,1Qisaa,Isaiah,1,13,HBJ>,LW> TWSJPW L HBJ> MNXT CW> QVRT TW<BH HJ> LJ XWDC W CBT QR> MQR> LW> >WKL >WN W <YRTH,000 000000 0 0000 0000 000 0000 00000 000 00 0000 0 000 000 0000 000 0000 000 0 00000,hifil,infc,L HBJ> MNXT CW>,,no complement,no complement,,0,,,,,,,,,,,,,,LW> TWSJPW L HBJ> MNXT CW> QVRT TW<BH HJ> LJ XWDC W CBT QR> MQR> LW> >WKL >WN W <YRTH
212333,HLK[,MT,Isaiah,1,18,LKW,LKW N> W NWKXH J>MR JHWH >M JHJW XV>JKM K CNJM K CLG JLBJNW >M J>DJMW K TWL< K YMR JHJW,,qal,impv,LKW N>,,no complement,no complement,,,,,,,,,,,,,,,,
1895149,HLK[,1Qisaa,Isaiah,1,18,LKW,LKW N> W NWKXH JW>MR JHWH >M JHJW XV>JKM K CNJ K CLG JLBJNW >M JDWMW K TWL<T K YMR JHJW,000 01 0 00000 00000 0000 00 0000 000000 0 000 0 000 000000 00 00000 0 00000 0 000 0000,qal,impv,LKW N>,,no complement,no complement,,,,,,,,,,,,,,,,LKW N[>] W NWKXH JW>MR JHWH >M JHJW XV>JKM K CNJ K CLG JLBJNW >M JDWMW K TWL<T K YMR JHJW
212418,BW>[,MT,Isaiah,1,23,JBW>,FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM,,qal,impf,W RJB >LMNH L> JBW> >LJHM,RJB >LMNH,>LJHM,>L,to them,0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,
1895234,BW>[,1Qisaa,Isaiah,1,23,JBW>,FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM,00000 011111 1 1111 00000 0000 00000 0000 00000 0000000 00000 000 00011 1 111 00000 000 0000 00000,qal,impf,W RJB >LMNH LW> JBW> >LJHM,RJB >LMNH,>LJHM,>L,to them,0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,FRJKJ S[WRRJM W XBRJ] GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCP[VW W RJB] >LMNH LW> JBW> >LJHM
212437,CWB[,MT,Isaiah,1,25,>CJBH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,,hif,impf,W >CJBH JDJ <LJK,,<LJK,<L,upon you,0,prep,prps,anim,det,prsf,simple,factive,goal/recipient,<L,,,,,
212447,SWR[,MT,Isaiah,1,25,>SJRH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,,hif,impf,W >SJRH KL BDJLJK,,no complement,no complement,,,,,,,,,,,,,,,,
1895257,CWB[,1Qisaa,Isaiah,1,25,HCJB,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,0 0000 000 0000 0 0011 1 11 00000 0 0000 000 000000,hifil,perf,W HCJB JDJ <LJK,,<LJK,<L,upon you,0,prep,prps,anim,det,prsf,simple,factive,goal/recipient,<L,,,,,W HCJB JDJ <LJK W >Y[RP K BR] SWGJK W >SJR KWL BDJLJK
1895266,SWR[,1Qisaa,Isaiah,1,25,>SJR,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,0 0000 000 0000 0 0011 1 11 00000 0 0000 000 000000,hifil,impf,W >SJRH KL BDJLJK,,no complement,no complement,,0,,,,,,,,,,,,,,W HCJB JDJ <LJK W >Y[RP K BR] SWGJK W >SJR KWL BDJLJK
212451,CWB[,MT,Isaiah,1,26,>CJBH,W >CJBH CPVJK K B R>CNH W J<YJK K B TXLH >XRJ KN JQR> LK <JR H YDQ QRJH N>MNH,,hif,impf,W >CJBH CPVJK K B R>CNH,,no complement,no complement,,,,,,,,,,,,,,,,
1895271,CWB[,1Qisaa,Isaiah,1,26,>CJBH,W >CJBH CWPVJK K B R>JCWNH W J<YJK K B TXLH >XRJ KN JQR>W LK <JR H YDQ QRJH N>MNH,0 00000 000000 0 0 0000000 1 11111 0 0 0000 0000 00 00000 00 000 0 000 0000 00000,hifil,impf,W >CJBH CWPVJK K B R>JCWNH,,no complement,no complement,,0,,,,,,,,,,,,,,W >CJBH CWPVJK K B R>JCWNH [W J<YJK] K B TXLH >XRJ KN JQR>W LK <JR H YDQ QRJH N>MNH
212477,CWB[,MT,Isaiah,1,27,CBJH,YJWN B MCPV TPDH W CBJH B YDQH,,qal,ptca,W CBJH B YDQH,CBJH,no complement,no complement,,,,,,,,,,,,,,,,
1895296,CWB[,1Qisaa,Isaiah,1,27,CBJH,YJWN B MCPV TPDH W CBJH B YDQH,0000 0 0000 0000 0 0000 0 0000,qal,ptca,W CBJH B YDQH,CBJH,no complement,no complement,,,,,,,,,,,,,,,,YJWN B MCPV TPDH W CBJH B YDQH
212564,NHR[,MT,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C H HRJM W NF> M GB<WT W NHRW >LJW KL H GWJM,,qal,perf,W NHRW >LJW KL H GWJM,KL H GWJM,>LJW,>L,to him / it,0,prep,prps,inanim,det,prsf,simple,factive,goal,>L,,,,,
1895388,NHR[,1Qisaa,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM,0 000 0 00000 0 0000 0000 0000 00 000 0000 0 000 0000 0 000 0 00000 0 0000 00000 000 0 00000,qal,perf,W NHRW <LWHJ KWL H GW>JM,KWL H GW>JM,<LWHJ,>L,to him / it,0,prep,prps,inanim,det,prsf,simple,factive,goal,>L,,,,,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM
212577,<LH[,MT,Isaiah,2,3,N<LH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,,qal,impf,W N<LH >L HR JHWH >L BJT >LHJ J<QB,,>L HR JHWH >L BJT >LHJ J<QB,>L HR/ JHWH/ >L BJT/ >LHJM/ J<QB/,to the mountain of Yahwe to the house of the God of Jacob,0,prep,place,inanim,det,subs,complex,factive,goal,>L,>L,,,,
