verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,preposition_1,preposition_2,preposition_3,preposition_4,comments
215093,<BR[,MT,Isaiah,8,21,<BR,W <BR BH NQCH W R<B W HJH KJ JR<B W HTQYP W QLL B MLKW W B >LHJW W PNH L M<LH,,qal,perf,W <BR BH,,BH,B,in it,0.0,prep,prps,inanim,det,prsf,simple,factive,B,,,,
1897981,<BR[,1Qisaa,Isaiah,8,21,<BR,W <BR BH W NQCH W R<B W HJH KJ> JR<B JTQYP W QLL B MLKW W B >LWHW W PNH L M<LH,0 000 000 0 0000 0 000 0 000 000 0000 00000 0 000 0 00000 0 0 000000 0 000 0 00000 00,qal,perf,W <BR BH,,BH,B,in it,0.0,prep,prps,inanim,det,prsf,simple,factive,B,,,,
216012,<BR[,MT,Isaiah,10,28,<BR,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,,qal,perf,<BR B MGRWN,,B MGRWN,B MGRWN/,through Migron,0.0,prep,topo,inanim,det,nmpr,simple,factive,B,,,,
1898951,<BR[,1Qisaa,Isaiah,10,28,<BR,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,00 00 00000 000 0 00000 0 0000 00000 00000 00,qal,perf,<BR B MGRWN,,B MGRWN,B MGRWN/,through Migron,0.0,prep,topo,inanim,det,nmpr,simple,factive,B,,,,
216019,<BR[,MT,Isaiah,10,29,<BRW,<BRW M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,,qal,perf,<BRW M<BRH,,M<BRH,M<BRH/,(in) a pass,0.0,vc,topo,inanim,und,subs,simple,factive,,,,,
1898959,<BR[,1Qisaa,Isaiah,10,29,<BR,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,000 0 00000 000 0000 0000 0000 0 000 0000 0000 000 00,qal,perf,<BR B M<BRH,,B M<BRH,B M<BRH/,(in) a pass,0.0,prep,topo,inanim,und,subs,simple,factive,B,,,,
219482,<BR[,MT,Isaiah,23,6,<BRW,<BRW TRCJCH HJLJLW JCBJ >J,,qal,impv,<BRW TRCJCH,,TRCJCH,TRCJC=/,to Tarshish,1.0,dir-he,topo,inanim,det,nmpr,simple,factive,,,,,
1902589,<BR[,1Qisaa,Isaiah,23,6,<WBRJ,<WBRJ TLRCJCH HJLJLW JWCBJ >J,00000 00000000 000000 00000 00 00,qal,impv,<WBRJ TLRCJCH,,TLRCJCH,TRCJC=/,to Tarshish,1.0,dir-he,topo,inanim,det,nmpr,simple,factive,,,,,
219527,<BR[,MT,Isaiah,23,10,<BRJ,<BRJ >RYK K J>R BT TRCJC >JN MZX <WD,,qal,impv,<BRJ >RYK K J>R,,>RYK,>RY/,to your land,0.0,vc,topo,inanim,det,subs,complex,factive,,,,,
219565,<BR[,MT,Isaiah,23,12,<BRJ,W J>MR L> TWSJPJ <WD L <LWZ H M<CQH BTWLT BT YJDWN KTJJM QWMJ <BRJ GM CM L> JNWX LK,,qal,impv,KTJJM <BRJ,,KTJJM,KTJ/,to Cyprus,0.0,vc,topo,inanim,und,subs,simple,factive,,,,,KTJ/ not a proper noun (BH)
1902679,<BR[,1Qisaa,Isaiah,23,12,<BRJ,W JW>MR LW> TWSJPJ <WD L <LWZ M<CQH BTWLT BT YJDWN KTJJM QWMJ <BRJ GM CM LW> JNWX LK,0 00000 000 000000 000 0 0000 00000 00000 00 00000 00000 0000 0000 00 00 000 0000 000 00,qal,impv,KTJJM <BRJ,,KTJJM,KTJ/,to Cyprus,0.0,vc,topo,inanim,und,subs,simple,factive,,,,,KTJ/ not a proper noun
222649,<BR[,MT,Isaiah,31,9,J<BWR,W SL<W M MGWR J<BWR W XTW M NS FRJW N>M JHWH >CR >WR LW B YJWN W TNWR LW B JRWCLM,,qal,impf,W SL<W M MGWR J<BWR,SL<W,M MGWR,MN MGWR/,from (in) terror,0.0,prep,abs,inanim,und,subs,simple,fictive,MN,,,,
1905878,<BR[,1Qisaa,Isaiah,31,9,J<BWR,W SL<W M MGWR J<BWR W XTW MNWS FRJW NW>M JHWH >CR >WR LW B YJWN W TNWR LW B JRWCLM,0 00000 0 0000 00000 0 000 0000 00000 0000 0000 000 000 000 0 0000 0 0000 000 0 000000 00,qal,impf,W SL<W M MGWR J<BWR,SL<W,M MGWR,MN MGWR/,from (in) terror,0.0,prep,abs,inanim,und,subs,simple,fictive,MN,,,,
