,verb_id,book,chapter,verse_num,verse_heb,verb_heb,clause_heb,cmpl_heb
0,212256,Isaiah,1,12,כִּ֣י תָבֹ֔אוּ לֵרָאֹ֖ות פָּנָ֑י מִי־בִקֵּ֥שׁ זֹ֛את מִיֶּדְכֶ֖ם רְמֹ֥ס חֲצֵרָֽי׃ ,תָבֹ֔אוּ ,כִּ֣י תָבֹ֔אוּ ,
1,212269,Isaiah,1,13,לֹ֣א תֹוסִ֗יפוּ הָבִיא֙ מִנְחַת־שָׁ֔וְא קְטֹ֧רֶת תֹּועֵבָ֛ה הִ֖יא לִ֑י חֹ֤דֶשׁ וְשַׁבָּת֙ קְרֹ֣א מִקְרָ֔א לֹא־אוּכַ֥ל אָ֖וֶן וַעֲצָרָֽה׃ ,הָבִיא֙ ,הָבִיא֙ מִנְחַת־שָׁ֔וְא ,
2,212315,Isaiah,1,16,רַחֲצוּ֙ הִזַּכּ֔וּ הָסִ֛ירוּ רֹ֥עַ מַעַלְלֵיכֶ֖ם מִנֶּ֣גֶד עֵינָ֑י חִדְל֖וּ הָרֵֽעַ׃ ,הָסִ֛ירוּ ,הָסִ֛ירוּ רֹ֥עַ מַעַלְלֵיכֶ֖ם מִנֶּ֣גֶד עֵינָ֑י ,מִנֶּ֣גֶד עֵינָ֑י 
3,212333,Isaiah,1,18,לְכוּ־נָ֛א וְנִוָּֽכְחָ֖ה יֹאמַ֣ר יְהוָ֑ה אִם־יִֽהְי֨וּ חֲטָאֵיכֶ֤ם כַּשָּׁנִים֙ כַּשֶּׁ֣לֶג יַלְבִּ֔ינוּ אִם־יַאְדִּ֥ימוּ כַתֹּולָ֖ע כַּצֶּ֥מֶר יִהְיֽוּ׃ ,לְכוּ־,לְכוּ־נָ֛א ,
4,212418,Isaiah,1,23,שָׂרַ֣יִךְ סֹורְרִ֗ים וְחַבְרֵי֙ גַּנָּבִ֔ים כֻּלֹּו֙ אֹהֵ֣ב שֹׁ֔חַד וְרֹדֵ֖ף שַׁלְמֹנִ֑ים יָתֹום֙ לֹ֣א יִשְׁפֹּ֔טוּ וְרִ֥יב אַלְמָנָ֖ה לֹֽא־יָבֹ֥וא אֲלֵיהֶֽם׃ פ ,יָבֹ֥וא ,וְרִ֥יב אַלְמָנָ֖ה לֹֽא־יָבֹ֥וא אֲלֵיהֶֽם׃ פ ,אֲלֵיהֶֽם׃ פ 
5,212437,Isaiah,1,25,וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ וְאֶצְרֹ֥ף כַּבֹּ֖ר סִיגָ֑יִךְ וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ׃ ,אָשִׁ֤יבָה ,וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ ,עָלַ֔יִךְ 
6,212447,Isaiah,1,25,וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ וְאֶצְרֹ֥ף כַּבֹּ֖ר סִיגָ֑יִךְ וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ׃ ,אָסִ֖ירָה ,וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ׃ ,
7,212451,Isaiah,1,26,וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה וְיֹעֲצַ֖יִךְ כְּבַתְּחִלָּ֑ה אַחֲרֵי־כֵ֗ן יִקָּ֤רֵא לָךְ֙ עִ֣יר הַצֶּ֔דֶק קִרְיָ֖ה נֶאֱמָנָֽה׃ ,אָשִׁ֤יבָה ,וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה ,
8,212477,Isaiah,1,27,צִיֹּ֖ון בְּמִשְׁפָּ֣ט תִּפָּדֶ֑ה וְשָׁבֶ֖יהָ בִּצְדָקָֽה׃ ,שָׁבֶ֖יהָ ,וְשָׁבֶ֖יהָ בִּצְדָקָֽה׃ ,
9,212570,Isaiah,2,3,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים וְאָמְרוּ֙ לְכ֣וּ׀ וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב וְיֹרֵ֨נוּ֙ מִדְּרָכָ֔יו וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה וּדְבַר־יְהוָ֖ה מִירוּשָׁלִָֽם׃ ,הָלְכ֞וּ ,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים ,
10,212575,Isaiah,2,3,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים וְאָמְרוּ֙ לְכ֣וּ׀ וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב וְיֹרֵ֨נוּ֙ מִדְּרָכָ֔יו וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה וּדְבַר־יְהוָ֖ה מִירוּשָׁלִָֽם׃ ,לְכ֣וּ׀ ,לְכ֣וּ׀ ,
