chapter,verse_num,verse
1,1,"ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἰσραὴλ εἰσπεπορευμένων εἰς Αἴγυπτον ἅμα Ἰακὼβ τῷ πατρὶ αὐτῶν, ἕκαστος πανοικὶ αὐτῶν εἰσήλθοσαν."
1,2,"Ρουβήν, Συμεών, Λευΐ, Ἰούδας,"
1,3,"Ἰσσάχαρ, Ζαβουλὼν καὶ Βενιαμίν,"
1,4,"Δὰν καὶ Νεφαθλείμ, Γὰδ καὶ Ἀσήρ. E"
1,5,Ἰωσὴφ δὲ ἦν ἐν Αἰγύπτῳ. ἦσαν δὲ πᾶσαι ψυχαὶ ἐξ Ἰακὼβ πέντε καὶ ἑβδομήκοντα.
1,6,ἐτελεύτησε δὲ Ἰωσὴφ καὶ πάντες οἱ ἀδελφοὶ αὐτοῦ καὶ πᾶσα ἡ γενεὰ ἐκείνη.
1,7,"οἱ δὲ υἱοὶ Ἰσραὴλ ηὐξήθησαν καὶ ἐπληθύνθησαν καὶ χυδαῖοι ἐγένοντο. καὶ κατίσχυον σφόδρα σφόδρα, ἐπλήθυνε δὲ ἡ γῆ αὐτούς."
1,8,"ἀνέστη δὲ βασιλεὺς ἕτερος ἐπ’ Αἴγυπτον, ὃς οὐκ ᾔδει τὸν Ἰωσήφ."
1,9,εἶπε δὲ τῷ ἔθνει αὐτοῦ · ἰδοὺ τὸ γένος τῶν υἱῶν Ἰσραὴλ μέγα πλῆθος καὶ ἰσχύει ὑπὲρ ἡμᾶς · E
1,10,"δεῦτε οὖν κατασοφισώμεθα αὐτούς, μή ποτε πληθυνθῇ, καὶ ἡνίκα ἂν συμβῇ ἡμῖν πόλεμος, προστεθήσονται καὶ οὗτοι πρὸς τοὺς ὑπεναντίους καὶ ἐκπολεμήσαντες ἡμᾶς ἐξελεύσονται ἐκ τῆς γῆς."
1,11,"καὶ ἐπέστησεν αὐτοῖς ἐπιστάτας τῶν ἔργων, ἵνα κακώσωσιν αὐτοὺς ἐν τοῖς ἔργοις · καὶ ᾠκοδόμησαν πόλεις ὀχυρὰς τῷ Φαραώ, τήν τε Πειθὼμ καὶ Ραμεσσῆ καὶ Ὤν, ἥ ἐστιν Ἡλιούπολις."
1,12,"καθότι δὲ αὐτοὺς ἐταπείνουν, τοσούτῳ πλείους ἐγίγνοντο, καὶ ἴσχυον σφόδρα σφόδρα · καὶ ἐβδελύσσοντο οἱ Αἰγύπτιοι ἀπὸ τῶν υἱῶν Ἰσραήλ."
