level_0,verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse,spatial_arg_type,index
0,28771_mt,BW>[,MT,Exodus,1,1,B>JM,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,,qal,ptca,H B>JM MYRJMH >T J<QB,,MYRJMH,MYRJM/,to Egypt,1.0,dir_he,topo,inanim,det,nmpr,simple,factive,,,,,,,goal,
1,28778_mt,BW>[,MT,Exodus,1,1,B>W,W >LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,,qal,perf,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,,,,,,,
2,28771_lxx,εἰσπορεύω,LXX,Exodus,1,1,εἰσπεπορευμένων,"ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἰσραὴλ εἰσπεπορευμένων εἰς Αἴγυπτον ἅμα Ἰακὼβ τῷ πατρὶ αὐτῶν, ἕκαστος πανοικὶ αὐτῶν εἰσήλθοσαν.",,,Perf. Pass. Part. Pl. Gen. Abs.,,,εἰς Αἴγυπτον,εἰς / Αἴγυπτος,to Egypt,,,,,,,,,εἰς,,,,this is a rare verb!,,,
3,28778_lxx,εἰσέρχομαι,LXX,Exodus,1,1,εἰσήλθοσαν,"ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἰσραὴλ εἰσπεπορευμένων εἰς Αἴγυπτον ἅμα Ἰακὼβ τῷ πατρὶ αὐτῶν, ἕκαστος πανοικὶ αὐτῶν εἰσήλθοσαν.",,,aor,,(grammatically no separate subject)no complement,no complement,no complement,,,,,,,,,,,,,,,,,
4,1941992_dss,BW>[,4Q11,Exodus,1,1,B>W,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QB >JC W BJTW B>W,000 0000 000 00111 1 1111 111000 11 1111 111 0 0000 000,qal,perf,>JC W BJTW B>W,>JC W BJTW,no complement,no complement,,,,,,,,,,,,,,,>LH CMWT BNJ JF[R>L H B>JM MYR]JMH [>T J<QB >JC] W BJTW B>W,,1.0
5,29061_mt,BW>[,MT,Exodus,1,19,TBW>,W T>MRN H MJLDT >L PR<H KJ L> K NCJM H MYRJT H <BRJT KJ XJWT HNH B VRM TBW> >LHN H MJLDT W JLDW,,qal,impf,B VRM TBW> >LHN H MJLDT,H MJLDT,>LHN,>L,to them (the Hebrew women),0.0,prep,pers,anim,det,prsf,simple,factive,>L,,,,,,goal,
6,29061_lxx,εἰσέρχομαι,LXX,Exodus,1,19,εἰσελθεῖν,"εἶπαν δὲ αἱ μαῖαι τῷ Φαραώ · οὐχ ὡς γυναῖκες Αἰγύπτου αἱ Ἑβραῖαι, τίκτουσι γὰρ πρὶν ἢ εἰσελθεῖν πρὸς αὐτὰς τὰς μαίας · E καὶ ἔτικτον.",,,aor. act. Inf.,,τὰς μαίας (before the coming of the handmaids),πρὸς αὐτὰς,πρὸς / αὐτος,to them (the Hebrew women),,,,,,,,,πρός,,,,,,,
7,1945925_dss,BW>[,4Q13,Exodus,1,19,TBW>,W TW>MRNH H MJLDWT >L PR<H KJ L> K NCJM H MYRJWT H <BRJWT KJ B VRM TBW> >LJHNH H MJLDT W JLDW,0 0000000 0 000000 00 0000 00 00 0 0000 0 001111 1 111111 11 1 111 0000 000000 0 00000 0 0000,qal,impf,B VRM TBW> >LJHNH H MJLDT,H MJLDT,>LJHNH,>L,to them,0.0,prep,prps,anim,det,prsf,simple,factive,>L,,,,,W TW>MRNH H MJLDWT >L PR<H KJ L> K NCJM H MY[RJWT H <BRJWT KJ B VRM] TBW> >LJHNH H MJLDT W JLDW,goal,2.0
8,29308_mt,BW>[,MT,Exodus,2,10,TB>HW,W JGDL H JLD W TB>HW L BT PR<H W JHJ LH L BN W TQR> CMW MCH W T>MR KJ MN H MJM MCJTHW,,hif,wayq,W TB>HW L BT PR<H,,L BT PR<H,L BT/ PR<H/,to the daughter of Pharaoh,0.0,prep,pers,anim,det,subs,complex,factive,L,,,,,,goal,
9,29308_lxx,εἰσάγω,LXX,Exodus,2,10,εἰσήγαγεν,"ἀδρυνθέντος δὲ τοῦ παιδίου, εἰσήγαγεν αὐτὸ πρὸς τὴν θυγατέρα Φαραώ, καὶ ἐγενήθη αὐτῇ εἰς υἱόν · ἐπωνόμασε δὲ τὸ ὄνομα αὐτοῦ Μωυσῆν λέγουσα · ἐκ τοῦ ὕδατος αὐτὸν ἀνειλόμην.",,,aor,,,πρὸς τὴν θυγατέρα Φαραω,πρὸς / θυγάτηρ / Φαραω,to the daughter of Pharaoh,,,,,,,,,πρός,,,,,,,
