index,verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
6,212418,BW>[,MT,Isaiah,1,23,JBW>,FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM,,qal,impf,W RJB >LMNH L> JBW> >LJHM,RJB >LMNH,>LJHM,>L,to them,0.0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,
7,1895234,BW>[,1Qisaa,Isaiah,1,23,JBW>,FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM,00000 011111 1 1111 00000 0000 00000 0000 00000 0000000 00000 000 00011 1 111 00000 000 0000 00000,qal,impf,W RJB >LMNH LW> JBW> >LJHM,RJB >LMNH,>LJHM,>L,to them,0.0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,FRJKJ S[WRRJM W XBRJ] GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCP[VW W RJB] >LMNH LW> JBW> >LJHM
16,212564,NHR[,MT,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C H HRJM W NF> M GB<WT W NHRW >LJW KL H GWJM,,qal,perf,W NHRW >LJW KL H GWJM,KL H GWJM,>LJW,>L,to him / it,0.0,prep,prps,inanim,det,prsf,simple,factive,goal,>L,,,,,
17,1895388,NHR[,1Qisaa,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM,0 000 0 00000 0 0000 0000 0000 00 000 0000 0 000 0000 0 000 0 00000 0 0000 00000 000 0 00000,qal,perf,W NHRW <LWHJ KWL H GW>JM,KWL H GW>JM,<LWHJ,>L,to him / it,0.0,prep,prps,inanim,det,prsf,simple,factive,goal,>L,,,,,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM
18,212577,<LH[,MT,Isaiah,2,3,N<LH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,,qal,impf,W N<LH >L HR JHWH >L BJT >LHJ J<QB,,>L HR JHWH >L BJT >LHJ J<QB,>L HR/ JHWH/ >L BJT/ >LHJM/ J<QB/,to the mountain of Yahwe to the house of the God of Jacob,0.0,prep,place,inanim,det,subs,complex,factive,goal,>L,>L,,,,
19,212590,HLK[,MT,Isaiah,2,3,NLKH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,,qal,impf,W NLKH B >RXTJW,,B >RXTJW,B >RX/,in his paths,0.0,prep,abs,inanim,det,subs,complex,fictive,trajectory,B,,,,,
24,1895402,<LH[,1Qisaa,Isaiah,2,3,N<LH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 00000 0 00000 0 00000 0 0000000 000 0 0000 000 0000 0 000 0000 0 0000000,qal,impf,W N<LH >L BJT >LWHJ J<QWB,,>L BJT >LWHJ J<QWB,>L BJT/ >LHJM/ J<QB/,to the house of the God of Jacob,0.0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM
25,1895412,HLK[,1Qisaa,Isaiah,2,3,N>LKH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 00000 0 00000 0 00000 0 0000000 000 0 0000 000 0000 0 000 0000 0 0000000,qal,impf,W N>LKH B >WRXTJW,,B >WRXTJW,B >RX/,in his paths,0.0,prep,abs,inanim,det,subs,complex,fictive,trajectory,B,,,,,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM
30,212702,BW>[,MT,Isaiah,2,10,BW>,BW> B YWR W HVMN B <PR M PNJ PXD JHWH W M HDR G>NW,,qal,impv,BW> B YWR,,B YWR,B H YWR/,in the rock,0.0,prep,place,inanim,det,subs,simple,factive,goal,B,,,,,
33,212830,BW>[,MT,Isaiah,2,19,B>W,W B>W B M<RWT YRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RY H >RY,,qal,perf,W B>W B M<RWT YRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW,,B M<RWT YRJM W B MXLWT <PR,B M<RH/ YWR/ W B MXLH==/ <PR/,in caves of rocks and in holes of dust,0.0,prep,place,inanim,und,subs,complex,factive,goal,B,B,,,,
34,1895648,BW>[,1Qisaa,Isaiah,2,19,B>W,W B>W B M<RWT YWRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RWY H >RY,0 000 0 00000 00000 0 0 00000 000 0 000 111 1100 0 0 000 00000 0 0000 0 0000 0 000,qal,perf,W B>W B M<RWT YWRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW,,B M<RWT YWRJM W B MXLWT <PR,B M<RH/ YWR/ W B MXLH==/ <PR/,in caves of rocks and in holes of dust,0.0,prep,place,inanim,und,subs,complex,factive,goal,B,B,,,,W B>W B M<RWT YWRJM W B MXLWT <PR M PNJ [PXD JH]WH W M HDR G>WNW B QWMW L <RWY H >RY
35,212880,BW>[,MT,Isaiah,2,21,BW>,L BW> B NQRWT H YRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RY H >RY,,qal,infc,L BW> B NQRWT H YRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW,,B NQRWT H YRJM W B S<PJ H SL<JM,B NQRH/ H YWR/ W B S<JP/ H SL</,in the caverns of the rocks and in the clefts of the cliffs,0.0,prep,place,inanim,det,subs,complex,factive,goal,B,B,,,,
