verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse,Study_Edition,book_scroll
915,NGC[,1QH,1QH,4,32,TGJCN,W KN TGJCN W L BJNT K,,hif,impf,W KN TGJCN W L BJNT K,,L BJNT K,L BJNH K,to your intelligence / understanding,0.0,prep,abstract,inanim,det,subs,complex,fictive,goal,L,,,,,,,,p152 col 6 13,1QH_1QH
1007,NGC[,1QH,1QH,4,39,HWGCTJ,W KN HWGCTJ B JXD KWL >NCJ SWD J,,hof,perf,W KN HWGCTJ B JXD KWL >NCJ SWD J,,B JXD KWL >NCJ SWD J,B JXD KL >JC SWD J,in the community of all the men of my counsel,0.0,prep,group,anim,det,subs,complex,factive,goal,B,,,,,,,,p152 col 6 18,1QH_1QH
3544,<LH[,1QH,1QH,13,3,H<LJT,W M C>WL >BDWN H<LJT NJ L RWM <WLM W >THLKH B MJCWR L >JN XQR,,hif,perf,W M C>WL >BDWN H<LJT NJ L RWM <WLM,,L RWM <WLM,L RWM= <WLM,to an eternal height,0.0,prep,abstract,inanim,und,subs,complex,fictive,goal,L,,,,,,,,col 11 20,1QH_1QH
3717,HLK[,1QH,1QH,13,14,JLKW,W JLKW NXLJ BLJ<L <L KWL >GPJ RWM B >C >WKLT B KWL CN>BJ HM L HTM KWL <Y LX W JBC M PLGJ HM,,qal,impf,W JLKW NXLJ BLJ<L <L KWL >GPJ RWM B >C >WKLT B KWL CN>BJ HM,NXLJ BLJ<L,<L KWL >GPJ RWM,<L KL >GP RWM=,over all the steep banks,0.0,prep,place,inanim,det,subs,complex,factive,goal,<L,,,,,,,,col 11 29,1QH_1QH
4931,MHR[,1QH,1QH,16,19,JMHRW,W JMHRW <LJ RC<J <MJM B MYWQWT M W KWL H JWM JDK>W NPC J,,piel,impf,W JMHRW <LJ RC<J <MJM B MYWQWT M,RC<J <MJM,<LJ,<L J,upon / to me,0.0,prep,person,anim,det,prsf,simple,factive,goal,<L,,,,,,,,col 13 17,1QH_1QH
4950,CWB[,1QH,1QH,16,20,TCJB,W >TH >L J TCJB S<RH L DMMH W NPC >BJWN PLVTH K YPWR W K VRP M PJ >RJWT,,hif,impf,W >TH TCJB S<RH L DMMH,>TH,L DMMH,L DMMH,to a silence,0.0,prep,phenomenon,inanim,und,subs,simple,fictive,goal,L,,,,,,metaphorical you returned the storm to a silence,,col 13 19,1QH_1QH
5075,HLK[,1QH,1QH,17,9,JLKW,W B RZ XBTH B J JLKW RKJL L BNJ HWWT,,qal,impf,W B RZ JLKW RKJL L BNJ HWWT,,L BNJ HWWT,L BN HWH,to the sons of destruction,0.0,prep,group,anim,und,subs,complex,fictive,goal,L,,,,,,,,col 13 25,1QH_1QH
5300,BW>[,1QH,1QH,17,26,JBW>,W JBW> B <YMJ L HKCJL RWX W L KLWT KWX,,qal,impf,W JBW> B <YMJ,,B <YMJ,B <YM J,in my bones,0.0,prep,body part,inanim,det,subs,complex,fictive,goal,B,,,,,,,,col 13 35,1QH_1QH
5679,BW>[,1QH,1QH,17,51,HBJ>,W HMH NYMDJ T<WDT J PWTW B MLJYJ T<WT L HBJ> ZR B <BWDT YDQ,,hif,infc,[L HBJ> ZR] B <BWDT YDQ,,B <BWDT YDQ,B <BDH YDQ,in the service of righteousness,0.0,prep,occupation,inanim,det,subs,complex,fictive,goal,B,,,,,,verb rec,,col 14 19,1QH_1QH
5967,BW>[,1QH,1QH,17,73,JBW>,W B <BWR CWV CWVP BL JBW> B MBYR L L L TPL W K KPJS L> M >MT,,qal,impf,W BL JBW> B MBYR,,B MBYR,B MBYR,in a fortress,0.0,prep,place,inanim,und,subs,simple,factive,goal,B,,,,,,,,col 14 35,1QH_1QH
6254,<WZ[,1QH,1QH,18,13,H<JZ,W >TH JD<TH JYR <BD KH KJ L> Y MC<NT W L HRJM LB W W L H<JZ B KWX,,hif,infc,W L H<JZ B KWX,,B KWX,B KX,in strength,0.0,prep,other,inanim,und,subs,simple,fictive,goal,B,,,,,,,,col 15 17,1QH_1QH
6290,<WZ[,1QH,1QH,18,16,H<JZ,W >NJ NC<NTJ B RWB RXMJ KH XSD KH >WXJL L HYJY K MV< W L GDL NYR L H<JZ B KWX WL,,hif,infc,L H<JZ B KWX,,B KWX,B KX,in strength,0.0,prep,other,inanim,und,subs,simple,fictive,goal,B,,,,,,,,col 15 19,1QH_1QH
6475,BW>[,1QH,1QH,19,6,TBJ>,W KWL BNJ >MT KH TBJ> B SLJXWT L PNJ KH L VHR M M PC<J HM B RWB VWB KH W B HMWN RXMJ KH L H<MJD M L PNJ KH L <WLMJ <D,,hif,impf,W KWL BNJ >MT KH TBJ> B SLJXWT L PNJ KH,,L PNJ KH,L PNH K,before you,0.0,prep,person,anim,det,subs,complex,factive,goal,L,,,,,,,,col 15 29-30,1QH_1QH
8317,BW>[,1QH,1QH,22,41,TBW>,W NHMT J <D THWM TBW> W B XDRJ C>WL TXPC JXD,,qal,impf,W NHMT J <D THWM TBW>,NHMT J,<D THWM,<D THWM,to an abyss,0.0,prep,place,inanim,und,subs,simple,fictive,goal,<D,,,,,,,,col 18 33,1QH_1QH
8691,BW>[,1QH,1QH,23,19,JBW>W,W JBW>W B LBB J W JG<W B <YMJ L JM W L HGWT HGJ JGWN W >NXH B KNWR QJNH L KWL >BL JGWN W MSPD MRWRJM <D KLWT <WLH W >JN MK>WB W >JN NG< L HXLWT,,qal,impf,W JBW>W B LBB J,,B LBB J,B LBB J,in my heart,0.0,prep,body part,inanim,det,subs,complex,fictive,goal,B,,,,,,,,col 19 21,1QH_1QH
9474,BW>[,1QH,1QH,24,44,HBJ>WTH,W HBJ>WTH B BRJT <M KH W TGL LB <PR L HCMR LW M PXJ MCPV L <WMT RXMJ KH,,hif,perf,HBJ>WTH B BRJT <M KH,,B BRJT,B BRJT,in a covenant,0.0,prep,abstract,inanim,und,subs,simple,fictive,goal,B,,,,,,,,col 21 9,1QH_1QH
