verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse,study_edition,book_scroll,cmpl_syntax
915,NGC[,1QH,1QH,4,32,TGJCN,W KN TGJCN W L BJNT K,NA,hif,impf,W KN TGJCN W L BJNT K,NA,L BJNT K,L BJNH K,to your intelligence / understanding,0,prep,abstract,inanim,det,subs,complex,fictive,goal,L,NA,NA,NA,NA,NA,NA,NA,p152 col 6 13,1QH_1QH,prepositional
1007,NGC[,1QH,1QH,4,39,HWGCTJ,W KN HWGCTJ B JXD KWL >NCJ SWD J,NA,hof,perf,W KN HWGCTJ B JXD KWL >NCJ SWD J,NA,B JXD KWL >NCJ SWD J,B JXD KL >JC SWD J,in the community of all the men of my counsel,0,prep,group,anim,det,subs,complex,factive,goal,B,NA,NA,NA,NA,NA,NA,NA,p152 col 6 18,1QH_1QH,prepositional
3544,<LH[,1QH,1QH,13,3,H<LJT,W M C>WL >BDWN H<LJT NJ L RWM <WLM W >THLKH B MJCWR L >JN XQR,NA,hif,perf,W M C>WL >BDWN H<LJT NJ L RWM <WLM,NA,L RWM <WLM,L RWM= <WLM,to an eternal height,0,prep,abstract,inanim,und,subs,complex,fictive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 11 20,1QH_1QH,prepositional
3717,HLK[,1QH,1QH,13,14,JLKW,W JLKW NXLJ BLJ<L <L KWL >GPJ RWM B >C >WKLT B KWL CN>BJ HM L HTM KWL <Y LX W JBC M PLGJ HM,NA,qal,impf,W JLKW NXLJ BLJ<L <L KWL >GPJ RWM B >C >WKLT B KWL CN>BJ HM,NXLJ BLJ<L,<L KWL >GPJ RWM,<L KL >GP RWM=,over all the steep banks,0,prep,place,inanim,det,subs,complex,factive,goal,<L,NA,NA,NA,NA,NA,NA,NA,col 11 29,1QH_1QH,prepositional
4931,MHR[,1QH,1QH,16,19,JMHRW,W JMHRW <LJ RC<J <MJM B MYWQWT M W KWL H JWM JDK>W NPC J,NA,piel,impf,W JMHRW <LJ RC<J <MJM B MYWQWT M,RC<J <MJM,<LJ,<L J,upon / to me,0,prep,person,anim,det,prsf,simple,factive,goal,<L,NA,NA,NA,NA,NA,NA,NA,col 13 17,1QH_1QH,prepositional
4950,CWB[,1QH,1QH,16,20,TCJB,W >TH >L J TCJB S<RH L DMMH W NPC >BJWN PLVTH K YPWR W K VRP M PJ >RJWT,NA,hif,impf,W >TH TCJB S<RH L DMMH,>TH,L DMMH,L DMMH,to a silence,0,prep,phenomenon,inanim,und,subs,simple,fictive,goal,L,NA,NA,NA,NA,NA,metaphorical you returned the storm to a silence,NA,col 13 19,1QH_1QH,prepositional
5075,HLK[,1QH,1QH,17,9,JLKW,W B RZ XBTH B J JLKW RKJL L BNJ HWWT,NA,qal,impf,W B RZ JLKW RKJL L BNJ HWWT,NA,L BNJ HWWT,L BN HWH,to the sons of destruction,0,prep,group,anim,und,subs,complex,fictive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 13 25,1QH_1QH,prepositional
5300,BW>[,1QH,1QH,17,26,JBW>,W JBW> B <YMJ L HKCJL RWX W L KLWT KWX,NA,qal,impf,W JBW> B <YMJ,NA,B <YMJ,B <YM J,in my bones,0,prep,body part,inanim,det,subs,complex,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 13 35,1QH_1QH,prepositional
5967,BW>[,1QH,1QH,17,73,JBW>,W B <BWR CWV CWVP BL JBW> B MBYR L L L TPL W K KPJS L> M >MT,NA,qal,impf,W BL JBW> B MBYR,NA,B MBYR,B MBYR,in a fortress,0,prep,place,inanim,und,subs,simple,factive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 14 35,1QH_1QH,prepositional
6254,<WZ[,1QH,1QH,18,13,H<JZ,W >TH JD<TH JYR <BD KH KJ L> Y MC<NT W L HRJM LB W W L H<JZ B KWX,NA,hif,infc,W L H<JZ B KWX,NA,B KWX,B KX,in strength,0,prep,other,inanim,und,subs,simple,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 15 17,1QH_1QH,prepositional
6290,<WZ[,1QH,1QH,18,16,H<JZ,W >NJ NC<NTJ B RWB RXMJ KH XSD KH >WXJL L HYJY K MV< W L GDL NYR L H<JZ B KWX WL,NA,hif,infc,L H<JZ B KWX,NA,B KWX,B KX,in strength,0,prep,other,inanim,und,subs,simple,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 15 19,1QH_1QH,prepositional
6475,BW>[,1QH,1QH,19,6,TBJ>,W KWL BNJ >MT KH TBJ> B SLJXWT L PNJ KH L VHR M M PC<J HM B RWB VWB KH W B HMWN RXMJ KH L H<MJD M L PNJ KH L <WLMJ <D,NA,hif,impf,W KWL BNJ >MT KH TBJ> B SLJXWT L PNJ KH,NA,L PNJ KH,L PNH K,before you,0,prep,person,anim,det,subs,complex,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 15 29-30,1QH_1QH,prepositional
8317,BW>[,1QH,1QH,22,41,TBW>,W NHMT J <D THWM TBW> W B XDRJ C>WL TXPC JXD,NA,qal,impf,W NHMT J <D THWM TBW>,NHMT J,<D THWM,<D THWM,to an abyss,0,prep,place,inanim,und,subs,simple,fictive,goal,<D,NA,NA,NA,NA,NA,NA,NA,col 18 33,1QH_1QH,prepositional
8691,BW>[,1QH,1QH,23,19,JBW>W,W JBW>W B LBB J W JG<W B <YMJ L JM W L HGWT HGJ JGWN W >NXH B KNWR QJNH L KWL >BL JGWN W MSPD MRWRJM <D KLWT <WLH W >JN MK>WB W >JN NG< L HXLWT,NA,qal,impf,W JBW>W B LBB J,NA,B LBB J,B LBB J,in my heart,0,prep,body part,inanim,det,subs,complex,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 19 21,1QH_1QH,prepositional
9474,BW>[,1QH,1QH,24,44,HBJ>WTH,W HBJ>WTH B BRJT <M KH W TGL LB <PR L HCMR LW M PXJ MCPV L <WMT RXMJ KH,NA,hif,perf,HBJ>WTH B BRJT <M KH,NA,B BRJT,B BRJT,in a covenant,0,prep,abstract,inanim,und,subs,simple,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 21 9,1QH_1QH,prepositional
9522,BW>[,1QH,1QH,24,48,HBJ>,W HCBTH L HBJ> B BRJT <M KH W L <MWD B MKWN <WLM L >WR >WRTJM <D NYX,NA,hif,infc,L HBJ> B BRJT <M KH,NA,B BRJT,B BRJT,in a covenant,0,prep,abstract,inanim,und,subs,simple,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 21 13,1QH_1QH,prepositional
11909,JY>[,1QM,1QM,3,11,Y>T,W <L XYWYRWT MQR> >NCJ H BNJM B HPTX C<RJ H MLXMH L Y>T L M<RKT H >WJB JKTWBW ZKRWN NQM B MW<D >L,NA,qal,infc,L Y>T L M<RKT H >WJB,NA,L M<RKT H >WJB,L M<RKH H >JB,to the enemy line,0,prep,place,inanim,det,subs,complex,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 3 7,1QM_1QM,prepositional
11974,BW>[,1QM,1QM,3,15,BW>,W B CWB M MN H MLXMH L BW> H M<RKH JKTWBW <L XYWYRWT H MCWB >SP >L,NA,qal,infc,L BW> H M<RKH,NA,H M<RKH,H M<RKH,to the line,0,vc,place,inanim,det,subs,simple,factive,goal,NA,NA,NA,NA,NA,NA,NA,NA,col 3 10,1QM_1QM,non-prepositional
11995,BW>[,1QM,1QM,3,16,BW>,W <L XYWYRWT DRK H MCWB M MLXMT H >WJB L BW> >L H <DH JRWCLJM JKTWBW GJLWT >L B MCWB CLWM,NA,qal,infc,L BW> >L H <DH JRWCLJM,NA,>L H <DH JRWCLJM,>L H <DH JRWCLM,to the congregation of Jerusalem,0,prep,group,anim,det,subs,complex,factive,goal,>L,NA,NA,NA,NA,NA,NA,NA,col 3 11,1QM_1QM,prepositional
12209,HLK[,1QM,1QM,4,13,LKT,W B LKT M L MLXMH JKTWBW <L >WTWT M >MT >L YDQ >L KBWD >L MCPV >L W >XRJ HM KWL SRK PRWC CMWT M,NA,qal,infc,B LKT M L MLXMH,M,L MLXMH,L H MLXMH,to the battle,0,prep,occupation,inanim,det,subs,simple,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 4 6,1QM_1QM,prepositional
12236,NGC[,1QM,1QM,4,14,GCT,W B GCT M L MLXMH JKTWBW <L >WTWT M JMJN >L MW<D >L MHWMT >L XLLJ >L W >XRJ HM KWL PRWC CMWT M,NA,qal,infc,B GCT M L MLXMH,M,L MLXMH,L H MLXMH,to the battle,0,prep,occupation,inanim,det,subs,simple,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 4 7,1QM_1QM,prepositional
12289,JY>[,1QM,1QM,4,17,Y>T,B Y>T M L MLXMH JKTBW <L >WT H R>JCWNH <DT >L,NA,qal,infc,B Y>T M L MLXMH,M,L MLXMH,L H MLXMH,to the battle,0,prep,occupation,inanim,det,subs,simple,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 4 9,1QM_1QM,prepositional
12348,NGC[,1QM,1QM,4,26,GCT,W B GCT M L MLXMH JKTWBW <L >WTWT M MLXMT >L NQMT >L RJB >L GMWL >L KWX >L CLWMJ >L GBWRT >L KLT >L B KWL GWJ HBL,NA,qal,infc,B GCT M L MLXMH,M,L MLXMH,L H MLXMH,to the battle,0,prep,occupation,inanim,det,subs,simple,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 4 11,1QM_1QM,prepositional
12782,CWB[,1QM,1QM,5,24,CBW,CB< P<MJM W CBW L M<MD M,NA,qal,perf,W CBW L M<MD M,NA,L M<MD M,L M<MD M,to their position,0,prep,place,inanim,det,subs,complex,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 6 1,1QM_1QM,prepositional
12857,CWB[,1QM,1QM,5,30,CBW,KWL >LH JVJLW CB< P<MJM W CBW L M<MD M,NA,qal,perf,W CBW L M<MD M,NA,L M<MD M,L M<MD M,to their position,0,prep,place,inanim,det,subs,complex,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 6 4,1QM_1QM,prepositional
13227,BW>[,1QM,1QM,5,50,JBW>W,W KWL N<R Z<VWV W >CH LW> JBW>W L MXNWT M B Y>T M M JRWCLJM L LKT L MLXMH <D CWB M,NA,qal,impf,W KWL N<R Z<VWV W >CH LW> JBW>W L MXNWT M,KWL N<R Z<VWV W >CH,L MXNWT M,L MXNH M,in the encampment,0,prep,place,inanim,det,subs,complex,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 7 3,1QM_1QM,prepositional
13237,HLK[,1QM,1QM,5,50,LKT,W KWL N<R Z<VWV W >CH LW> JBW>W L MXNWT M B Y>T M M JRWCLJM L LKT L MLXMH <D CWB M,NA,qal,infc,L LKT L MLXMH,NA,L MLXMH,L H MLXMH,to the battle,0,prep,occupation,inanim,det,subs,simple,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 7 4,1QM_1QM,prepositional
