"verb_id","lex","scroll","book_canonical","text_unit","chapter","verse_num","gcons_verb","gcons_verse","sign_info","stem","tense","gcons_clause","subject","complement","cmpl_lex","cmpl_translation","dir_he","cmpl_constr","cmpl_nt","cmpl_anim","cmpl_det","cmpl_indiv","cmpl_complex","motion_type","spatial_arg_type","preposition_1","preposition_2","preposition_3","preposition_4","preposition_5","preposition_6","comments","reconstructed_verse","study_edition","verse_genre","verse_language","era_style","book_scroll","cmpl_syntax"
212830,"BW>[","MT","Isaiah","1_Isaiah",2,19,"B>W","W B>W B M<RWT YRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RY H >RY",NA,"qal","perf","W B>W B M<RWT YRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW",NA,"B M<RWT YRJM W B MXLWT <PR","B M<RH/ YWR/ W B MXLH==/ <PR/","in caves of rocks and in holes of dust",0,"prep","place","inanim","und","subs","complex","factive","goal","B","B",NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1895648,"BW>[","1Qisaa","Isaiah","1_Isaiah",2,19,"B>W","W B>W B M<RWT YWRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RWY H >RY","0 000 0 00000 00000 0 0 00000 000 0 000 111 1100 0 0 000 00000 0 0000 0 0000 0 000","qal","perf","W B>W B M<RWT YWRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW",NA,"B M<RWT YWRJM W B MXLWT <PR","B M<RH/ YWR/ W B MXLH==/ <PR/","in caves of rocks and in holes of dust",0,"prep","place","inanim","und","subs","complex","factive","goal","B","B",NA,NA,NA,NA,NA,"W B>W B M<RWT YWRJM W B MXLWT <PR M PNJ [PXD JH]WH W M HDR G>WNW B QWMW L <RWY H >RY",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
215567,"NWS[","MT","Isaiah","1_Isaiah",10,3,"TNWSW","W MH T<FW L JWM PQDH W L CW>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZBW KBWDKM",NA,"qal","impf","<L MJ TNWSW L <ZRH",NA,"<L MJ","<L MJ","to whom",0,"prep","interrogative pronoun","anim","und","ppin","simple","factive","goal","<L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1898485,"NWS[","1Qisaa","Isaiah","1_Isaiah",10,3,"TNWSW","W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM","0 00 0000 0 000 00000 0 0 000 0 0000 0000 00 00 00000 0 0000 0 000 000000 000000","qal","impf","<L MJ TNWSW L <ZRH",NA,"<L MJ","<L MJ","to whom",0,"prep","interrogative pronoun","anim","und","ppin","simple","factive","goal","<L",NA,NA,NA,NA,NA,NA,"W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
217101,"JRD[","MT","Isaiah","1_Isaiah",14,19,"JWRDJ","W >TH HCLKT M QBRK K NYR NT<B LBWC HRGJM MV<NJ XRB JWRDJ >L >BNJ BWR K PGR MWBS",NA,"qal","ptca","JWRDJ >L >BNJ BWR K PGR MWBS",NA,">L >BNJ BWR",">L >BN/ BWR/","to stones of the pit",0,"prep","place","inanim","und","subs","complex","factive","goal",">L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
217594,"T<H[","MT","Isaiah","1_Isaiah",16,8,"T<W","KJ CDMWT XCBWN >MLL GPN FBMH B<LJ GWJM HLMW FRWQJH <D J<ZR NG<W T<W MDBR CLXWTJH NVCW <BRW JM",NA,"qal","perf","T<W MDBR",NA,"MDBR","MDBR/","to a desert",0,"vc","place","inanim","und","subs","simple","factive","goal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","non-prepositional"
217992,"HLK[","MT","Isaiah","1_Isaiah",18,2,"LKW","H CLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM >L GWJ MMCK W MWRV >L <M NWR> MN HW> W HL>H GWJ QW QW W MBWSH >CR BZ>W NHRJM >RYW",NA,"qal","impv","LKW >L GWJ MMCK W MWRV",NA,">L GWJ MMCK W MWRV",">L GWJ/ MCK[ W MRV[","to a nation tall and smooth",0,"prep","gens","anim","und","subs","complex","factive","goal",">L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1901031,"HLK[","1Qisaa","Isaiah","1_Isaiah",18,2,"LKW","H CWLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM L GWJ MMCK W MMWRV >L <M NWR> MN HW> W HL>H GWJ QWQW W MBWSH >CR BZ>J NHRJM >RYW","0 0000 0 00 00000 0 0 000 000 00 000 000 000 000000 0000 0 000 0000 0 00000 00 00 0000 00 000 0 0000 000 0000 0 00000 000 0000 00000 0000","qal","impv","LKW L GWJ MMCK W MMWRV",NA,"L GWJ MMCK W MMWRV","L GWJ/ MCK[ W MRV[","to a nation tall and smooth",0,"prep","gens","anim","und","subs","complex","factive","goal","L",NA,NA,NA,NA,NA,NA,"H CWLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM L GWJ MMCK W MMWRV >L <M NWR> MN HW> W HL>H GWJ QWQW W MBWSH >CR BZ>J NHRJM >RYW",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
219565,"<BR[","MT","Isaiah","1_Isaiah",23,12,"<BRJ","W J>MR L> TWSJPJ <WD L <LWZ H M<CQH BTWLT BT YJDWN KTJJM QWMJ <BRJ GM CM L> JNWX LK",NA,"qal","impv","KTJJM <BRJ",NA,"KTJJM","KTJ/","to a Cypriote (place)",0,"vc","place","inanim","und","subs","simple","factive","goal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","non-prepositional"
1902679,"<BR[","1Qisaa","Isaiah","1_Isaiah",23,12,"<BRJ","W JW>MR LW> TWSJPJ <WD L <LWZ M<CQH BTWLT BT YJDWN KTJJM QWMJ <BRJ GM CM LW> JNWX LK","0 00000 000 000000 000 0 0000 00000 00000 00 00000 00000 0000 0000 00 00 000 0000 00","qal","impv","KTJJM <BRJ",NA,"KTJJM","KTJ/","to a Cypriote (place)",0,"vc","place","inanim","und","subs","simple","factive","goal",NA,NA,NA,NA,NA,NA,NA,"W JW>MR LW> TWSJPJ <WD L <LWZ M<CQH BTWLT BT YJDWN KTJJM QWMJ <BRJ GM CM LW> JNWX LK",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","non-prepositional"
