word	book	chapter	verse	scroll_name	stem	verbal_tense	consonant_rep	language
935	Genesis	2	14	MT	qal	ptca	HLK	Hebrew
1321	Genesis	3	8	MT	hit	ptca	MTHLK	Hebrew
1449	Genesis	3	14	MT	qal	impf	TLK	Hebrew
2424	Genesis	5	22	MT	hit	wayq	JTHLK	Hebrew
2455	Genesis	5	24	MT	hit	wayq	JTHLK	Hebrew
2781	Genesis	6	9	MT	hit	perf	HTHLK	Hebrew
3407	Genesis	7	18	MT	qal	wayq	TLK	Hebrew
3598	Genesis	8	3	MT	qal	infa	HLWK	Hebrew
3634	Genesis	8	5	MT	qal	infa	HLWK	Hebrew
4451	Genesis	9	23	MT	qal	wayq	JLKW	Hebrew
5460	Genesis	11	31	MT	qal	infc	LKT	Hebrew
5489	Genesis	12	1	MT	qal	impv	LK	Hebrew
5532	Genesis	12	4	MT	qal	wayq	JLK	Hebrew
5540	Genesis	12	4	MT	qal	wayq	JLK	Hebrew
5583	Genesis	12	5	MT	qal	infc	LKT	Hebrew
5668	Genesis	12	9	MT	qal	infa	HLWK	Hebrew
5849	Genesis	12	19	MT	qal	impv	LK	Hebrew
5898	Genesis	13	3	MT	qal	wayq	JLK	Hebrew
5944	Genesis	13	5	MT	qal	ptca	HLK	Hebrew
6181	Genesis	13	17	MT	hit	impv	HTHLK	Hebrew
6423	Genesis	14	11	MT	qal	wayq	JLKW	Hebrew
6435	Genesis	14	12	MT	qal	wayq	JLKW	Hebrew
6661	Genesis	14	24	MT	qal	perf	HLKW	Hebrew
6704	Genesis	15	2	MT	qal	ptca	HWLK	Hebrew
7189	Genesis	16	8	MT	qal	impf	TLKJ	Hebrew
7344	Genesis	17	1	MT	hit	impv	HTHLK	Hebrew
8088	Genesis	18	16	MT	qal	ptca	HLK	Hebrew
8185	Genesis	18	22	MT	qal	wayq	JLKW	Hebrew
8410	Genesis	18	33	MT	qal	wayq	JLK	Hebrew
8468	Genesis	19	2	MT	qal	perf	HLKTM	Hebrew
9112	Genesis	19	32	MT	qal	impv	LKH	Hebrew
9851	Genesis	21	14	MT	qal	wayq	TLK	Hebrew
9875	Genesis	21	16	MT	qal	wayq	TLK	Hebrew
9963	Genesis	21	19	MT	qal	wayq	TLK	Hebrew
10254	Genesis	22	2	MT	qal	impv	LK	Hebrew
10299	Genesis	22	3	MT	qal	wayq	JLK	Hebrew
10341	Genesis	22	5	MT	qal	impf	NLKH	Hebrew
10373	Genesis	22	6	MT	qal	wayq	JLKW	Hebrew
10415	Genesis	22	8	MT	qal	wayq	JLKW	Hebrew
10531	Genesis	22	13	MT	qal	wayq	JLK	Hebrew
10642	Genesis	22	19	MT	qal	wayq	JLKW	Hebrew
11173	Genesis	24	4	MT	qal	impf	TLK	Hebrew
11192	Genesis	24	5	MT	qal	infc	LKT	Hebrew
11272	Genesis	24	8	MT	qal	infc	LKT	Hebrew
11313	Genesis	24	10	MT	qal	wayq	JLK	Hebrew
11323	Genesis	24	10	MT	qal	wayq	JLK	Hebrew
11851	Genesis	24	38	MT	qal	impf	TLK	Hebrew
11866	Genesis	24	39	MT	qal	impf	TLK	Hebrew
11875	Genesis	24	40	MT	hit	perf	HTHLKTJ	Hebrew
11933	Genesis	24	42	MT	qal	ptca	HLK	Hebrew
12130	Genesis	24	51	MT	qal	impv	LK	Hebrew
12213	Genesis	24	55	MT	qal	impf	TLK	Hebrew
12226	Genesis	24	56	MT	qal	impf	>LKH	Hebrew
12247	Genesis	24	58	MT	qal	impf	TLKJ	Hebrew
12255	Genesis	24	58	MT	qal	impf	>LK	Hebrew
12301	Genesis	24	61	MT	qal	wayq	TLKNH	Hebrew
12312	Genesis	24	61	MT	qal	wayq	JLK	Hebrew
12373	Genesis	24	65	MT	qal	ptca	HLK	Hebrew
12774	Genesis	25	22	MT	qal	wayq	TLK	Hebrew
12930	Genesis	25	32	MT	qal	ptca	HWLK	Hebrew
12971	Genesis	25	34	MT	qal	wayq	JLK	Hebrew
12997	Genesis	26	1	MT	qal	wayq	JLK	Hebrew
13239	Genesis	26	13	MT	qal	wayq	JLK	Hebrew
13240	Genesis	26	13	MT	qal	infa	HLWK	Hebrew
13284	Genesis	26	16	MT	qal	impv	LK	Hebrew
13292	Genesis	26	17	MT	qal	wayq	JLK	Hebrew
13467	Genesis	26	26	MT	qal	perf	HLK	Hebrew
13559	Genesis	26	31	MT	qal	wayq	JLKW	Hebrew
13715	Genesis	27	5	MT	qal	wayq	JLK	Hebrew
13770	Genesis	27	9	MT	qal	impv	LK	Hebrew
13849	Genesis	27	13	MT	qal	impv	LK	Hebrew
13853	Genesis	27	14	MT	qal	wayq	JLK	Hebrew
14520	Genesis	28	2	MT	qal	impv	LK	Hebrew
14579	Genesis	28	5	MT	qal	wayq	JLK	Hebrew
14636	Genesis	28	7	MT	qal	wayq	JLK	Hebrew
14651	Genesis	28	9	MT	qal	wayq	JLK	Hebrew
14677	Genesis	28	10	MT	qal	wayq	JLK	Hebrew
14788	Genesis	28	15	MT	qal	impf	TLK	Hebrew
14907	Genesis	28	20	MT	qal	ptca	HWLK	Hebrew
14955	Genesis	29	1	MT	qal	wayq	JLK	Hebrew
15082	Genesis	29	7	MT	qal	impv	LKW	Hebrew
15777	Genesis	30	14	MT	qal	wayq	JLK	Hebrew
15983	Genesis	30	25	MT	qal	impf	>LKH	Hebrew
16000	Genesis	30	26	MT	qal	impf	>LKH	Hebrew
16715	Genesis	31	19	MT	qal	perf	HLK	Hebrew
16923	Genesis	31	30	MT	qal	infa	HLK	Hebrew
16924	Genesis	31	30	MT	qal	perf	HLKT	Hebrew
17235	Genesis	31	44	MT	qal	impv	LKH	Hebrew
17449	Genesis	32	1	MT	qal	wayq	JLK	Hebrew
17457	Genesis	32	2	MT	qal	perf	HLK	Hebrew
17554	Genesis	32	7	MT	qal	ptca	HLK	Hebrew
17788	Genesis	32	18	MT	qal	impf	TLK	Hebrew
17827	Genesis	32	20	MT	qal	ptca	HLKJM	Hebrew
17859	Genesis	32	21	MT	qal	ptca	HLKT	Hebrew
18291	Genesis	33	12	MT	qal	impf	NLKH	Hebrew
18293	Genesis	33	12	MT	qal	impf	>LKH	Hebrew
18750	Genesis	34	17	MT	qal	perf	HLKNW	Hebrew
19121	Genesis	35	3	MT	qal	perf	HLKTJ	Hebrew
19445	Genesis	35	22	MT	qal	wayq	JLK	Hebrew
19652	Genesis	36	6	MT	qal	wayq	JLK	Hebrew
20390	Genesis	37	12	MT	qal	wayq	JLKW	Hebrew
20410	Genesis	37	13	MT	qal	impv	LKH	Hebrew
20421	Genesis	37	14	MT	qal	impv	LK	Hebrew
20482	Genesis	37	17	MT	qal	impf	NLKH	Hebrew
20485	Genesis	37	17	MT	qal	wayq	JLK	Hebrew
20522	Genesis	37	20	MT	qal	impv	LKW	Hebrew
20644	Genesis	37	25	MT	qal	ptca	HWLKJM	Hebrew
20663	Genesis	37	27	MT	qal	impv	LKW	Hebrew
21019	Genesis	38	11	MT	qal	wayq	TLK	Hebrew
21179	Genesis	38	19	MT	qal	wayq	TLK	Hebrew
23380	Genesis	41	55	MT	qal	impv	LKW	Hebrew
23740	Genesis	42	19	MT	qal	impv	LKW	Hebrew
23882	Genesis	42	26	MT	qal	wayq	JLKW	Hebrew
24020	Genesis	42	33	MT	qal	impv	LKW	Hebrew
24131	Genesis	42	38	MT	qal	impf	TLKW	Hebrew
24282	Genesis	43	8	MT	qal	impf	NLKH	Hebrew
25779	Genesis	45	17	MT	qal	impv	LKW	Hebrew
25911	Genesis	45	24	MT	qal	wayq	JLKW	Hebrew
25988	Genesis	45	28	MT	qal	impf	>LKH	Hebrew
27589	Genesis	48	15	MT	hit	perf	HTHLKW	Hebrew
28604	Genesis	50	18	MT	qal	wayq	JLKW	Hebrew
29115	Exodus	2	1	MT	qal	wayq	JLK	Hebrew
29197	Exodus	2	5	MT	qal	ptca	HLKT	Hebrew
29245	Exodus	2	7	MT	qal	impf	>LK	Hebrew
29265	Exodus	2	8	MT	qal	impv	LKJ	Hebrew
29267	Exodus	2	8	MT	qal	wayq	TLK	Hebrew
29281	Exodus	2	9	MT	hif	impv	HJLJKJ	Hebrew
29848	Exodus	3	10	MT	qal	impv	LKH	Hebrew
29870	Exodus	3	11	MT	qal	impf	>LK	Hebrew
29988	Exodus	3	16	MT	qal	impv	LK	Hebrew
30075	Exodus	3	18	MT	qal	impf	NLKH	Hebrew
30098	Exodus	3	19	MT	qal	infc	HLK	Hebrew
30138	Exodus	3	21	MT	qal	impf	TLKWN	Hebrew
30140	Exodus	3	21	MT	qal	impf	TLKW	Hebrew
30421	Exodus	4	12	MT	qal	impv	LK	Hebrew
30532	Exodus	4	18	MT	qal	wayq	JLK	Hebrew
30542	Exodus	4	18	MT	qal	impf	>LKH	Hebrew
30561	Exodus	4	18	MT	qal	impv	LK	Hebrew
30571	Exodus	4	19	MT	qal	impv	LK	Hebrew
30615	Exodus	4	21	MT	qal	infc	LKTK	Hebrew
30720	Exodus	4	27	MT	qal	impv	LK	Hebrew
30727	Exodus	4	27	MT	qal	wayq	JLK	Hebrew
