,Verb_ID,Answers,ETCBC_clause
0,784799,"In the verse: שְׁבִ֥י דוּמָ֛ם וּבֹ֥אִי בַחֹ֖שֶׁךְ בַּת־כַּשְׂדִּ֑ים כִּ֣י לֹ֤א תֹוסִ֨יפִי֙ יִקְרְאוּ־לָ֔ךְ גְּבֶ֖רֶת מַמְלָכֹֽות׃

The verb you're interested in is: בֹ֥אִי

The clause of the verb בֹ֥אִי is: וּבֹ֥אִי בַחֹ֖שֶׁךְ בַּת־כַּשְׂדִּ֑ים, 

So, the clause of the verb בֹ֥אִי is: וּבֹ֥אִי בַחֹ֖שֶׁךְ בַּת־כַּשְׂדִּ֑ים.",וּבֹ֥אִי בַחֹ֖שֶׁךְ 
1,783781,"In the verse: 
לֹֽא־הֵבֵ֤יאתָ לִּי֙ שֵׂ֣ה עֹלֹתֶ֔יךָ וּזְבָחֶ֖יךָ לֹ֣א כִבַּדְתָּ֑נִי לֹ֤א הֶעֱבַדְתִּ֨יךָ֙ בְּמִנְחָ֔ה וְלֹ֥א הֹוגַעְתִּ֖יךָ בִּלְבֹונָֽה׃

The verb you're interested in is:
הֵבֵ֤יאתָ 

The clause of the verb הֵבֵ֤יאתָ is:
לֹֽא־הֵבֵ֤יאתָ לִּי֙ שֵׂ֣ה עֹלֹתֶ֔יךָ

So, the clause of the verb הֵבֵ֤יאתָ is: לֹֽא־הֵבֵ֤יאתָ לִּי֙ שֵׂ֣ה עֹלֹתֶ֔יךָ.",לֹֽא־הֵבֵ֤יאתָ לִּי֙ שֵׂ֣ה עֹלֹתֶ֔יךָ 
2,781316,"In the verse:
אִמְרוּ֙ לְנִמְהֲרֵי־לֵ֔ב חִזְק֖וּ אַל־תִּירָ֑אוּ הִנֵּ֤ה אֱלֹֽהֵיכֶם֙ נָקָ֣ם יָבֹ֔וא גְּמ֣וּל אֱלֹהִ֔ים ה֥וּא יָבֹ֖וא וְיֹשַׁעֲכֶֽם׃

The verb you're interested in is: 
יָבֹ֔וא 

The clause of this verb is: 
הִנֵּ֤ה אֱלֹֽהֵיכֶם֙ נָקָ֣ם יָבֹ֔וא

So, the clause of the verb יָבֹ֔וא is: הִנֵּ֤ה אֱלֹֽהֵיכֶם֙ נָקָ֣ם יָבֹ֔וא",הִנֵּ֤ה אֱלֹֽהֵיכֶם֙ נָקָ֣ם יָבֹ֔וא גְּמ֣וּל אֱלֹהִ֔ים 
3,787860,"For the verse: 
וּפִתְּח֨וּ שְׁעָרַ֧יִךְ תָּמִ֛יד יֹומָ֥ם וָלַ֖יְלָה לֹ֣א יִסָּגֵ֑רוּ לְהָבִ֤יא אֵלַ֨יִךְ֙ חֵ֣יל גֹּויִ֔ם וּמַלְכֵיהֶ֖ם נְהוּגִֽים׃

The verb you're interested in is: 
לְהָבִ֤יא 

The clause of this verb is: 
לְהָבִ֤יא אֵלַ֨יִךְ֙ חֵ֣יל גֹּויִ֔ם וּמַלְכֵיהֶ֖ם נְהוּגִֽים

Thus, the clause of the verb לְהָבִ֤יא is: לְהָבִ֤יא אֵלַ֨יִךְ֙ חֵ֣יל גֹּויִ֔ם וּמַלְכֵיהֶ֖ם נְהוּגִֽים.",לְהָבִ֤יא אֵלַ֨יִךְ֙ חֵ֣יל גֹּויִ֔ם 
4,780207,"In the verse:
עַתָּ֗ה בֹּ֣וא כָתְבָ֥הּ עַל־ל֛וּחַ אִתָּ֖ם וְעַל־סֵ֣פֶר חֻקָּ֑הּ וּתְהִי֙ לְיֹ֣ום אַחֲרֹ֔ון לָעַ֖ד עַד־עֹולָֽם׃

The verb you're interested in is:
בֹּ֣וא

The clause of בֹּ֣וא is:
עַתָּ֗ה בֹּ֣וא כָתְבָ֥הּ עַל־ל֛וּחַ 

So, the clause of the verb בֹּ֣וא is:
עַתָּ֗ה בֹּ֣וא כָתְבָ֥הּ עַל־ל֛וּחַ ",עַתָּ֗ה בֹּ֣וא 
5,785447,"The verse is: 
שְׂאִֽי־סָבִ֤יב עֵינַ֨יִךְ֙ וּרְאִ֔י כֻּלָּ֖ם נִקְבְּצ֣וּ בָֽאוּ־לָ֑ךְ חַי־אָ֣נִי נְאֻם־יְהוָ֗ה כִּ֤י כֻלָּם֙ כָּעֲדִ֣י תִלְבָּ֔שִׁי וּֽתְקַשְּׁרִ֖ים כַּכַּלָּֽה׃.

The verb you're interested in is:
נִקְבְּצ֣וּ

The clause of this verb is:
כֻּלָּ֖ם נִקְבְּצ֣וּ בָֽאוּ־לָ֑ךְ

So, the clause of the verb נִקְבְּצ֣וּ is: 
כֻּלָּ֖ם נִקְבְּצ֣וּ בָֽאוּ־לָ֑ךְ.",כֻּלָּ֖ם נִקְבְּצ֣וּ 
6,777547,"In the verse: כִּ֣י שַׁדְמֹות֩ חֶשְׁבֹּ֨ון אֻמְלָ֜ל גֶּ֣פֶן שִׂבְמָ֗ה בַּעֲלֵ֤י גֹויִם֙ הָלְמ֣וּ שְׂרוּקֶּ֔יהָ עַד־יַעְזֵ֥ר נָגָ֖עוּ תָּ֣עוּ מִדְבָּ֑ר שְׁלֻ֣חֹותֶ֔יהָ נִטְּשׁ֖וּ עָ֥בְרוּ יָֽם׃ 

The verb you're interested in is:  עָ֥בְרוּ 

The clause of this verb is: שְׁלֻ֣חֹותֶ֔יהָ נִטְּשׁ֖וּ עָ֥בְרוּ יָֽם

So, the clause of the verb עָ֥בְרוּ is: שְׁלֻ֣חֹותֶ֔יהָ נִטְּשׁ֖וּ עָ֥בְרוּ יָֽם.",עָ֥בְרוּ יָֽם׃ 
7,776242,"In the verse:
וּמַֽה־תַּעֲשׂוּ֙ לְיֹ֣ום פְּקֻדָּ֔ה וּלְשֹׁואָ֖ה מִמֶּרְחָ֣ק תָּבֹ֑וא עַל־מִי֙ תָּנ֣וּסוּ לְעֶזְרָ֔ה וְאָ֥נָה תַעַזְב֖וּ כְּבֹודְכֶֽם׃

The verb you're interested in is:
תָּנ֣וּסוּ 

The clause of the verb תָּנ֣וּסוּ is:
עַל־מִי֙ תָּנ֣וּסוּ לְעֶזְרָ֔ה 

So, the clause of the verb תָּנ֣וּסוּ is:
עַל־מִי֙ תָּנ֣וּסוּ לְעֶזְרָ֔ה.",עַל־מִי֙ תָּנ֣וּסוּ לְעֶזְרָ֔ה 
8,788275,"In the verse:
עִבְר֤וּ עִבְרוּ֙ בַּשְּׁעָרִ֔ים פַּנּ֖וּ דֶּ֣רֶךְ הָעָ֑ם סֹ֣לּוּ סֹ֤לּוּ הַֽמְסִלָּה֙ סַקְּל֣וּ מֵאֶ֔בֶן הָרִ֥ימוּ נֵ֖ס עַל־הָעַמִּֽים׃

The verb you're interested in is:
עִבְרוּ֙

The clause of the verb עִבְרוּ֙ is:
עִבְר֤וּ עִבְרוּ֙ בַּשְּׁעָרִ֔ים

So, the clause of the verb עִבְרוּ֙ is:
עִבְר֤וּ עִבְרוּ֙ בַּשְּׁעָרִ֔ים.",עִבְרוּ֙ בַּשְּׁעָרִ֔ים 
9,783496,"In the verse:
מִֽי־נָתַ֨ן לִמְשִׁיסָּ֧ה יַעֲקֹ֛ב וְיִשְׂרָאֵ֥ל לְבֹזְזִ֖ים הֲלֹ֣וא יְהוָ֑ה ז֚וּ חָטָ֣אנוּ לֹ֔ו וְלֹֽא־אָב֤וּ בִדְרָכָיו֙ הָלֹ֔וךְ וְלֹ֥א שָׁמְע֖וּ בְּתֹורָתֹֽו׃

The verb you're interested in is:
הָלֹ֔וךְ

The clause of the verb הָלֹ֔וךְ is:
וְלֹֽא־אָב֤וּ בִדְרָכָיו֙ הָלֹ֔וךְ 

So, the clause of the verb הָלֹ֔וךְ is:
וְלֹֽא־אָב֤וּ בִדְרָכָיו֙ הָלֹ֔וךְ.",בִדְרָכָיו֙ הָלֹ֔וךְ 
