verb_id,book,chapter,verse_num,clause,cl_type,prec_cl,pr_cl_type,next_cl,n_cl_type
212256,Isaiah,1,12,כִּ֣י תָבֹ֔אוּ ,xYq0,,,לֵרָאֹ֖ות פָּנָ֑י ,InfC
212269,Isaiah,1,13,הָבִיא֙ מִנְחַת־שָׁ֔וְא ,InfC,לֹ֣א תֹוסִ֗יפוּ ,xYq0,קְטֹ֧רֶת תֹּועֵבָ֛ה הִ֖יא לִ֑י ,NmCl
212315,Isaiah,1,16,הָסִ֛ירוּ רֹ֥עַ מַעַלְלֵיכֶ֖ם מִנֶּ֣גֶד עֵינָ֑י ,ZIm0,הִזַּכּ֔וּ ,ZIm0,חִדְל֖וּ ,ZIm0
212333,Isaiah,1,18,לְכוּ־נָ֛א ,ZIm0,,,וְנִוָּֽכְחָ֖ה ,WYq0
212418,Isaiah,1,23,וְרִ֥יב אַלְמָנָ֖ה לֹֽא־יָבֹ֥וא אֲלֵיהֶֽם׃ פ ,WXYq,יָתֹום֙ לֹ֣א יִשְׁפֹּ֔טוּ ,xYq0,,
212437,Isaiah,1,25,וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ ,WYq0,,,וְאֶצְרֹ֥ף כַּבֹּ֖ר סִיגָ֑יִךְ ,WYq0
212447,Isaiah,1,25,וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ׃ ,WYq0,וְאֶצְרֹ֥ף כַּבֹּ֖ר סִיגָ֑יִךְ ,WYq0,,
212451,Isaiah,1,26,וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה ,WYq0,,,וְיֹעֲצַ֖יִךְ כְּבַתְּחִלָּ֑ה ,Ellp
212477,Isaiah,1,27,וְשָׁבֶ֖יהָ בִּצְדָקָֽה׃ ,Ellp,צִיֹּ֖ון בְּמִשְׁפָּ֣ט תִּפָּדֶ֑ה ,XYqt,,
212570,Isaiah,2,3,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים ,WQtX,,,וְאָמְרוּ֙ ,WQt0
212575,Isaiah,2,3,לְכ֣וּ׀ ,ZIm0,וְאָמְרוּ֙ ,WQt0,וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב ,WYq0
212577,Isaiah,2,3,וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב ,WYq0,לְכ֣וּ׀ ,ZIm0,וְיֹרֵ֨נוּ֙ מִדְּרָכָ֔יו ,WYq0
212590,Isaiah,2,3,וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו ,WYq0,וְיֹרֵ֨נוּ֙ מִדְּרָכָ֔יו ,WYq0,כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה ,xYqX
212596,Isaiah,2,3,כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה ,xYqX,וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו ,WYq0,וּדְבַר־יְהוָ֖ה מִירוּשָׁלִָֽם׃ ,Ellp
212635,Isaiah,2,5,לְכ֥וּ ,ZIm0,בֵּ֖ית יַעֲקֹ֑ב ,Voct,וְנֵלְכָ֖ה בְּאֹ֥ור יְהוָֽה׃ ,WYq0
212637,Isaiah,2,5,וְנֵלְכָ֖ה בְּאֹ֥ור יְהוָֽה׃ ,WYq0,לְכ֥וּ ,ZIm0,,
212702,Isaiah,2,10,בֹּ֣וא בַצּ֔וּר ,ZIm0,,,וְהִטָּמֵ֖ן בֶּֽעָפָ֑ר מִפְּנֵי֙ פַּ֣חַד יְהוָ֔ה וּמֵהֲדַ֖ר גְּאֹנֹֽו׃ ,WIm0
212830,Isaiah,2,19,וּבָ֨אוּ֙ בִּמְעָרֹ֣ות צֻרִ֔ים וּבִמְחִלֹּ֖ות עָפָ֑ר מִפְּנֵ֞י פַּ֤חַד יְהוָה֙ וּמֵהֲדַ֣ר גְּאֹונֹ֔ו ,WQt0,,,בְּקוּמֹ֖ו ,InfC
212857,Isaiah,2,20,בַּיֹּ֤ום הַהוּא֙ יַשְׁלִ֣יךְ הָאָדָ֔ם אֵ֚ת אֱלִילֵ֣י כַסְפֹּ֔ו וְאֵ֖ת אֱלִילֵ֣י זְהָבֹ֑ו ,xYqX,,,אֲשֶׁ֤ר עָֽשׂוּ־לֹו֙ ,xQt0
212880,Isaiah,2,21,לָבֹוא֙ בְּנִקְרֹ֣ות הַצֻּרִ֔ים וּבִסְעִפֵ֖י הַסְּלָעִ֑ים מִפְּנֵ֞י פַּ֤חַד יְהוָה֙ וּמֵהֲדַ֣ר גְּאֹונֹ֔ו ,InfC,,,בְּקוּמֹ֖ו ,InfC
212924,Isaiah,3,1,כִּי֩ הִנֵּ֨ה הָאָדֹ֜ון יְהוָ֣ה צְבָאֹ֗ות מֵסִ֤יר מִירוּשָׁלִַ֨ם֙ וּמִ֣יהוּדָ֔ה מַשְׁעֵ֖ן וּמַשְׁעֵנָ֑ה כֹּ֚ל מִשְׁעַן־לֶ֔חֶם וְכֹ֖ל מִשְׁעַן־מָֽיִם׃ ,Ptcp,,,,
